ID,Product Name,Category,Type,Estimated Weight (lbs),Method,Confidence,Note
13839,"Garden Fungicide 32 oz","Pest Control",simple,2.1,size_calculation,HIGH,"32 oz dry + container"
13841,"Garden Fungicide 1 gal","Pest Control",simple,1.5,category_default,LOW,"Average spray bottle"
13845,"2 heavy duty neoprene collars (case of 200)","Propagation Supplies",simple,1,category_default,LOW,"Average tray/dome"
13850,"Dual Diaphragm Air Pump","Air Pumps",simple,2,category_default,LOW,"Generic default"
13851,"TNC Water Pump","Water Pumps",grouped,4.5,child_average,MEDIUM,"Average of 2 similar products"
13852,"Mag Drive Pumps","Water Pumps",grouped,15.8,child_average,MEDIUM,"Average of 20 similar products"
13854,"Reflective Mylar Rolls","Reflective Wall Fabric",grouped,2,category_default,LOW,"Generic default"
13856,"Stealth RO 300 Customized Reverse Osmosis filter","Water Filtration",simple,3,category_default,LOW,"Average filter system"
13861,"TDS Monitor DM-2 Industrial Dual TDS Monitor","Water Filtration",simple,3,category_default,LOW,"Average filter system"
13862,"Flowmaster - Gallon Meter 3/8 in","Water Filtration",simple,3,category_default,LOW,"Average filter system"
13863,"Accessories & Components","Water Filtration",grouped,3,category_default,LOW,"Average filter system"
13868,"Green Air Genesis Calibration Solutions","pH/EC/TDS Meters & Solutions",grouped,7.86,child_average,MEDIUM,"Average of 13 similar products"
13870,"COM-100: Waterproof EC / TDS / Temp Combo Meter","pH/EC/TDS Meters & Solutions",grouped,0.5,category_default,LOW,"Average meter/solution"
13871,"PH-200: Waterproof pH Meter","pH/EC/TDS Meters & Solutions",grouped,0.5,category_default,LOW,"Average meter/solution"
13872,"PH / Calibration Solutions","pH/EC/TDS Meters & Solutions",grouped,6.16,child_average,MEDIUM,"Average of 59 similar products"
13874,"Control Wizard Accurate pH3","pH/EC/TDS Meters & Solutions",grouped,9.88,child_average,MEDIUM,"Average of 8 similar products"
13875,"Philips Lighting","Philips",grouped,0.5,category_default,LOW,"Average bulb"
13876,"Plantmax Pulse Start Metal Halide Lamps","Philips",grouped,1.3,child_average,MEDIUM,"Average of 23 similar products"
13877,"BADBOY HO Triphosphor Lamps","Philips",grouped,24.25,child_average,MEDIUM,"Average of 4 similar products"
13879,"Plantmax SUPER Metal Halide","Philips",simple,0.5,category_default,LOW,"Average bulb"
13880,"Plantmax SUPER High Pressure Sodium","Philips",grouped,1.3,child_average,MEDIUM,"Average of 23 similar products"
13881,"Plantmax HPS Conversion (MH Ballast)","Philips",grouped,1.3,child_average,MEDIUM,"Average of 23 similar products"
13882,"Plantmax MH Conversion (HPS Ballast)","Philips",grouped,1.3,child_average,MEDIUM,"Average of 23 similar products"
13885,"VEGETATIVE - HPS Ballast","Philips",grouped,8.45,child_average,MEDIUM,"Average of 1 similar products"
13886,"VEGETATIVE - MH Ballast","Philips",grouped,8.45,child_average,MEDIUM,"Average of 1 similar products"
13887,"ALL PHASE High Output Metal Halide Horticultural Lamp","Philips",grouped,22.57,child_average,MEDIUM,"Average of 87 similar products"
13888,"Light Rail 5","Grow Lights Ballast",grouped,112.46,child_average,MEDIUM,"Average of 18 similar products"
13890,"Light Rail Accessories","Grow Lights Ballast",grouped,112.46,child_average,MEDIUM,"Average of 18 similar products"
13891,"Mondi Mist & Spray Premium Compression Sprayer 1.5 qt","Grow Tents AC INFINITY",simple,2,category_default,LOW,"Generic default"
13892,"Mondi Mist & Spray Delux Compression Sprayer 1.2 qt","Grow Tents AC INFINITY",simple,2,category_default,LOW,"Generic default"
13894,"Bypass Hand Shears","Grow Tents AC INFINITY",simple,2,category_default,LOW,"Generic default"
13895,"Grommets","Fittings & Parts",grouped,0.25,category_default,LOW,"Average fitting"
13896,"Spigot for 6 Gal container","Fittings & Parts",simple,0.25,category_default,LOW,"Average fitting"
13899,"1 1/4 drain overflow tube","Fittings & Parts",simple,0.25,category_default,LOW,"Average fitting"
13902,"1/2 Barb Connectors","Fittings & Parts",grouped,4.17,child_average,MEDIUM,"Average of 6 similar products"
13903,"The Bucket Basket","Fittings & Parts",grouped,5.68,child_average,MEDIUM,"Average of 40 similar products"
13904,"Netpots","Pots & Containers",grouped,0.5,category_default,LOW,"Average pot (varies by size)"
13905,"Site Plugs","Fittings & Parts",grouped,1,child_average,MEDIUM,"Average of 3 similar products"
13906,"Snapture SnapStand","Fittings & Parts",grouped,1,child_average,MEDIUM,"Average of 3 similar products"
13911,"24-DT-1 -- 24 Hour Clock Timer","Timers",grouped,0.5,category_default,LOW,"Average timer"
13912,"LT4 - 4 Light Timer (120 or 240 V)","Timers",grouped,0.5,category_default,LOW,"Average timer"
13914,"LS Series Light and High Load Switcher","Timers",grouped,1.86,child_average,MEDIUM,"Average of 14 similar products"
13915,"ON /OFF Switcher 120V","Timers",grouped,23.8,child_average,MEDIUM,"Average of 255 similar products"
13916,"Vortex Powerfans","Environmental Control",grouped,15.8,child_average,MEDIUM,"Average of 5 similar products"
13918,"Backdraft Dampers","Environmental Control",grouped,8.5,child_average,MEDIUM,"Average of 4 similar products"
13919,"Thermostatically Controlled Centrifugal Fans","Environmental Control",grouped,5,category_default,LOW,"Average fan/controller"
13924,"Original Can Fans","Environmental Control",grouped,5.13,child_average,MEDIUM,"Average of 2 similar products"
13925,"Can Filters","Air Filtration",grouped,22.68,child_average,MEDIUM,"Average of 44 similar products"
13926,"Can Filter Pre-Filters","Air Filtration",grouped,22.68,child_average,MEDIUM,"Average of 44 similar products"
13927,"Can Filter Flanges","Air Filtration",grouped,22.68,child_average,MEDIUM,"Average of 44 similar products"
13928,"Ducting","Environmental Control",grouped,9.33,child_average,MEDIUM,"Average of 3 similar products"
13929,"Max-Fan","Environmental Control",grouped,14.83,child_average,MEDIUM,"Average of 6 similar products"
13940,"PROfilter reversible carbon filters","Air Filtration",grouped,15,child_average,MEDIUM,"Average of 1 similar products"
13941,"38-Special by Can-Filters","Air Filtration",grouped,8,category_default,LOW,"Average filter"
13942,"The Rack - Collapsible Drying System","Drying & Extraction",grouped,5.68,child_average,MEDIUM,"Average of 40 similar products"
13944,"The TRIMPRO","Trimmers",grouped,5.68,child_average,MEDIUM,"Average of 40 similar products"
13945,"The TRIMPRO WORKSTATION","Trimmers",grouped,5.68,child_average,MEDIUM,"Average of 40 similar products"
13949,"TRIMPRO ROTOR","Trimmers",grouped,15.38,child_average,MEDIUM,"Average of 8 similar products"
13965,"Rare Earth","Nutrients & Supplements",grouped,8.75,child_average,MEDIUM,"Average of 2 similar products"
14317,"COM-100: Waterproof EC / TDS / Temp Combo Meter","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
14319,"PH-200: Waterproof pH Meter","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
14324,"Control Wizard Accurate Handheld pH3 Meter","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
14326,"Replacemnt probe for Control Wizard Accurate pH3 Meter","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
14346,"3-pack 1.5 V batteries for HM Digital Meters","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
14348,"Can-Lite Filters","Air Filtration",grouped,68,child_average,MEDIUM,"Average of 1 similar products"
14354,"B-52 Vitamin","Nutrients & Supplements",grouped,14.33,child_average,MEDIUM,"Average of 3 similar products"
14355,"Big Bud Bloom Booster","Nutrients & Supplements",grouped,10.81,child_average,MEDIUM,"Average of 17 similar products"
14356,"Bud Blood Bloom Stimulator","Nutrients & Supplements",grouped,20.26,child_average,MEDIUM,"Average of 45 similar products"
14357,"Bud Candy","Nutrients & Supplements",grouped,20.26,child_average,MEDIUM,"Average of 45 similar products"
14358,"Bud Factor X","Nutrients & Supplements",grouped,20.26,child_average,MEDIUM,"Average of 45 similar products"
14359,"CarboLoad","Nutrients & Supplements",grouped,7.5,child_average,MEDIUM,"Average of 2 similar products"
14360,"Final Phase","Nutrients & Supplements",grouped,3.17,child_average,MEDIUM,"Average of 6 similar products"
14362,"Mother Earth Organic Super Tea","Nutrients & Supplements",grouped,16,child_average,MEDIUM,"Average of 5 similar products"
14363,"Nirvana","Nutrients & Supplements",grouped,7.5,child_average,MEDIUM,"Average of 2 similar products"
14364,"Overdrive","Nutrients & Supplements",grouped,14.33,child_average,MEDIUM,"Average of 3 similar products"
14365,"Piranha Beneficial Fungi","Nutrients & Supplements",grouped,1,child_average,MEDIUM,"Average of 2 similar products"
14367,"Sensi Grow Two-part","Nutrients & Supplements",grouped,15.38,child_average,MEDIUM,"Average of 24 similar products"
14368,"Sensizym","Nutrients & Supplements",grouped,14.33,child_average,MEDIUM,"Average of 3 similar products"
14369,"Tarantula Beneficial Bacteria","Nutrients & Supplements",grouped,1,child_average,MEDIUM,"Average of 2 similar products"
14370,"Ultra-premium Connoisseur","Nutrients & Supplements",grouped,7.5,child_average,MEDIUM,"Average of 4 similar products"
14371,"VooDoo Juice Root Booster","Nutrients & Supplements",grouped,5.33,child_average,MEDIUM,"Average of 3 similar products"
14441,"Grow Big Liquid Plant Food (6-4-4)","Nutrients & Supplements",grouped,18.87,child_average,MEDIUM,"Average of 83 similar products"
14442,"Tiger Bloom Liquid Plant Food (2-8-4)","Nutrients & Supplements",grouped,3,category_default,LOW,"Default nutrient bottle (qt)"
14451,"Big Bloom Liquid Plant Food (1 qt)","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
14453,"Big Bloom Liquid Plant Food (1 gal)","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
14458,"Grow Big Liquid Plant Food (1 gal)","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
14461,"Tiger Bloom Liquid Plant Food (1 qt)","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
14463,"Tiger Bloom Liquid Plant Food (1 gal)","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
14478,"SledgeHammer (1 qt)","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
14508,"Root Pouch","Pots & Containers",grouped,4.9,child_average,MEDIUM,"Average of 38 similar products"
14524,"Socket Sets","Grow Lights Ballast",grouped,25.4,child_average,MEDIUM,"Average of 5 similar products"
14587,"Mondi Super Saucers","Propagation Supplies",grouped,0.5,child_average,MEDIUM,"Average of 7 similar products"
14593,"Mondi Mini Greenhouse 4 and 7 Propagation Domes","Propagation Supplies",grouped,0.5,child_average,MEDIUM,"Average of 7 similar products"
14606,"PH Perfect Ultra-premium Connoisseur","Nutrients & Supplements",grouped,6.16,child_average,MEDIUM,"Average of 59 similar products"
14607,"pH Perfect Sensi Bloom 2-Part","Nutrients & Supplements",grouped,6.16,child_average,MEDIUM,"Average of 59 similar products"
14608,"pH Perfect Sensi Grow 2-Part","Nutrients & Supplements",grouped,6.16,child_average,MEDIUM,"Average of 59 similar products"
14628,"B'CuzZ CoCo Nutrients","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
14664,"TRIMPRO UNPLUGGED","Trimmers",grouped,15.38,child_average,MEDIUM,"Average of 8 similar products"
14688,"Dyna-Gro Grow","Nutrients & Supplements",grouped,3,category_default,LOW,"Default nutrient bottle (qt)"
14693,"Dyna-Gro Bloom","Nutrients & Supplements",grouped,3,category_default,LOW,"Default nutrient bottle (qt)"
14696,"Dyna-Gro Pro Tekt","Nutrients & Supplements",grouped,3,category_default,LOW,"Default nutrient bottle (qt)"
14719,"UNO Rope Ratchets","Grow Tents AC INFINITY",grouped,29.21,child_average,MEDIUM,"Average of 14 similar products"
14722,"Bond 3-Way Soil Meter","pH/EC/TDS Meters & Solutions",grouped,1,child_average,MEDIUM,"Average of 1 similar products"
14736,"EcoPlus Pump Filter Bags","Water Pumps",grouped,3.88,child_average,MEDIUM,"Average of 8 similar products"
14746,"EcoPlus Commercial Air Pumps","Air Pumps",grouped,3.88,child_average,MEDIUM,"Average of 8 similar products"
14750,"UNO Grow Tents","Grow Tents AC INFINITY",grouped,29.21,child_average,MEDIUM,"Average of 14 similar products"
14770,"12 x 18 x 3 Storage Bag (ziploc)","Air Filtration",simple,8,category_default,LOW,"Average filter"
14788,"ONA Spray","Odor Control",grouped,7.46,child_average,MEDIUM,"Average of 22 similar products"
14792,"Clonex Clone Solution","Propagation Supplies",grouped,6,child_average,MEDIUM,"Average of 3 similar products"
14796,"Hydrodyamics Clonex Mist","Propagation Supplies",simple,1,category_default,LOW,"Average tray/dome"
14802,"Vitamino","Nutrients & Supplements",grouped,7.5,child_average,MEDIUM,"Average of 2 similar products"
14869,"Tritan's Trawl","Nutrients & Supplements",grouped,12,child_average,MEDIUM,"Average of 1 similar products"
14876,"Heat Mat Single Tray","Propagation Supplies",simple,1,category_default,LOW,"Average tray/dome"
14892,"Atami RootBlastic","Nutrients & Supplements",grouped,1.5,child_average,MEDIUM,"Average of 2 similar products"
14899,"B1Cuss BlossomBuilder 946 ml.","Nutrients & Supplements",simple,2.13,size_calculation,HIGH,"946 ml liquid + container"
14905,"SunBlaster 25 watt green Visual lamp-standard socket","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
14970,"Drying Rack 4 Tier","Drying & Extraction",grouped,2,child_average,MEDIUM,"Average of 3 similar products"
15011,"Hortilux-Blue Daylight Metal Halide Lamps","Philips",grouped,0.5,category_default,LOW,"Average bulb"
15036,"Black & White Panda Film (poly)","Reflective Wall Fabric",grouped,26.28,child_average,MEDIUM,"Average of 11 similar products"
15037,"Diamond Silver White Film","Reflective Wall Fabric",grouped,33.14,child_average,MEDIUM,"Average of 11 similar products"
15059,"General Hydroponics® CocoTek® Grow - A 3 - 0 - 1 & B 1 - 2 - 4","Nutrients & Supplements",grouped,8,child_average,MEDIUM,"Average of 1 similar products"
15060,"CocoTek grow A Qts.","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
15063,"CocoTek Bloom A Qts.","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
15064,"Cocotek Bloom B Qts","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
15065,"CocoTek Grow A Gal.","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
15066,"CocoTek Grow B Gal.","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
15067,"CocoTek Bloom A Gal.","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
15068,"CocoTek Bloom B Gal.","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
15077,"B'Cuzz® Blossom Builder 0 - 9 - 19","Nutrients & Supplements",grouped,3,category_default,LOW,"Default nutrient bottle (qt)"
15094,"UNO-2 Speed Controled in line blowers","Environmental Control",grouped,14.5,child_average,MEDIUM,"Average of 4 similar products"
15106,"Dual Lamp Fixture","Grow Lights Ballast",grouped,28.5,child_average,MEDIUM,"Average of 6 similar products"
15110,"240V.LEC®Emitting Ceramic® Fixture 630 Light","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
15112,"Accurate pH 4 w/remote probe","pH/EC/TDS Meters & Solutions",grouped,0.5,category_default,LOW,"Average meter/solution"
15113,"Accurate pH 4 w/remote probe","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
15115,"Accurate pH 4 replacement /remote probe","pH/EC/TDS Meters & Solutions",simple,0.5,category_default,LOW,"Average meter/solution"
15117,"LEC 315 240V","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
15120,"Ionic® Bloom 3-2-6 Premium Plant Nutrient Qt.","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
15122,"Ionic® Bloom 3-2-6 Premium Plant Nutrient Gallon","Nutrients & Supplements",simple,9,size_calculation,HIGH,"1 gal liquid + container"
15123,"Ionic® Bloom 3-2-6 Premium Plant Nutrient 2.5 Gallon","Nutrients & Supplements",simple,22.05,size_calculation,HIGH,"2.5 gal liquid + container"
15128,"HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient 2.5 gallon","Nutrients & Supplements",simple,22.05,size_calculation,HIGH,"2.5 gal liquid + container"
15132,"HydroDynamics Ionic® PK Boost 0-5-6 Premium Plant Nutrient","Nutrients & Supplements",grouped,23,child_average,MEDIUM,"Average of 3 similar products"
15137,"Hydrodynamics int. Coco/Soil Grow & Bloom","Nutrients & Supplements",grouped,23,child_average,MEDIUM,"Average of 3 similar products"
15138,"Ionic Coco Bloom Soil/hydro Qt.","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
