Brand,Product Line,Type,Sizes Available for Special Order,Notes,Distributor
"Greenplanet","Dual Fuel (1&2)","liquid","1L, 4L, 10L, 23L","2-part base","Greenplanet Direct"
"Greenplanet","Medi One","liquid","1L, 4L, 10L, 23L","1-part complete","Greenplanet Direct"
"Greenplanet","Massive Bloom Formulation","liquid","500ml, 1L, 4L, 10L","PK booster","Greenplanet Direct"
"Greenplanet","GP3 (Grow, Micro, Bloom)","liquid","1L, 4L, 10L, 23L","3-part like GH Flora","Greenplanet Direct"
"Greenplanet","Vitathrive","liquid","500ml, 1L, 4L","B-vitamin","Greenplanet Direct"
"Greenplanet","Ocean Magic","liquid","500ml, 1L, 4L","Kelp extract","Greenplanet Direct"
"Greenplanet","Pro Cal","liquid","1L, 4L, 10L","Cal-Mag","Greenplanet Direct"
"Greenplanet","Rezin","liquid","500ml, 1L, 4L","Terpene enhancer","Greenplanet Direct"
"Greenplanet","Finisher","liquid","500ml, 1L, 4L","Late bloom ripener","Greenplanet Direct"
"Remo Nutrients","Grow","liquid","1L, 4L, 10L, 20L","","Remo Direct"
"Remo Nutrients","Micro","liquid","1L, 4L, 10L, 20L","","Remo Direct"
"Remo Nutrients","Bloom","liquid","1L, 4L, 10L, 20L","","Remo Direct"
"Remo Nutrients","VeloKelp","liquid","500ml, 1L, 4L, 10L","Kelp supplement","Remo Direct"
"Remo Nutrients","MagNifiCal","liquid","1L, 4L, 10L","Cal-Mag","Remo Direct"
"Remo Nutrients","Nature's Candy","liquid","1L, 4L, 10L","Carbs supplement","Remo Direct"
"Remo Nutrients","AstroFlower","liquid","500ml, 1L, 4L","Bloom booster","Remo Direct"
"Remo Nutrients","SuperCharged Starter Kit","kit","Kit","","Remo Direct"
"Heavy 16","Veg A&B","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon, 15 Gallon","Professional grade","Heavy 16 Direct"
"Heavy 16","Bud A&B","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon, 15 Gallon","Professional grade","Heavy 16 Direct"
"Heavy 16","Fire","liquid","Pint, Quart, Gallon, 2.5 Gallon","PK booster","Heavy 16 Direct"
"Heavy 16","Finish","liquid","Quart, Gallon, 2.5 Gallon","","Heavy 16 Direct"
"Heavy 16","Foliar","liquid","Quart, Gallon","","Heavy 16 Direct"
"Heavy 16","Roots","liquid","Pint, Quart, Gallon","","Heavy 16 Direct"
"Heavy 16","Prime","liquid","Pint, Quart, Gallon, 2.5 Gallon","Enzyme/vitamin","Heavy 16 Direct"
"Cultured Solutions","Veg A&B","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon, 15 Gallon","","Cultured Solutions Direct"
"Cultured Solutions","Bloom A&B","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon, 15 Gallon","","Cultured Solutions Direct"
"Cultured Solutions","UC Roots","liquid","Pint, Quart, Gallon, 2.5 Gallon, 5 Gallon","Hypochlorous acid - system cleaner","Cultured Solutions Direct"
"Cultured Solutions","Bud Booster Early","dry","8 oz, 1 lb, 5 lb, 25 lb","","Cultured Solutions Direct"
"Cultured Solutions","Bud Booster Mid","dry","8 oz, 1 lb, 5 lb, 25 lb","","Cultured Solutions Direct"
"Cultured Solutions","Bud Booster Late","dry","8 oz, 1 lb, 5 lb, 25 lb","","Cultured Solutions Direct"
"Cultured Solutions","Cal Mag Pro","liquid","Quart, Gallon, 2.5 Gallon","","Cultured Solutions Direct"
"Cutting Edge Solutions","Grow (1-2-3 or Micro-Grow-Bloom)","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","","Cutting Edge Direct"
"Cutting Edge Solutions","Micro","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","","Cutting Edge Direct"
"Cutting Edge Solutions","Bloom","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","","Cutting Edge Direct"
"Cutting Edge Solutions","Uncle John's Blend","liquid","Quart, Gallon, 2.5 Gallon","Sugar/carb supplement","Cutting Edge Direct"
"Cutting Edge Solutions","Plant Amp","liquid","Quart, Gallon","","Cutting Edge Direct"
"Cutting Edge Solutions","Sour-Dee","liquid","Quart, Gallon","pH Down","Cutting Edge Direct"
"Cutting Edge Solutions","Sugaree","liquid","Quart, Gallon","","Cutting Edge Direct"
"Mills Nutrients","Basis A&B","liquid","1L, 5L, 10L, 20L","","Mills Direct"
"Mills Nutrients","C4","liquid","250ml, 1L, 5L","Humic/fulvic","Mills Direct"
"Mills Nutrients","Start","liquid","100ml, 250ml, 1L","Root/seedling starter","Mills Direct"
"Mills Nutrients","Ultimate PK","liquid","250ml, 1L, 5L","PK booster","Mills Direct"
"Mills Nutrients","Vitalize","liquid","250ml, 1L, 5L","Silica supplement","Mills Direct"
"Emerald Harvest","Cali Pro A&B","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","","Emerald Harvest Direct"
"Emerald Harvest","Grow/Micro/Bloom","liquid","Quart, Gallon, 2.5 Gallon","3-part option","Emerald Harvest Direct"
"Emerald Harvest","King Kola","liquid","Quart, Gallon, 2.5 Gallon","Bloom booster","Emerald Harvest Direct"
"Emerald Harvest","Honey Chome","liquid","Quart, Gallon, 2.5 Gallon","","Emerald Harvest Direct"
"Emerald Harvest","Root Wizard","liquid","Quart, Gallon, 2.5 Gallon","","Emerald Harvest Direct"
"Emerald Harvest","Emerald Goddess","liquid","Quart, Gallon, 2.5 Gallon","Humic/kelp","Emerald Harvest Direct"
"Emerald Harvest","Cal-Mag","liquid","Quart, Gallon, 2.5 Gallon","","Emerald Harvest Direct"
"Emerald Harvest","Sturdy Stalk","liquid","Quart, Gallon","Silica","Emerald Harvest Direct"
