Brand,Product Line,Coverage,Sizes You Have,Sizes Missing,Note
"House & Garden","Bud-XL",0%,"","250ml; 500ml; 1L; 5L",""
"House & Garden","Shooting Powder",0%,"","sachet (5g); 65g; 500g; 1kg",""
"Athena","Pro Line Core",0%,"1 lb","Gallon; 5 Gallon; 15 Gallon; 55 Gallon; 275 Gallon Tote","Commercial focus - bulk pricing"
"Athena","Grow A&B",0%,"","Gallon; 5 Gallon; 15 Gallon; 55 Gallon",""
"Athena","Bloom A&B",0%,"","Gallon; 5 Gallon; 15 Gallon; 55 Gallon",""
"Athena","Balance",0%,"1 lb","Quart; Gallon; 5 Gallon",""
"Athena","Cleanse",0%,"","Gallon; 5 Gallon",""
"Athena","IPM",0%,"1 oz","Quart; Gallon; 5 Gallon",""
"Mills Nutrients","Basis A&B",0%,"","1L; 5L; 10L; 20L",""
"Mills Nutrients","C4",0%,"","250ml; 1L; 5L",""
"Mills Nutrients","Start",0%,"","100ml; 250ml; 1L",""
"Mills Nutrients","Ultimate PK",0%,"","250ml; 1L; 5L",""
"Emerald Harvest","Cali Pro A&B",0%,"","Quart; Gallon; 2.5 Gallon; 6 Gallon",""
"Emerald Harvest","King Kola",0%,"","Quart; Gallon; 2.5 Gallon",""
"Emerald Harvest","Honey Chome",0%,"","Quart; Gallon; 2.5 Gallon",""
"Emerald Harvest","Root Wizard",0%,"","Quart; Gallon; 2.5 Gallon",""
