id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,length,width,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids,brand
,,,B'cuzZ Bounce,1,0,visible,,"Atami America - A completely new medium of compressed coco-substrate. Bounce is a growing medium made of treated and washed coarse coir fibres. Bâ€™Cuzz Bounce is unlike any other compressed coco products on the market because it is washed, steamed, and buffered which results in a very high quality growing medium. This innovation removes the necessity for buffering which means one less step for the grower. Just add 5 to 7 L of water in the black plastic blockbag. Bounce can rise above 20 cm.  <p>  <b>Statistics</b>  <ul>  <li>Bounce volume after hydration: 9 L  <li>Net Weight Dry: 950 grams  <li>Dry Matter: 80%  <li>Organic Matter: 75%  <li>pH(H20): 5.0-6.5  <li>Electrical Conductivity (EC) (1/5vv): 500 uS/cm  <li>Dimensions: 18.5 cm x 18.5 cm x 6 cm  <li>Water retention capacity: 700 g water / 100 g dry matter  <li>Product of Sri Lanka  </ul>",,,taxable,standard,1,notify,1,1,0,0,0,0,Thank you for your purchase!,6.4,6.4,100,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/bcuzz_bounce.jpg,,,,,,,,,Atami B'Cuzz
,,,B'cuzZ Coco fiber 50L bag,1,0,visible,,"It's the treatment process that makes it the best!  <p>  B'cuzz Coco is the only coir product available through the retail hydroponics industry that undergoes a unique steaming and buffering process, resulting in an optimised, premium quality hydroponic growing medium. Atami has a partnership in Sri Lanka with a major coir producer. This means Atami has control over the quality of the raw coir that is used in its product. Age, origin, and the initial treatment are all important factors in determining the quality of the final product.  <p>  ***THIS ITEM DOES NOT QUALIFY FOR FREE SHIPPING***",,,taxable,standard,1,notify,1,25,36,24,12,0,Thank you for your purchase!,39.95,39.95,100,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/bcuzz_coco2.jpg,,,,,,,,,Atami B'Cuzz
,,,B'cuzz HydroGro Substrates,1,0,visible,,"Granulated rockwool can be used alone or as an amendment to organic based mixes. For example, the addition of water absorbent granulate to peat mixes at 25-50% volume, increases water holding capacity and aeration, improving plant growth and shelf life.",,,taxable,standard,1,notify,1,0,12,12,12,0,Thank you for your purchase!,49,49,0,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/hydrogro.jpg,,,,,,,,,Atami B'Cuzz
,,,B'cuzZ Hydromix,1,0,visible,,"Hydromix HP is a high porosity growing medium, specially formulated for the serious hydroponics grower. Comprised of 70% Canadian peat moss and 30% coarse horticultural perlite, Hydromix HP provides optimum conditions for plant growth where high air capacity and fast drainage are required. The product is lightweight, uniform, and blended to the highest degree of consistency.  <p>  ***THIS ITEM DOES NOT QUALIFY FOR FREE SHIPPING***",,,taxable,standard,1,notify,1,50,16,19,30,0,Thank you for your purchase!,43.95,43.95,100,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/hydromix.jpg,,,,,,,,,Atami B'Cuzz
,,,"Diatomite Hi-Silica 1/4""-5/8""M- size 40L",1,0,visible,,"<b>100% ORGANIC!</b>  <p>  <b>Diatomite (Diatomaceous Earth or ""DE"")</b> is a sedimentary rock primarily composed of the fossilized remains of unicellular fresh water plants known as <b>Diatoms</b>. Over the millennia the diatoms have been compressed to create one of the most effective growing mediums available. Diatomite consists of approximately 90% silicon dioxide, with the remainder of its contents being elemental minerals, which are essential for plant growth. All of these unique factors make Diatomite the definitive horticultural grade growing medium.  <p>  <b>High Silica Content</b> - Silica is essential for healthy plants and roots. Because diatomite is 90% silica, your plants will receive a slow release of silica resulting in healthier more robust plants.  <p>  <b>Absorbency & Porosity</b> - Diatomite is naturally very porous, and can hold 150% of its weight in water. The Silica Content, natural Absorbency, and Porous qualities result in a slow release of water and nutrients to your plants, contributing to higher yields and less watering.  <p>    <b>Capillary Action & Lateral Movement</b> - The porosity of the Diatomite contributes to its ability to draw water, while moving water and nutrients laterally throughout the medium, making Diatomite ideal for hydroponics.  <p>  ***THIS ITEM DOES NOT QUALIFY FOR FREE SHIPPING***",,,taxable,standard,1,notify,1,50,0,0,0,0,Thank you for your purchase!,0,0,100,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/Diatomite-bag-transparent11.jpg,,,,,,,,,Maidenwell
,,,CocoTek Brick & Block,1,0,visible,,"<b>Organic Compressed Media</b>  <p>  CocoTek Bricks and Blocks are three different types of compressed coconut coir. These high quality, low sodium, growing medium are an environmentally friendly alternative to sphagnum peat moss. When hydrated with water, CocoTek Bricks and Blocks rapidly expand which saves you time and effort. Cocotek Bricks and Blocks can be exclusively used by themselves, blended together or mixed with expanded clay pellets, perlite or topsoil.",,,taxable,standard,1,notify,1,0,9,5,3,0,Thank you for your purchase!,2.38,2.38,0,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/cocotek_block.jpg,,,,,,,,,General Hydroponics
,,,CocoTek Caps,1,0,visible,,"<b>Organic Growing Media</b>  <p>  For use on 2, 3, 6, and 8-inch CocoTekÂ® or plastic baskets, our Coco Capsâ„¢ are perfect for holding cuttings upright and for retaining moisture where itâ€™s needed.",,,taxable,standard,1,notify,1,0,0,0,0,0,Thank you for your purchase!,6.2,6.2,0,Pots & Containers,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/ct_caps.jpg,,,,,,,,,General Hydroponics
,,,CocoTek Liners,1,0,visible,,<b>Organic Growing Media</b>  <p>  This excellent CocoTekÂ® product is designed to sit inside plastic baskets and prevent media from falling through.,,,taxable,standard,1,notify,1,0,0,0,0,0,Thank you for your purchase!,9.38,9.38,0,Pots & Containers,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/ct_liners.jpg,,,,,,,,,General Hydroponics
,,,CocoTek Mats,1,0,visible,,"CocoTekÂ® Grow Mats are designed to lie underneath Baskets, Slabs, and Cubes, and can be easily cut to fit any size. Not only will roots grow under the Mats where moisture remains between flood cycles, but the Mats will also protect these roots from drying out. Gardeners have been discovering inventive alternative uses for our CocoTek Grow Mats; whatâ€™s yours?",,,taxable,standard,1,notify,1,0,0,0,0,0,Thank you for your purchase!,51.5,51.5,0,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/ct_mats.jpg,,,,,,,,,General Hydroponics
,,,CocoTek Planter 14 in.,1,0,visible,,"<b>Thick Walled Coir Pot</b>  <p>  CocoTekÂ® Plantersâ„¢ are attractive, durable, round coconut coir baskets about an inch thick.  <p>  The new planters from General Hydroponics work well in hanging baskets or as containers for any growing medium. CocoTekÂ® Plantersâ„¢ are an extremely sturdy and all-natural alternative to plastic, as they are 100% organic and biodegradable.",,,taxable,standard,1,notify,1,2,0,0,0,0,Thank you for your purchase!,18.7,18.7,1000,Pots & Containers,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/ct_planters.jpg,,,,,,,,,General Hydroponics
,,,Rapid Rooter Rooting Plugs,1,0,visible,,"Rapid Rooter's breakthrough technology produces a unique matrix of composted organic materials bonded together with plant-derived polymers. Rapid Rooter plugs are manufactured using a scientifically controlled process that yields large populations of beneficial microbes in the media. These naturally-occurring microbes colonize young roots, helping plants resist disease while maximizing nutrient uptake. Rapid Rooter plugs are fortified with General Hydroponic micro nutrients for abundant root growth. The optimal air-to-water ratio within the plug matrix results in explosive early root growth. Use Rapid Rooter for robust early rooting that supports explosive plant growth.",,,taxable,standard,1,notify,1,0,0,0,0,0,Thank you for your purchase!,16.7,16.7,0,Growing Medium,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/rapid_rooter.jpg,,,,,,,,,General Hydroponics
,,,Rapid Rooter Rooting Plugs,1,0,visible,,"Rapid Rooter's breakthrough technology produces a unique matrix of composted organic materials bonded together with plant-derived polymers. Rapid Rooter plugs are manufactured using a scientifically controlled process that yields large populations of beneficial microbes in the media. These naturally-occurring microbes colonize young roots, helping plants resist disease while maximizing nutrient uptake. Rapid Rooter plugs are fortified with General Hydroponic micro nutrients for abundant root growth. The optimal air-to-water ratio within the plug matrix results in explosive early root growth. Use Rapid Rooter for robust early rooting that supports explosive plant growth.",,,taxable,standard,1,notify,1,0,0,0,0,0,Thank you for your purchase!,16.7,16.7,0,Propagation Supplies,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/rapid_rooter.jpg,,,,,,,,,General Hydroponics
,,,BASIC Magnetic Ballast,1,0,visible,,"BASIC Magnetic Ballast<br>  <b>High Performance + for less</b>  <p>  Available Sizes: 1000W Switchable, 400W Switchable, 600W HPS  <ul>  <li>Cool Running  <li>Easy Handles  <li>Super Quiet  <li>Super Heavy-Duty with American Aerovox Cap.  <li>Factory Tested/ uL & CSA  <li>HPS/MH Switch  <li>120V/240V EZ Switch  <li>Power Cord for 110V  <li>3-Year Warranty  </ul>  <p>  Full featured frills for financially frugal folks. Basic Ballasts are magnetic coil ballasts.  <p>  For the budget minded consumer who are looking for the lowest price, with the highest quality components available on the market today. This Basic Magnetic Ballast is near silent and simple to use. Equipped with convenient carrying handles, these steel cased ballasts are vented to run cooler,than older ballast designs.  <p>  Basic Magnetic Ballast is one of the coolest running Magnetic ballasts in the market. Simpley Switch for Halide ,or Sodium lamps. 120 or 240?...doesn't matter, this ballast comes with an innovative 120-volt / 240-volt EZ Switch.",,,taxable,standard,1,notify,1,0,0,0,0,0,Thank you for your purchase!,99,99,0,Grow Lights Ballast > Magnetic Ballasts,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/BAL-1000VLG 2 outlets.jpg,,,,,,,,,
,,,AeroFlo2,1,0,visible,,"Legendary growth and yield are the hallmarks of the General Hydroponics AeroFlo2&reg; System line. Countless growers, academics, and researchers across the globe agree that no other hydroponic system delivers the same staggering. growth rates and robust crops. The AeroFlo2&reg; super-oxygenates the nutrient solution to deliver oxygen, water, and nutrients in ideal combinations, thus creating. a root zone environment that surpasses anything. found in nature. This system creates stronger, more resilient plants, as well as increased yields. For the expert grower seeking to bring plants to harvest earlier and to maximize the productivity of their grow space, the AeroFlo2&reg; produces unbeatable results. With five different models to choose from, there is an AeroFlo2&reg; unit for every requirement.  <p>    <table><tr>    <td valign=top><img border=""0"" width=168 height=146 src=""images/AF18B.jpg""></td>  <td valign=top><span class=subheading><strong>AeroFlo2&reg; 18</strong></span><br>  <i>18 Site Aeroponics System</i>  <p>    With a 17-gallon reservoir and 18 plant sites, the AeroFlo2 18 site is perfect for those who want a compact, high performance system, particularly well-suited to growing lettuce, basil, and other small plants up to three feet in height.  <p>  The AeroFlo2 18 is sized 2 ft x 5 ft 2 in.    <p>  This system includes:  <ul>  <li>17 gallon reservoir  <li>Three 4 ft. grow chambers  <li>waterPower 120 pump  <li>injection manifold  <li>support structure  <li>3 in. grow cups  <li>CocoTek Coco cups and Hydroton  <li>3 part Flora Kit  </ul>    </td>  </tr></table>  <p>        <table><tr>  <td valign=top><img border=""0"" width=168 height=186 src=""images/AF20_view-c.jpg""></td>  <td valign=top><span class=subheading><strong>AeroFlo2&reg; 20</strong></span><br>  <i>20 Site Aeroponics System</i>  <p>    The AeroFlo2&reg; 20 site system is an excellent choice for growing small crops such as lettuce, cucumbers, peppers, basil, and other herbs. Varieties of flowers and tomatoes, which do not grow taller than three feet, will also do well. The AeroFlo 2 20 site system includes everything. you need to get started, and will work beautifully when placed near a sunny window in your home or office.    <p>  The AeroFlo2&reg; 20 is sized 1 ft 6 in. x 7 ft  <p>  This system includes:  <ul>  <li>8 gallon reservoir  <li>2 - 6 ft grow chambers  <li>Mag Drive #3 pump  <li>injection manifold  <li>support structure  <li>3 in. Grow Cups  <li>CocoTek&reg; Coco cups and Hydroton    <li>3 part Flora Kit  </ul>    </td>  </tr></table>  <p>      <table><tr>  <td valign=top><img border=""0"" width=168 height=186 src=""images/AF30.jpg""></td>  <td valign=top><span class=subheading><strong>AeroFlo2&reg; 30</strong></span><br>  <i>30 Site Aeroponics System</i>    <p>    With a 20 gal reservoir and thirty plant sites, the AeroFlo2&reg; 30 site system's three grow chambers can be kept side-by-side or fanned out in a radial pattern to maximize growth on lower branches. The AeroFlo2&reg; 30 site is perfect for those who want a smaller, high performance system, particularly well-suited to growing lettuce, basil, and other small plants up to three feet in height.  <p>  The AeroFlo2&reg; 30 is sized 2 in. 6 in. x 7 ft  <p>  This system includes:  <ul>    <li>20 gallon reservoir  <li>Three 6 ft grow chambers  <li>Bluestone pump  <li>injection manifold  <li>support structure  <li>3 in. grow cups  <li>CocoTek&reg; Coco cups and Hydroton  <li>3 part Flora Kit  </ul>    </td>  </tr></table>  <p>        <table><tr>  <td valign=top><img border=""0"" width=168 height=186 src=""images/AF36.jpg""></td>  <td valign=top><span class=subheading><strong>AeroFlo2&reg; 36</strong></span><br>  <i>36 Site Aeroponics System</i>  <p>    Designed specifically for indoor cultivation under a grow light, the AeroFlo2&reg; 36 site system offers thirty-six plant sites in a compact footprint. It also features a generous 40 gal Panda2&reg; reservoir.    <p>  The AeroFlo2&reg; 36 is sized 4 ft 2 in. x 4 ft 7 in.  <p>  This system includes:  <ul>  <li>40 gal Panda&reg; reservoir  <li>Six 4 ft grow chambers  <li>Bluestone pump  <li>injection manifold  <li>Support structure  <li>3 in. grow cups  <li>CocoTek&reg; Coco Cups and Hydroton    <li>3 part Flora Kit  </ul>    </td>  </tr></table>  <p>          <table><tr>  <td valign=top><img border=""0"" width=168 height=186 src=""images/AF60.jpg""></td>  <td valign=top><span class=subheading><strong>AeroFlo2&reg; 60</strong></span><br>    <i>60 Site Aeroponics System</i>  <p>  Our largest AeroFlo2&reg; unit, the AeroFlo2&reg; 60, accommodates sixty plant sites. Growers who wish to expand this system can enjoy 120 plant sites with the addition of our AeroFlo2&reg; 60 Extension Unit. Users can choose to configure the grow chambers all on the same side or to stagger them to cover a larger area or to grow larger plants. The AeroFlo2&reg; 60 features a generous 40 gal Panda&reg; reservoir.    <p>  The AeroFlo2&reg; 60 is sized as follows:  <ul>  <li>Standard configuration: 5 ft 1 in. x 6 ft 10 in.  <li>Staggered configuration: 5 ft 1 in. x 11 ft 7 in.  <li>Aero Flo 2 60 with Extension Unit: 9 ft 7 in. x 6 ft 10 in.  </ul>  This system includes:  <ul>  <li>40 gal Panda&reg; reservoir  <li>Six 6 ft grow chambers  <li>TNC pump    <li>injection manifold  <li>Support structure  <li>3 in. Grow Cups  <li>CocoTek&reg; Coco Cups and Hydroton  <li>3-part Flora Kit  </ul>  </td>  </tr></table>  <p>        <table><tr>  <td valign=top>  <img border=""0"" width=168 height=186 src=""images/AF60_extension.jpg""><br>    <img border=""0"" width=168 height=186 src=""images/AF60_staggered.jpg""><br>  </td>    <td valign=top><span class=subheading><strong>AeroFlo2&reg; 60 Extension</strong></span><br>  <p>  Our largest AeroFlo2&reg; unit, the AeroFlo2&reg; 60, accommodates sixty plant sites. Growers who wish to expand this system can enjoy 120 plant sites with the addition of our AeroFlo2&reg; 60 Extension Unit. Users can choose to configure the grow chambers all on the same side or to stagger them to cover a larger area or to grow larger plants. The AeroFlo2&reg; 60 features a generous 40 gal Panda&reg; reservoir.    <p>  The AeroFlo2&reg; 60 is sized as follows:  <ul>  <li>Standard configuration: 5 ft 1 in. x 6 ft 10 in.  <li>Staggered configuration: 5 ft 1 in. x 11 ft 7 in.  <li>Aero Flo 2 60 with Extension Unit: 9 ft 7 in. x 6 ft 10 in.  </ul>  <p>  This system includes:  <ul>  <li>40 gal Panda&reg; reservoir  <li>Six 6 ft grow chambers    <li>reservoir coupler  <li>injection manifold  <li>Support structure  <li>3 in. Grow Cups  <li>CocoTek&reg; Coco Cups and Hydroton  <li>3-part Flora Kit  </ul>        </td>  </tr></table>",,,taxable,standard,1,notify,1,0,12,12,12,0,Thank you for your purchase!,421.67,421.67,0,Hydroponic Gardens,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/AF36.jpg,,,,,,,,,General Hydroponics
,,,EuroGrower,1,0,visible,,"<i>Drip Hydroponic System</i>  <p>  The new EuroGrower&reg; from General Hydroponics is the ideal system for someone new to gardening. The EuroGrower&reg; provides users with a simple, yet elegant approach to home hydroponics. The heart of the EuroGrower&reg; is our custom designed 40 gal Panda&reg; reservoir, which is more than adequate for its eight 2 gal buckets. Whether using a soil or soil-less medium, growers can use the EuroGrower&reg; virtually anywhere. The EuroGrower&reg; comes complete with Flora Series nutrients, which are currently the industry standard.  <p>  This system is sized 4 ft 7 in. x 2 ft  <p>  This system includes:  <ul>  <li>40 gal Panda&reg; reservoir  <li>8 buckets  <li>250gph Mag-Drive&reg; 2  <li>Mag-Drive&reg; Pump  <li>CocoTek&reg; bricks  <li>Hydroton  <li>pH kit  <li>Grasslin timer  <li>3-part Flora Kit  </ul>",,,taxable,standard,1,notify,1,92,0,0,0,0,Thank you for your purchase!,616.65,616.65,100,Hydroponic Gardens,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/euro_grower.jpg,,,,,,,,,General Hydroponics
,,,MegaFarm,1,0,visible,,"<i>Drip Hydroponic System</i>  <p><br>  The MegaFarm&reg; is built out of thick high-impact plastic to assure a long service life. The MegaFarm&reg; has a unique 20 gal growing chamber on top of another 20 gal reservoir, along with a dual drip ring to allow the grower unlimited plant options. The MegaFarm will grow small, medium, large and extra large plants. With its large water capacity and low water requirements, the MegaFarm&reg; is simple and efficient. The MegaFarm&reg; is one of the only systems out on the market that can grow extra large sized plants, including many varieties of trees.  <p>  This system is sized 1 ft x 1 ft  <p>  This system includes (sold as complete system only):  <ul>  <li>20 gal reservoir  <li>20 gal growing chamber  <li>Dual drip ring  <li>Pumping columns  <li>Dual output air pump  <li>1/4 in. air line  <li>Hydroton  <li>Flora Series nutrients  </ul>",,,taxable,standard,1,notify,1,100,0,0,0,0,Thank you for your purchase!,318.78,318.78,100,Hydroponic Gardens,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/megafarm.jpg,,,,,,,,,General Hydroponics
,,,PowerGrower,1,0,visible,,"<i>Hydroponic Drip System</i>  <p>  Air driven hydroponic modules have dramatically evolved since our introduction of the original AquaFarm in 1976. The new hexagonal PowerGrower    &reg; incorporates numerous design inovations and is protected by several patents. It is 15 inches across the top and 15 inches tall and consists of a single growing chamber at the top with an integrated reservoir below. The unique hexagonal shape enables growers to place units close together when plants are small and then seperate them as the plants grow. A configuration of seven units placed together creates a high performance hydroponics growing area measuring 4 feet across. This efficient use of space resembles a high-density honeycomb. This big step forward in hydroponic system design will delight experienced growers as well as those new to hydroponics.    <br>   The PowerGrower  &reg; comes in two froms, complete or modular. The complete PowerGrower&reg; is designed to be a stand-alone system and includes all the items listed below. The modular unit comes without Elite air pump, Clay Pebbles and Flora Kit. The modular unit is designed to use with a General Hydroponics controler supplying multiple PowerGrower&reg; units.    <p>      Complete system includes:    <ul>      <li>5.7 gal reservoir        <li>3 gal growing chamber          <li>Pumping column & support tube            <li>Drip ring              <li>1/2 in. grommet                <li>Drain level tube                <li>Elite&reg; 800 air pump                <li>9L Clay Pebbles                <li>3-part Flora Kit              </ul>",,,taxable,standard,1,notify,1,0,12,12,12,0,Thank you for your purchase!,80.12,80.12,100,Hydroponic Gardens,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/pge.jpg,,,,,,,,,General Hydroponics
,,,RainForest Series,1,0,visible,,"<i>Aeroponics Cloning/Growing System</i><i>    </i></p>  <table>    <tbody><tr><td>   For propagating cuttings or quick-starting seeds, rooting transplants or   seedlings, no other hydroponic system will match the performance of the   RainForest. This system is ideal for starting plants or even growing   plants to maturity and on to harvest. Many growers choose to start their   plants in RainForest modules and later transplant them into larger   systems such as our WaterFarm. Several RainForest modules can be   connected to a Texas Controller for creating larger installations.  </td>  </tr>  </tbody></table>  <p>  <table>  <tbody><tr><td valign=""top"">  <img src=""images/RF36.jpg"" border=""0"" height=""186"" width=""168""><br>  </td>  <td valign=""top"">  <span class=""heading""><strong>RainForestÂ® 36</strong></span><br>  <i>Six 3 in. Site Aeroponics System</i>  <p>  The RainForest 36 is our least expensive RainForest system. It is ideal   for small projects in limited space. A submerged pump circulates and   aerates the nutrient solution.  </p><p>  This System's size is 12 in. circular  </p><p>  This system includes:  </p><ul>  <li>4 Gallon Reservoir with Lid  </li><li>RioÂ® 600 pump assembly  </li><li>3 in. Plastic Cups  </li><li>CocoTekÂ® Liners and Caps  </li><li>3-Part Flora Kit  </li></ul>  </td></tr>  </tbody></table><p>      <table>  <tbody><tr><td valign=""top"">  <img src=""images/RF66.jpg"" border=""0"" height=""186"" width=""168""><br>  </td>  <td valign=""top"">  <span class=""heading""><strong>RainForestÂ® 66</strong></span><br>  <i>Six 6 in. Site Aeroponics System</i>  <p>  The Rainforest 66 is a favorite among users who wish to grow medium to   large size plants. VortexÂ® Sprayer lifts and oxygenates the nutrient   solution, and then gently distributes it over cutting's bases or root   systems.  </p><p>  This system's size is 24 in. hexagonal  </p><ul>  This system includes:  <li>17-Gallon Reservoir with Lid  </li><li>Six 6 in. Lid inserts  </li><li>VortexÂ® Sprayer  </li><li>6 in. Plastic Cups  </li><li>CocoTekÂ® Liners  </li><li>CocoTekÂ® Caps  </li><li>3-Part Flora Kit  </li></ul>  </td></tr>  </tbody></table><p>  <table>  <tbody><tr><td valign=""top"">  <img src=""images/RF236.jpg"" border=""0"" height=""186"" width=""168""><br>  </td>  <td valign=""top"">  <span class=""heading""><strong>RainForestÂ® 236</strong></span><br>  <i>Thirty-six 2 in. Site Aeroponics System</i>  <p>  Growers can use the RainForest 236 to create a modestly sized nursery.   Use this model to propagate cuttings or to quick-start seeds in a small   footprint area. Vortex Sprayer lifts and oxygenates nutrient solution   then gently sprays it over cutting bases or root systems.  </p><p>  This system's size is 24 in. hexagonal  </p><p>  This system includes:  </p><ul>  <li>17-Gallon Reservoir with Lid  </li><li>Six 2 in. Lid inserts  </li><li>VortexÂ® Sprayer  </li><li>2 in. Plastic Cups  </li><li>CocoTekÂ® Liners  </li><li>CocoTekÂ® Caps  </li><li>3-Part Flora Kit  </li></ul>  </td></tr>  </tbody></table><p>  <table>  <tbody><tr><td valign=""top"">  <img src=""images/RF318.jpg"" border=""0"" height=""186"" width=""168""><br>  </td>  <td valign=""top"">  <span class=""heading""><strong>RainForestÂ® 318</strong></span><br>  <i>Eighteen 3 in. Site Aeroponics System</i>  <p>  The RainForestÂ® 318 can accommodate up to eighteen small plants from   cuttings to harvest, or up to ninety cuttings for rooting and   transplantation using the 3 in. CocoTekÂ® coconut caps included. VortexÂ®   Sprayer lifts and oxygenates nutrient solution then gently sprays it   over cutting bases or root systems.  </p><p>  This system's size is 24 in. hexagonal  </p><p>  This system includes:  </p><ul>  <li>17-Gallon Reservoir with Lid  </li><li>Six 3 in. Lid inserts  </li><li>VortexÂ® Sprayer  </li><li>3 in. Plastic Cups  </li><li>CocoTekÂ® Liners  </li><li>CocoTekÂ® Caps  </li><li>3-Part Flora Kit  </li></ul>  </td></tr>  </tbody></table>  <table>  <tbody><tr><td valign=""top"">  <img src=""images/rainforest_modular_base_unit.jpg"" border=""0"" height=""202"" width=""168""><br>  </td>  <td valign=""top"">  <span class=""heading""><strong>Rainforest Modular Base Unit</strong></span> - <i>replacement parts</i>  <p>  No hydroponic system exists For propagating cuttings or for   quick-starting seeds, seedlings, or transplants, that will match the   performance of the RainForest. The Vortex Sprayer lifts and oxygenates   nutrient solution then distributes it over the cuttings base or root   system, giving you optimum amounts of oxygen in the root zone . This   system is ideal for starting plants or even for growing plants to   maturity and harvest. Growers may also choose to start their plants in   RainForest modules and later transplant them into larger systems like   The WaterFarm.    </p></td></tr>  </tbody></table><center></center>  <p>      <span class=""heading""><strong>Lid Kit</strong></span>  </p>  <table>  <tbody><tr><td valign=""top"">  <img src=""images/rainforest_lids1.jpg"" border=""0"" height=""115"" width=""123"">  </td>  <td valign=""top"">  LID KIT ONLY for complete system, refer to item number /GH660 /GH6700 /GH6800.  </td></tr></tbody></table>  </p><center><img src=""images/rainforest_lids2.jpg"" border=""0"" height=""70"" width=""550""></center>",,,taxable,standard,1,notify,1,0,12,12,12,0,Thank you for your purchase!,113,113,0,Hydroponic Gardens,,,,,,,http://hmoonhydroponics.com/wp-content/uploads/2019/08/AquaStackRF.jpg,,,,,,,,,General Hydroponics
