ID,Title,Content,Excerpt,Date,"Post Type",Permalink
13173,"FloraBlend qt","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/florablend-qt/
13175,"FloraBlend gal","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/florablend-gal/
13176,"FloraBlend 2.5 gal","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/florablend-2-5-gal/
13177,"FloraBlend 6 gal","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/florablend-6-gal/
13178,BioThrive,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/biothrive/
13179,"Flora Series","Flora Series&trade; is the most widely used hydroponic fertilizer in the world because it is the best!  <ul>  <li>GH Flora Series&trade; is the original Building-Block Nutrient System - imitated but never duplicated  <li>Contains complete Primary, Secondary and Micro Nutrients - for enhanced yields and better crop quality  <li>Users can adjust mixtures to suit specific plant needs  <li>Enhances flavor, nutrition, aroma and essential oils in both hydroponic and soil cultivated plants  <li>Contains highly purified concentrates for maximum solubility  <li>pH balanced for ease of use  <li>NASA and Antarctic research scientists choose Flora Series<sup>&trade;</sup> -- because of its superior formulation and reliability  <li>The General Hydroponics Flora Series<sup>&trade;</sup> is known throughout the world as the industry standard    </ul>  <table>  <tr>  <td valign=top><img border=""0"" width=100 height=110 src=""images/FloraMicroHW.jpg""></td>  <td valign=top><span class=subheading><strong>Flora Micro&reg; Hardwater</strong></span>  <p>  If your tap water is over 200 ppm (or contains Calcium above 70 ppm), use Flora Micro Hardwater. If your water contains 30 to 50 ppm Calcium, you can mix our original Flora Micro with Flora Micro Hardwater to create a perfect Micro blend for your plants.  </td>  </tr></table>  <table>    <tr>  <td valign=top><img border=""0"" width=100 height=110 src=""images/FloraMicro.jpg""></td>  <td valign=top><span class=subheading><strong>Flora Micro&reg;</strong></span>    <p>  The foundation of the ""Building-Block"" System, Provides Nitrogen, Potassium, Calcium, and trace elements.  </td>  </tr></table>  <table>    <tr>  <td valign=top><img border=""0"" width=100 height=110 src=""images/FloraGro.jpg""></td>  <td valign=top><span class=subheading><strong>Flora Gro&reg; </strong></span>  <p>  Stimulates structural and vegetative growth. Builds strong roots. Provides Nitrogen, Phosphorous, Potassium, and secondary minerals.  </td>  </tr></table>  <table>    <tr>  <td valign=top><img border=""0"" width=100 height=110 src=""images/FloraBloom.jpg""></td>  <td valign=top><span class=subheading><strong>Flora Bloom&reg;</strong></span>  <p>  Stimulates flower and fruit development. Enhances flavor, aroma, and essential oils. Provides high Phosphorous, Potassium, Magnesium, and Sulfur.  </td>  </tr></table>  <p>    <a href=http://www.genhydro.com/genhydro_US/fchcol.html target=_blank rel=""noopener noreferrer"">Click here for the handy Flora SeriesPPM calculator</a>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/flora-series/
13180,"FloraNova Series","<i>Liquid Super Concentrated Nutrient</i>  <ul>  <li>The marriage of hydroponic & organic gardening methods  <li>Extremely easy to use  <li>Outstanding for all plant types  <li>Superb for Hydroponic, Soil-less, and Soil Cultivation  <li>Super Concentrated and pH Stabilized  <li>Optimum nutrient absorption is aided by Natural Humic Extracts  </ul>  <p>  FloraNova<sup>&trade;</sup> represents a breakthrough in fertilizer technology, as it gives users both the strength of a dry concentrate and the ease of a liquid. This unique formulation of highly purified minerals and natural additives combines the benefits of hydroponic as well as organic gardening methods. FloraNova<sup>&trade;</sup>, one part formulation, combines all the elements required for hydroponic cultivation, plus it is extremely concentrated. A very small amount of FloraNova<sup>&trade;</sup> mixed with fresh water will provide your plants with proper nutrition. FloraNova<sup>&trade;</sup> works superbly in hydroponic environments, as well as with both soil-less mixtures and soil grown plants.    <p>  <b>Remember that due to its high concentration, FloraNova<sup>&trade;</sup> must be shaken vigorously before each use!</b>  <table><tr>  <td valign=top><img border=""0"" width=100 height=110 src=""/images/FNovaGrow.jpg""></td>  <td valign=top><span class=subheading><strong>FloraNova Grow&reg;</strong></span><br>  <p>  Use this specialized nutrient for rapidly growing plants during the structural and foliar growth phase.  </td>  </tr></table>  <table>    <tr>  <td valign=top><img border=""0"" width=100 height=110 src=""/images/FNovaBloom.jpg""></td>  <td valign=top><span class=subheading><strong>FloraNova Bloom&reg;</strong></span><br>  <p>  Use this specialized nutrient for flowering plants during the blooming and fruiting stages.  </td>  </tr></table>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/floranova-series/
13181,"Maxi Series","<i>Dry Concentrated Nutrient</i>  <p>   MaxiGro&trade; and MaxiBloom&trade; are extremely potent, stand-alone, water-soluble, dry concentrate nutrients. Complete in primary, secondary, and micro nutrients, pH buffered MaxiGro&trade; and MaxiBloom&trade; will provide superior results when used with a wide variety of crops in both hydroponic and soil-based environments.  <table><tr>  <td valign=top><img border=""0"" width=100 height=110 src=""/images/MaxiGro.jpg""></td>  <td valign=top><span class=subheading><strong>MaxiGro&reg;</strong></span><br>  <p>  Use to encourage growth of seedlings and cuttings, and to stimulate rapid growth through the ""vegetative"" growth stage.  </td>  </tr></table>  <table>    <tr>  <td valign=top><img border=""0"" width=100 height=110 src=""/images/MaxiBloom.jpg""></td>  <td valign=top><span class=subheading><strong>MaxiBloom&reg;</strong></span><br>  <p>  Use for the reproductive stage in fast growing annuals. MaxiBloom encourages prolific flowering and fruiting, and increases yields and crop quality.  </td>  </tr></table>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/maxi-series/
13182,BioBud,"BioBud provides flowering plants with minerals, humates, and amino acids. It encourages profuse and abundant flowering and fruit production. BioBud works in harmony with General Organics BioThrive Bloom fertilizer as a bloom enhancer.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/biobud/
13183,BioMarine,"BioMarine is an enzymatically extracted fish protein that naturally enhances soils and boosts plant growth. This fish-based fertilizer encourages beneficial microbes for better roots, stems, foliage, flowers, and fruits. A superior natural source of plant nutrition, BioMarine suits all types of plants during all phases of growth, from seedling through harvest.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/biomarine/
13184,BioRoot,"BioRoot is a natural plant growth supplement that helps plants establish healthy and vibrant root systems.

It contains plant-and mineral-derived organic acids and humates that encourage beneficial microbial activity in the root zone.

BioRoot is outstanding for seedlings and cuttings as well as all phases of plant growth. Use BioRoot with all types of plants growing in all kinds of garden soils and potting mixes. It works in harmony with the superior plant nutrition of the General Organics BioThrive Grow and Bloom.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bioroot/
13185,BioWeed,"BioWeed is a plant and soil vitality booster. An organic blend of cold processed seaweeds encourages dramatically enhanced and thriving vegetative growth. It works in harmony with the superior plant nutrition of the General Organics BioThrive Grow and Bloom.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/bioweed/
13186,CaMg+,"CaMg+ is a component of the unique organic BioThrive Grow and BioThrive Bloom formula. CaMg+ is derived from all natural sources, not calcium nitrate. It must be added in conjunction to make calcium available to plants grown hydroponically. Calcium is an essential element that plants use to building strong healthy cell walls. Thus, it also promotes disease resistance. In general, it is a great supplement containing additional minerals necessary for structure.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/camg/
13187,"Diamond Black","Diamond Black is derived from 100% pure mined Leonardite, a naturally occurring form of carbon drawn from prehistoric peat bogs. Containing an exceptionally high percentage of plant-active humates, Diamond Black supports benefi cial microbial activity in soils and increases micronutrient availability. Diamond Black can be added to all kinds of garden soils and potting mixes, and used with a wide variety of plants during all phases of growth.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/diamond-black/
13188,"Diamond Nectar","<i>Liquid Premium Organic Humic Acid</i>

Despite the low level of nutrients found in natural soil-based environments, plant growth nevertheless occurs because the smallest humic acids channel available nutrients directly into nearby vegetation. By accelerating nutrient absorption at the root boundary zone where minerals enter the plant, small particle sized humic acids optimize nutrient uptake in fast growing vegetation. Diamond Nectar™ applies the magic of the smallest available humic acids to nutrient rich hydroponic environments by grabbing these nutrient minerals and transporting them into plant roots for faster growth and higher yields. Diamond Nectar™ supercharges your nutrients in order to optimize the health of your plants and the quality of your crops.

Due to the natural nature of this organic product, variations in color may occur. Be assured each batch of Diamond Nectar™ is tested for consistent quality and results you can count on.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/diamond-nectar/
13189,"FloraDuo Complete","<b>FloraDuo Complete, concentrated and cost effective.<br>  FloraDuo is a new formula derived from the latest scientific discoveries</b>  <br><br>  FloraDuo is a ""classic"" mineral nutrient, with a difference (and an essential one), where each of the elements a plant needs is derived from a large variety of different sources. To create an excellent nutrient, you need of course a precise formula. But this is not all! It also is very important that each element comes from different sources, and different salts. This is how they are made available at all times, in a form plants can absorb them. And we don't stop at that. We add in our bottle elements we could call ""bio-activators"", that are not directly nutrients for plants, but which improve their general health, help them better absorb their food, and better resist to pathogen and insect aggressions.  <br><br>  FloraDuo is a complete nutrient, especially designed for fast growing plants, with a marked difference between growth and flowering needs. It comes in 2 parts: FloraDuo Grow and FloraDuo Bloom. it to all regions, FloraDuo is highly concentrated : 4 ml/L are enough for a balanced and vigorous growth. Its price also is very attractive.  <br><br>  FloraDuo is economical and cost effective. FloraDuo is also user-friendly : by mixing 3 parts FloraDuo Grow with 1 part FloraDuo Bloom, you'll address all growth requirements. Then, by reversing these proportions (3 parts Bloom with 1 part Grow), you'll attend to all fl owering needs. FloraDuo guarantees a perfect balance between growing and flowering. You need nothing else for abundant and healthy yields. Like for all our nutrients, FloraDuo is an exhaustive formula: no need for complements to improve your plants diet. It includes 30 years of studies and experience, from our years collaborating with research laboratories (particularly with the University of California at Davis), and also thanks to the information provided by thousands of people using our products worldwide.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/floraduo-complete/
13190,"Floralicious Series","<i>Organic Based Supplements</i>

Floralicious is a potent organic nutrient additive made from the best nature has to offer. A highly concentrated blend of plant, marine plants, and mineral extracts, Floralicious allows users to experience flavors, aroma, and yield like never before! And Floralicious is much more economical to use than the leading supplement. Guided by the latest scientific findings, our unique fermentation process creates a potent blend of phytostimulants and biometabolic precursors that enables Floralicious to bring out your plants full genetic potential. Floralicious augments metabolic activity in the root zone, stimulates Krebs cycle metabolism, and facilitates mineral transport and bioconversion. In addition, Floralicious enhances polyamine synthesis and encourages the biosynthesis of complex secondary aromatic compounds. Floralicious contains a perfect balance of vitamins, phytohormones, humic acids, polysaccharides, fructans, beta-glucans, L-amino acids, and polyflavonoids. Floralicious leads to hydroponics with flavor and incredible yields!
<table>
<tbody>
<tr>
<td valign=""top""><img src=""images/FloraliciousBloom.jpg"" width=""100"" height=""110"" border=""0"" /></td>
<td valign=""top""><span class=""subheading""><strong>Floralicious™ Bloom</strong></span>
<i>Organic Based Supplement</i>

Floralicious Bloom™ promotes maximum flower size and fruit swelling for heavier yields. Offers phenomenal flavor and bouquet upon harvest. Leads to more coloration that is vibrant with an improved overall appearance.</td>
</tr>
</tbody>
</table>
<table>
<tbody>
<tr>
<td valign=""top""><img src=""images/FloraliciousGrow.jpg"" width=""100"" height=""110"" border=""0"" /></td>
<td valign=""top""><span class=""subheading""><strong>Floralicious™ Grow</strong></span>
<i>Organic Based Supplement</i>

Floralicious Grow™ enhances metabolic activities and nutrient assimilation that results in more vigorous growth. Builds the foundation of root and leaf mass needed for superior harvests.</td>
</tr>
</tbody>
</table>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/floralicious-series/
13191,"Floralicious Plus","<i>Super Concentrated Nutrient Enhancer</i>

Its all in there! Floralicious Plus™ is a super concentrated blend of plant, marine, and mineral extracts. Floralicious Plus™ is a one part nutrient additive to be used throughout the plants growing cycle.

Floralicious Plus™ contains the natural building blocks of life and is used in addition to your regular fertilizer program.

Floralicious Plus™ enhances mineral nutrient uptake and transport in your plants. The active carbon technology facilitates the conversion and biosynthesis of complex secondary aromatic compounds. Floralicious Plus™ enhances metabolic growth, promotes flower development, encourages fruit swelling, and facilitates essential oil production. Floralicious Plus™ will also encourage beneficial microbial activity in the root zone.

Floralicious Plus™ means plants with incredible flavor and extraordinary yield!",,"September 3, 2019",product,http://hmoonhydroponics.com/product/floralicious-plus/
13192,FloraNectar,"<i>Sweetener</i>

Our scientists have formulated FloraNectar to optimize the greatest transference of sweetness and aroma into your fruits and flowers.

FloraNectar contains all natural raw cane sugar, molasses, malt syrup, select plant based esters, L-amino acids, organic acids, polyflavonoids, vitamins and essential minerals.

This unique blend of ingredients helps your plants regulate enzymes that trigger specific reactions involved in maintaining optimal metabolism. This allows your plants to achieve a balance between respiration and photosynthesis in high intensity growing environments where the rate of respiration can sometimes exceed the rate of photosynthesis.

As a result, FloraNectar ensures optimal metabolic rates during the flowering and fruiting phase when nitrogen levels have been reduced.

FloraNectar also promotes a sturdier plant structure during the vegetative phase when high levels of nitrogen are present.

FloraNectar fulfills the additional energy requirements of your plants throughout all phases of growth and during stressful times of transition.",,"September 3, 2019",product,http://hmoonhydroponics.com/product/floranectar/
13193,"Flora Shield","<i>Plant and System Rinse</i>
<ul>
 	<li>Maintain healthy roots without resorting to harsh, toxic chemicals.</li>
 	<li>FloraShield's unique combination of compounds can thoroughly rinse systems and plants during all phases of the life cycle.</li>
 	<li>Its mode of action makes General Hydroponics FloraShield safe to use on and around actively growing plants at all stages of growth.</li>
 	<li>Growers around the globe attest to FloraShield's ability to solve root rot problems.</li>
</ul>",,"September 3, 2019",product,http://hmoonhydroponics.com/product/flora-shield/
