Handle,Product_Name,Product_Type,Status,Published_Date,Tags,Vendor,Description,SEO_Title,SEO_Description,Variant_Title,Variant_SKU,Variant_Price,Variant_Compare_Price,Variant_Inventory,Variant_Weight,Variant_Weight_Unit,Variant_Requires_Shipping,Variant_Taxable,Variant_Option1_Name,Variant_Option1,Variant_Fulfillment_Service,Variant_Inventory_Policy,Variant_Inventory_Tracker,Variant_Barcode,Image_URL
big-bloom-liquid-plant-food,Big Bloom Liquid Plant Food,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Big Bloom Liquid Plant Food (1 qt),hmh01083,22.99,,0,0.00,lb,True,True,Size,(1 qt),manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/product_BIGBLOOM.jpg?v=1761678795
bioroot,BioRoot,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,BioRoot 1 gal,hmh00250,52.70,,0,12.00,oz,True,True,Size,1 gal,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot.jpg?v=1761678795
bioroot,BioRoot,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,BioRoot 1 qt,hmh00249,16.98,,0,3.00,oz,True,True,Size,1 qt,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot_45169085-67a4-4c54-b75c-f076374f8ea3.jpg?v=1761678817
bioroot,BioRoot,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,BioRoot 2.5 gal,hmh00678,110.16,,0,0.00,lb,True,True,Size,2.5 gal,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot_dfbeaa07-0f48-41a6-b5a7-6d089afb8c91.jpg?v=1761678807
bioroot,BioRoot,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,BioRoot 6 gal,hmh00679,226.16,,0,0.00,lb,True,True,Size,6 gal,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot_7e8b2a27-a41e-4486-8b03-57f336563742.jpg?v=1761678807
block-cocos-nucifera,Block Cocos Nucifera,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,,,,Block Cocos Nucifera 1 GAL,,3.78,3.88,0,1.00,oz,True,True,Size,1 GAL,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Coco_Feed_Schedule_-_josh_5eight.com_-_Phive.8_Mail_-_Google_Chrome_5_8_2025_2_11_07_PM.webp6.webp?v=1761678807
block-cocos-nucifera,Block Cocos Nucifera,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,,,,"Block Cocos Nucifera 1.5 GAL 8""",,4.79,4.99,0,1.00,oz,True,True,Size,"1.5 GAL 8""",manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Picsart_24-06-18_12-53-43-982.webp?v=1761678802
can-filter-ho-cfm-fan-combo-freight-shipping-only,Can Filter W HO CFM Fan Combo freight shipping ONLY,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",hmh00700,555.53,,0,100.00,oz,True,True,Size,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",manual,continue,shopify,,
can-filter-ho-cfm-fan-combo-freight-shipping-only,Can Filter W HO CFM Fan Combo freight shipping ONLY,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",hmh00699,551.08,,0,80.00,oz,True,True,Size,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",manual,continue,shopify,,
cfl-plantmax-warm-tube-lumens,CFL Plantmax Warm tube,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"T5 CFL 2' Plantmax Warm 24W 3000K tube 2,280 lumens",hmh00880,8.95,,0,1.00,oz,True,True,Size,"T5 CFL 2' Plantmax Warm 24W 3000K tube 2,280 lumens",manual,continue,shopify,,
cfl-plantmax-warm-tube-lumens,CFL Plantmax Warm tube,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,T5 CFL 4' Plantmax Warm 54W. 3000K tube 4800 lumens,hmh00882,10.95,,0,0.00,lb,True,True,Size,T5 CFL 4' Plantmax Warm 54W. 3000K tube 4800 lumens,manual,continue,shopify,,
chm-greenpower-luminaires,CHM GREENPOWER LUMINAIRES,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,315 CHM 3K GREENPOWER LUMINAIRES,hmh01717,89.00,,0,0.00,lb,True,True,Size,315 CHM 3K GREENPOWER LUMINAIRES,manual,continue,shopify,,
chm-greenpower-luminaires,CHM GREENPOWER LUMINAIRES,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,315 CHM 4K GREENPOWER LUMINAIRES,hmh01708,89.00,,0,0.00,lb,True,True,Size,315 CHM 4K GREENPOWER LUMINAIRES,manual,continue,shopify,,
dutch-lighting-innovations-joule-series-de,Dutch Lighting Innovations JOULE SERIES DE,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V,,450.00,715.00,0,34.00,oz,True,True,Size,“Dutch Lighting Innovations” JOULE-SERIES 1000W DE 120V – 240V,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dlI-trio-images.jpg?v=1761678734
dutch-lighting-innovations-joule-series-de,Dutch Lighting Innovations JOULE SERIES DE,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),SKID,19000.00,21700.00,62,1860.00,oz,True,True,Size,“Dutch Lighting Innovations” JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dlI-trio-images_38a0d11e-c7c7-40c8-a7b8-16f101b7de66.jpg?v=1761678734
gmo-auto-seed,GMO Auto Seed,grouped,active,2025-10-30 22:29:20,Atlas Seed,H Moon Hydro,"GMO 8+ Auto-Flowering Seeds deliver rapid cultivation cycles with minimal intervention required. This 8-pack contains feminized autoflowering genetics engineered for consistent performance across diverse growing environments. Expect vigorous growth, reliable flowering triggers, and substantial yields within 8-10 weeks from germination. Ideal for both experienced cultivators seeking efficiency and growers managing space constraints. Each seed represents stable genetics backed by professional breeding standards.",,,GMO 8+ Auto-Seed 8pk,,50.00,,0,0.25,oz,True,True,Size,GMO 8+ Auto-Seed 8pk,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Atlas-Seed-GMO-OG-1-1.webp?v=1761678909
gmo-auto-seed,GMO Auto Seed,grouped,active,2025-10-30 22:29:20,Atlas Seed,H Moon Hydro,"GMO 8+ Auto-Flowering Seeds deliver rapid cultivation cycles with minimal intervention required. This 8-pack contains feminized autoflowering genetics engineered for consistent performance across diverse growing environments. Expect vigorous growth, reliable flowering triggers, and substantial yields within 8-10 weeks from germination. Ideal for both experienced cultivators seeking efficiency and growers managing space constraints. Each seed represents stable genetics backed by professional breeding standards.",,,GMO Auto-Seed 8pk,,50.00,,0,0.25,oz,True,True,Size,GMO Auto-Seed 8pk,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Atlas-Seed-Grease-Gun-7.webp?v=1761678916
greenpowerlunimaires-remote-ballast,GREENPOWERLUNIMAIRES REMOTE ballast,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,GREENPOWERLUNIMAIRES -315 REMOTE ballast,hmh01696,80.00,169.00,0,0.00,lb,True,True,Size,GREENPOWERLUNIMAIRES -315 REMOTE ballast,manual,continue,shopify,,
greenpowerlunimaires-remote-ballast,GREENPOWERLUNIMAIRES REMOTE ballast,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,GREENPOWERLUNIMAIRES -315 REMOTE ballast,hmh01710,169.00,,0,0.00,lb,True,True,Size,GREENPOWERLUNIMAIRES -315 REMOTE ballast (2),manual,continue,shopify,,
holland-secret,Holland Secret Micro,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro 10L,hmh00287,150.00,,0,0.00,lb,True,True,Size,10L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_6810fe5d-cf4f-48fd-ad79-441b53086a98.jpg?v=1761678903
holland-secret,Holland Secret Micro,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro 1L,hmh00285,28.00,,0,0.00,lb,True,True,Size,1L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_b275f003-f36e-4da5-a17a-c53da4681a90.jpg?v=1761678916
holland-secret,Holland Secret Micro,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro 23L,hmh00288,299.00,,0,0.00,lb,True,True,Size,23L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_006961b9-087b-4099-9954-d59b6067ac5f.jpg?v=1761678916
holland-secret,Holland Secret Micro,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro 4L,hmh00286,74.00,,0,11.00,oz,True,True,Size,4L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro.jpg?v=1761678903
holland-secret-bloom,Holland Secret Bloom,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Bloom 1 L,hmh00296,24.99,,0,0.00,lb,True,True,Size,1 L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSBloom_0992377c-51d6-4965-abcc-de1a7136ba9f.jpg?v=1761678916
holland-secret-bloom,Holland Secret Bloom,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Bloom 10L,hmh00298,189.00,,0,28.00,oz,True,True,Size,10L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSBloom_6c0ae3eb-dffc-4fa4-9b07-023c3be53116.jpg?v=1761678909
holland-secret-bloom,Holland Secret Bloom,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Bloom 23L,hmh00299,250.00,,0,70.00,oz,True,True,Size,23L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSBloom_93f8bebd-c342-41ab-9414-cd41cdfe25a9.jpg?v=1761678909
holland-secret-bloom,Holland Secret Bloom,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Bloom 4L,hmh00297,89.96,,0,0.00,lb,True,True,Size,4L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSBloom.jpg?v=1761678902
holland-secret-grow,Holland Secret Grow,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Grow 10L,hmh00294,150.00,,0,28.00,oz,True,True,Size,10L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSGrow_e4257e54-0dd2-4ac2-a051-3b074eaf7e36.jpg?v=1761678909
holland-secret-grow,Holland Secret Grow,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Grow 1L,hmh00292,24.99,,0,3.00,oz,True,True,Size,1L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSGrow_254e2cb9-a4cd-4c91-b0ba-766f462de382.jpg?v=1761678909
holland-secret-grow,Holland Secret Grow,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Grow 23L,hmh00295,251.00,,0,70.00,oz,True,True,Size,23L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSGrow.jpg?v=1761678903
holland-secret-grow,Holland Secret Grow,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Grow 4L,hmh00293,37.95,,0,11.00,oz,True,True,Size,4L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSGrow_678c03d2-7a4c-4ed0-bc1a-0a906c14b58f.jpg?v=1761678909
holland-secret-h,Holland Secret Micro H W,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro H.W 10L,hmh00291,150.00,,0,28.00,oz,True,True,Size,Holland Secret Micro H.W 10L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_e53a358f-2068-47e4-b559-1860bb520f8a.jpg?v=1761678922
holland-secret-h,Holland Secret Micro H W,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro H.W 4L,hmh00290,74.00,,0,0.00,lb,True,True,Size,Holland Secret Micro H.W 4L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_b1ebe558-1968-48f2-a149-d005f38586df.jpg?v=1761678903
holland-secret-h,Holland Secret Micro H W,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Holland Secret Micro H.W. 1L,hmh00289,29.00,,0,3.00,oz,True,True,Size,Holland Secret Micro H.W. 1L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_0d77ae8d-5492-45c4-bd54-2ed5734d09b4.jpg?v=1761678916
humboldt-nutrients-calyx-magnum,Humboldt Nutrients Calyx Magnum,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Humboldt Nutrients Calyx Magnum 2 - 0 - 0/Gal.,hmh01663,48.00,,0,0.00,lb,True,True,Size,2 0 - 0/Gal.,manual,continue,shopify,,
humboldt-nutrients-calyx-magnum,Humboldt Nutrients Calyx Magnum,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Humboldt Nutrients Calyx Magnum 2 - 0 - 0/Qt.,hmh01662,19.30,,0,0.00,lb,True,True,Size,2 0 - 0/Qt.,manual,continue,shopify,,
hurricane-inline-fan,Hurricane Inline Fan,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Hurricane Inline Fan 6""",hmh01245,129.95,,0,12.00,oz,True,True,Size,"6""",manual,continue,shopify,,
hurricane-inline-fan,Hurricane Inline Fan,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Hurricane Inline Fan 8""",hmh01246,169.95,,0,0.00,lb,True,True,Size,"8""",manual,continue,shopify,,
hygrozyme,HYGROZYME,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,HYGROZYME 1 L,hmh00445,36.99,,0,2.80,oz,True,True,Size,1 L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/hygrozyme_bottles_3009f551-489b-4b51-8ae6-ab6bfe59e536.jpg?v=1761678949
hygrozyme,HYGROZYME,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,HYGROZYME 4 L,hmh00446,135.25,,0,0.00,lb,True,True,Size,4 L,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/hygrozyme_bottles.jpg?v=1761678936
hygrozyme,HYGROZYME,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,HYGROZYME 500 ml,hmh00444,21.95,,0,0.00,lb,True,True,Size,500 ml,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/hygrozyme_bottles_6b6625ba-ac40-41e4-b163-48fb8c5113f6.jpg?v=1761678943
light-switcher,Light Switcher,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,120V - 120V 4 Light Switcher,hmh01120,148.00,,0,4.00,oz,True,True,Size,120V - 120V 4,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GorZone_LS.jpg?v=1761678738
light-switcher,Light Switcher,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,240V - 120v 4 Light Switcher,hmh01121,145.00,,0,4.00,oz,True,True,Size,240V - 120v 4,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GorZone_LS_bcf568e6-fcaf-4c35-9269-62be579c4744.jpg?v=1761678740
light-switcher,Light Switcher,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,240V - 240V 4 Light Switcher,hmh01122,173.50,,0,4.00,oz,True,True,Size,240V - 240V 4,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GorZone_LS_f0c2f164-ddec-47a4-b7fc-4a80b5e7fbbb.jpg?v=1761678742
nanotech-reflector-for-sunblaster,Nanotech Reflector for Sunblaster,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,2' Nanotech Reflector for Sunblaster T5,hmh01478,14.95,,0,1.00,oz,True,True,Size,2' T5,manual,continue,shopify,,
nanotech-reflector-for-sunblaster,Nanotech Reflector for Sunblaster,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,4' Nanotech Reflector for Sunblaster T5,hmh01480,19.95,,0,2.00,oz,True,True,Size,4' T5,manual,continue,shopify,,
plantmax-dual-arc-tube-lamps,Plantmax Dual Arc Tube Lamps,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,,,,Plantmax Dual Arc Tube Lamps,hmh00599,55.00,159.95,0,4.00,oz,True,True,Variant,Plantmax Dual Arc Tube Lamps,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Plantmax-Dual-Arc-1000W-Hybrid-HPSMH.jpg?v=1761679028
plantmax-dual-arc-tube-lamps,Plantmax Dual Arc Tube Lamps,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,,,,Plantmax Dual Arc Tube Lamps,hmh01722,159.95,,0,0.00,lb,True,True,Variant,Plantmax Dual Arc Tube Lamps (2),manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Plantmax-Dual-Arc-1000W-Hybrid-HPSMH_3832216e-7e8d-49ca-ab6a-f7b896b3162d.jpg?v=1761679028
plantmax-mh-high-output-lumens,Plantmax MH High Output,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Plantmax 1000W. 72K MH High Output 90,000 lumens",hmh00869,79.99,,0,1.00,oz,True,True,Size,"Plantmax 1000W. 72K MH High Output 90,000 lumens",manual,continue,shopify,,
plantmax-mh-high-output-lumens,Plantmax MH High Output,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Plantmax 1000W. 72K MH High Output 90,000 lumens",hmh01733,79.99,,0,1.00,oz,True,True,Size,"Plantmax 1000W. 72K MH High Output 90,000 lumens (2)",manual,continue,shopify,,
plantmax-mh-high-output-lumens,Plantmax MH High Output,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Plantmax 1000W. MH High Output 120,000 lumens",hmh00867,59.95,,0,0.00,lb,True,True,Size,"Plantmax 1000W. MH High Output 120,000 lumens",manual,continue,shopify,,
plantmax-mh-high-output-lumens,Plantmax MH High Output,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Plantmax 250W. MH High Output 24,000 lumens",hmh00865,29.95,,0,1.00,oz,True,True,Size,"Plantmax 250W. MH High Output 24,000 lumens",manual,continue,shopify,,
plantmax-mh-high-output-lumens,Plantmax MH High Output,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Plantmax 400W. 72K MH High Output 32,000 lumens",hmh00868,19.99,39.99,0,4.00,oz,True,True,Size,"Plantmax 400W. 72K MH High Output 32,000 lumens",manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/plantmax-mh-conv-lamps_1.jpg?v=1761679025
plantmax-mh-high-output-lumens,Plantmax MH High Output,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,"Plantmax 400W. MH High Output 39,000 lumens",hmh00866,29.95,,0,1.00,oz,True,True,Size,"Plantmax 400W. MH High Output 39,000 lumens",manual,continue,shopify,,
quick-roots-gel,Quick Roots Gel,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Quick Roots Gel 2 oz,hmh00323,22.57,,0,0.10,oz,True,True,Size,2 oz,manual,continue,shopify,,
quick-roots-gel,Quick Roots Gel,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Quick Roots Gel 4 oz,hmh00324,27.27,,0,0.30,oz,True,True,Size,4 oz,manual,continue,shopify,,
quick-roots-gel,Quick Roots Gel,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Quick Roots Gel 8 oz,hmh00325,41.04,,0,0.50,oz,True,True,Size,8 oz,manual,continue,shopify,,
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,"[caption id=""attachment_63527"" align=""alignnone"" width=""163""] FUL V TECH[/caption]",,,Scietetics Ful V Tech Element Transfer System 15 Gallon,,69.00,79.00,8,10.00,oz,True,True,Size,15 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V.png?v=1761679055
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,"[caption id=""attachment_63527"" align=""alignnone"" width=""163""] FUL V TECH[/caption]",,,Scietetics Ful V Tech Element Transfer System 2.5 Gallon,,140.00,180.00,8,10.00,oz,True,True,Size,2.5 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_1ffea718-d73f-4a78-8e0a-3a65f5e84610.png?v=1761679055
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,"[caption id=""attachment_63527"" align=""alignnone"" width=""163""] FUL V TECH[/caption]",,,Scietetics Ful V Tech Element Transfer System 255 Gallon,,14000.00,14800.00,3,10.00,oz,True,True,Size,255 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_1efeda64-3bc9-4f67-b5ff-f1005df74caa.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,"[caption id=""attachment_63527"" align=""alignnone"" width=""163""] FUL V TECH[/caption]",,,Scietetics Ful V Tech Element Transfer System 5 Gallon,,250.00,320.00,3,10.00,oz,True,True,Size,5 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_170972ef-4bdf-4dff-9b7f-1ce3360abbf6.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,"[caption id=""attachment_63527"" align=""alignnone"" width=""163""] FUL V TECH[/caption]",,,Scietetics Ful V Tech Element Transfer System 55 Gallon,,2999.00,3540.00,8,10.00,oz,True,True,Size,55 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_e0274918-0399-4eec-b6f9-10e173e8ba77.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System,grouped,active,2025-11-03 17:17:15,GROW LARGE,H Moon Hydro,"[caption id=""attachment_63527"" align=""alignnone"" width=""163""] FUL V TECH[/caption]",,,Scietetics Ful V Tech Element Transfer System Gallon,,69.00,79.00,8,10.00,oz,True,True,Size,Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_97f3c8dd-517a-4479-b209-5dfcf81abf65.png?v=1761679057
