Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"Cool Tube with reflector socket w/ 15 ft cord - 24"" long","Cool Tube with reflector socket w/ 15 ft cord - 24"" long by is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,grow_lights,"grow_lights, brand:Cool Tube",TRUE,Size,6 inch,,,,,hmh00519,18144,shopify,0,continue,manual,69.95,139.95,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/ugrct8.jpg,,"Cool Tube with reflector socket w/ 15 ft cord - 24"" long",FALSE,"Cool Tube with reflector socket w/ 15 ft cord - 24"" long",,lb,,active
cool-tube-with-reflector-socket-w-15-ft-cord-24-long,,,,,,,TRUE,Size,8 inch,,,,,hmh00518,15876,shopify,0,continue,manual,89.00,149.95,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/ugrct8.jpg,,,FALSE,,,lb,,active
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),"<p>6 in. Net-Pot (case of 50) provides the ideal environment for plant roots. From H Moon Hydro, this container features proper drainage and aeration for healthy plant development.</p>",Nickel City Wholesale Garden Supply,,containers_pots,"catalog_index; containers_pots, brand:Unknown",TRUE,Size,6 inch,,,,,hmh00843,3175,shopify,0,continue,manual,97.00,,TRUE,TRUE,0870883008277,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/2e16baed__netpots.jpg?v=1766352105,1,6 in. Net-Pot (case of 50),FALSE,6 in. Net-Pot (case of 50),,lb,0.24,active
a-n-nirvana-fertilizer-500ml,"A.N. Nirvana Fertilizer, 500ml","A.N. Nirvana Fertilizer, 500ml by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, nutrients, brand:Advanced Nutrients",TRUE,Size,500 ml,,,,,633,0,shopify,1,deny,manual,12.64,,TRUE,TRUE,0845268003086,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Nirvana-1L.png,,"A.N. Nirvana Fertilizer, 500ml",FALSE,"A.N. Nirvana Fertilizer, 500ml",,lb,6.00,active
alfalfa-extract-yield-250ml,ALFALFA EXTRACT - YIELD 250ml,"ALFALFA EXTRACT - YIELD 250ml by GEASE is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",GEASE,,nutrients,"nutrients, nutrients, brand:GEASE",TRUE,Size,250 ml,,,,,3543,0,shopify,1,deny,manual,32.95,,TRUE,TRUE,0850018213769,https://hmoonhydro.com/wp-content/uploads/2019/08/timer_high_yield-1200x1600.jpg,,ALFALFA EXTRACT - YIELD 250ml,FALSE,ALFALFA EXTRACT - YIELD 250ml,,lb,14.00,active
alfalfa-grease-extract-1000ml,ALFALFA GREASE extract 1000ml,"ALFALFA EXTRACT - YIELD Alfa Grease is a premium alfalfa extract that provides the natural hormone triacontanol. Triacontanol is a naturally occurring fatty alcohol derived from plant waxes, particularly found in high concentrations in the waxes of certain plant species, such as alfalfa, sugarcane, and rice bran. It is known for its potential beneficial effects on plant growth and development. Average yield increase of 20% consistently tested. Hormonal Regulation: Triacontanol can influence plant growth and development by modulating the levels and activities of plant hormones, such as auxins, cytokinins, gibberellins, and abscisic acid. It can promote hormone synthesis, transport, and signal transduction pathways, which play crucial roles in regulating plant growth, flowering, fruiting, and other developmental processes. Photosynthetic Enhancement: One of the significant effects of triacontanol is its ability to enhance photosynthesis, the process by which plants convert sunlight into chemical energy. Triacontanol has been reported to increase the efficiency of photosynthesis by promoting the activity of key enzymes involved in the process. This can lead to higher rates of carbon dioxide assimilation and energy production, ultimately contributing to better plant growth and development. Stress Tolerance: Triacontanol has been found to enhance the ability of plants to withstand various environmental stresses. It can help improve the plant's tolerance to abiotic stresses like drought, heat, cold, salinity, and heavy metal toxicity. Triacontanol activates stress-responsive genes and antioxidant systems in plants, providing protection against oxidative damage and maintaining cellular homeostasis under stressful conditions. Yield and Quality Improvement: Studies have shown that triacontanol application can result in increased crop yield and improved quality characteristics. It has been found to enhance fruit set, increase the number and size of flowers and fruits, improve seed germination and seedling vigor, and enhance nutrient uptake and utilization efficiency. These effects can lead to higher crop productivity and improved marketable traits of agricultural produce. Environmental Sustainability: Triacontanol is considered an environmentally friendly option for plant growth enhancement as it is a naturally occurring compound. It can be used as an alternative to synthetic growth regulators or chemical fertilizers, reducing reliance on synthetic inputs and promoting sustainable agricultural practices. This is a beneficial substance to plants. Hormone products consisting of a mixture of plant hormones, plant nutrients, inoculants, or soil amendments is not a “plant regulator” under section 2(v) of FIFRA, provided it meets the following criteria of low toxicity under 3 and 4 and product is not intended for use on food crop sites. A product of any of the following types, intended only to aid the growth of desirable plants, is not a “plant regulator” under section 2(v) of FIFRA, and therefore is not a pesticide: A plant nutrient product, consisting of one or more micronutrient trace elements necessary to normal growth of plants and in a form readily usable by plants.",GREASE,,nutrients,"nutrients, nutrients, brand:GREASE",TRUE,Size,1 L,,,,,3651,1739072,shopify,12,deny,manual,106.00,,TRUE,TRUE,0850018213783,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/a903a390__Atlas-Seed-Grease-Gun-7.webp?v=1766353437,1,ALFALFA GREASE extract 1000ml,FALSE,ALFALFA GREASE extract 1000ml,ALFALFA EXTRACT - YIELD Alfa Grease is a premium alfalfa extract that provides the natural hormone triacontanol. Triacontanol is a naturally occurring fatty alc,lb,48.00,active
an-ph-perfect-sesi-bloom-a-10l,AN -pH perfect Sesi Bloom A-10L,"AN -pH perfect Sesi Bloom A-10L by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, nutrients, brand:Advanced Nutrients",TRUE,Size,10 L,,,,,2928,0,shopify,7,deny,manual,120.00,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-pH-Perfect-Sensi-Grow-Bloom-1L-251x300.png,,AN -pH perfect Sesi Bloom A-10L,FALSE,AN -pH perfect Sesi Bloom A-10L,,lb,60.00,active
an-b-52-23-liter,AN B-52 / 23 liter,"AN B-52 / 23 liter by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, nutrients, brand:Advanced Nutrients",TRUE,Size,23 L,,,,,2927,0,shopify,0,continue,manual,713.00,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-B-52-1L.png,,AN B-52 / 23 liter,FALSE,AN B-52 / 23 liter,,lb,356.60,active
an-b-52-23-liter,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/f67bc3da__ona-1-liter-gel.jpg?v=1766352132,2,AN B-52 / 23 liter,,,,,,
an-big-bud-23-liter,AN BIG BUD 23 liter,"AN BIG BUD 23 liter by is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,nutrients,"catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,23 L,,,,,2926,0,shopify,0,continue,manual,728.00,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/ona-1-liter-gel-138x200.jpg,,AN BIG BUD 23 liter,FALSE,AN BIG BUD 23 liter,,lb,364.31,active
an-bud-ignitor,AN bud Ignitor,<p> Early Phase Budding Site and Bloom Booster. Jump your plants into bloom and see flowering sites in half the time!! <p>BUD IGNITOR BENEFITS:<p> <li>MAXIMUM YIELDS/MAXIMUM BUDDING SITES <li>OPTIMIM FLORAL DEVELOPMENT <li>SAVE TIME AND MONEY <li>OPTIMIM FLOWERING <li>OPTIMIM ESSENTIAL OILS <li>MORE CROP CYCLES PER YEAR <p>WHEN TO USE BUD IGNITOR: Use in the first two weeks of bloom phase.,Advanced Nutrients,,nutrients,"nutrients, catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,10 liter,,,,,2932,1646085,shopify,0,continue,manual,645.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dc336a84__bud_ignitor_bg.jpg?v=1766351418,1,AN bud Ignitor,FALSE,AN bud Ignitor,Early Phase Budding Site and Bloom Booster. Jump your plants into bloom and see flowering sites in half the time!! BUD IGNITOR BENEFITS: MAXIMUM YIELDS/MAXIMUM,lb,322.50,active
an-bud-ignitor,,,,,,,TRUE,Size,23 liter,,,,,2920,1646085,shopify,0,continue,manual,1231.42,,TRUE,TRUE,,,,,FALSE,,,lb,615.00,active
an-bud-ignitor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/7e451dd9__bud-boom.jpg?v=1766351404,3,AN bud Ignitor,,,,,,
an-bud-ignitor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/33082cbe__bud_boom.jpg?v=1766351408,4,AN bud Ignitor,,,,,,
an-bud-ignitor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/660787ef__bud_candy_bg.jpg?v=1766351169,5,AN bud Ignitor,,,,,,
an-ph-perfect-sensibloom-b-10l,AN pH perfect SensiBloom B-10L,"AN pH perfect SensiBloom B-10L by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, nutrients, brand:Advanced Nutrients",TRUE,Size,10 L,,,,,2929,0,shopify,0,continue,manual,120.00,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-pH-Perfect-Sensi-Grow-Bloom-1L-251x300.png,,AN pH perfect SensiBloom B-10L,FALSE,AN pH perfect SensiBloom B-10L,,lb,60.00,active
an-revive,AN REVIVE,"AN REVIVE by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,Nutrients,nutrients,TRUE,Size,10 liter,,,,,2935,0,shopify,0,continue,manual,275.84,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Revive-1L.png,,AN REVIVE,FALSE,AN REVIVE,,lb,137.92,active
an-revive,,,,,,,TRUE,Size,23 liter,,,,,2923,0,shopify,0,continue,manual,543.00,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Revive-1L.png,,,FALSE,,,lb,271.94,active
an-rino-skin,AN Rino Skin,"AN Rino Skin by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,Nutrients,nutrients,TRUE,Size,10 liter,,,,,2933,0,shopify,0,continue,manual,246.00,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Rhino-Skin-1L.png,,AN Rino Skin,FALSE,AN Rino Skin,,lb,123.00,active
an-rino-skin,,,,,,,TRUE,Size,23 liter,,,,,2921,0,shopify,0,continue,manual,485.00,,TRUE,TRUE,,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-Rhino-Skin-1L.png,,,FALSE,,,lb,242.55,active
an-rino-skin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/5e1183d1__rhino_skin_bg.jpg?v=1766351210,2,AN Rino Skin,,,,,,
apple-crumble-6oz,Apple Crumble 6oz,"Apple Crumble 6oz by Sunlight Supply inc. is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Sunlight Supply inc.,,Environment Control,environment control,TRUE,Size,6 oz,,,,,2799,0,shopify,1,deny,manual,9.99,,TRUE,TRUE,0624493141370,,,Apple Crumble 6oz,FALSE,Apple Crumble 6oz,,lb,5.83,active
aquavita-1-5l-min-air-pump,AquaVita 1.5L/Min Air Pump,"AquaVita 1.5L/Min Air Pump by D.L. Wholesale is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",D.L. Wholesale,,irrigation,"hydroponics components, catalog_index; irrigation, brand:Unknown",TRUE,Size,5 L,,,,,3486,0,shopify,0,continue,manual,13.98,,TRUE,TRUE,0850019288407,https://hmoonhydro.com/wp-content/uploads/2019/09/EcoPlus-230-High-Volume-Pump-1200x1200.jpg,,AquaVita 1.5L/Min Air Pump,FALSE,AquaVita 1.5L/Min Air Pump,,lb,6.00,active
atami-rootblastic-2,Atami RootBlastic,"Atami RootBlastic by Atami is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Atami,,nutrients,"catalog_index; nutrients, brand:Atami",TRUE,Size,80 ml,,,,,hmh01431,454,shopify,0,continue,manual,43.42,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/RootbasticProducts-family.jpg,,Atami RootBlastic,FALSE,Atami RootBlastic,,lb,,active
atami-rootblastic-2,,,,,,,TRUE,Size,250 ml,,,,,hmh01432,907,shopify,0,continue,manual,82.84,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/RootbasticProducts-family.jpg,,,FALSE,,,lb,,active
azaguard-32oz,Azaguard 32oz,"Azaguard 32oz by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,pest_control,"pest control, pest_control, brand:Nickel City Wholesale Garden Supply",TRUE,Size,32 oz,,,,,2344,0,shopify,9,deny,manual,16.57,,TRUE,TRUE,0188716000153,,,Azaguard 32oz,FALSE,Azaguard 32oz,,lb,12.95,active
azos,Azos,"Azos by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,Nutrients,nutrients,TRUE,Size,1 oz,,,,,144,0,shopify,13,deny,manual,21.99,,TRUE,TRUE,0705105758374,https://static.wixstatic.com/media/951e8c_594c6b93780b409699e5c567f5b242ee~mv2.jpg,,Azos,FALSE,Azos,,lb,12.47,active
azos,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/147689b8__xtreme_azos.jpg?v=1766352492,2,Azos,,,,,,
azos,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/a9cd7184__gardening_indoors2.jpg?v=1766351746,3,Azos,,,,,,
azos,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/e406b071__safer_garden_fungicide.jpg?v=1766352287,4,Azos,,,,,,
azos,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/7259f990__thumb_books_gardening_indoors_cuttings.gif?v=1766351749,5,Azos,,,,,,
b-52-4l,B-52 4L,"B-52 4L by Advanced Nutrients is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Advanced Nutrients,,nutrients,"nutrients, nutrients, brand:Advanced Nutrients",TRUE,Size,4 L,,,,,1560,0,shopify,0,continue,manual,137.93,,TRUE,TRUE,0845268000023,https://www.advancednutrients.com/wp-content/uploads/2022/07/Advanced-Nutrients-B-52-1L.png,,B-52 4L,FALSE,B-52 4L,,lb,68.38,active
b-52-vitamin-1-lt,B-52 Vitamin (1 lt),"<p>B-52 Vitamin (1 lt) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,nutrients,"catalog_index; nutrients, brand:Advanced Nutrients",TRUE,Size,1 L,,,,,hmh01021,1361,shopify,0,continue,manual,44.60,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/advancedB52Booster.jpg,1,B-52 Vitamin (1 lt),FALSE,B-52 Vitamin (1 lt),,lb,,active
