Variant SKU,Title,Variant Price,POS Item Number,POS Item Name,Match Score,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Review Notes,best_price_delta,alt_price_delta,best_tokens,alt_tokens,best_numbers,alt_numbers,best_size,alt_size,best_ratio,alt_ratio
hmh01563,CocoTek Bloom B Gal.,34.0,3359.0,CocoTek BLOOM-B 6 Ga,1.215,3360.0,CocoTek BLOOM-A 6 G.,1.191,Needs review: close alt 3360 (Δ=0.024),1.911764705882353,1.911764705882353,3,3.0,0,0.0,0,0.0,0.6504065040650406,0.6065573770491803
hmh01562,CocoTek Bloom A Gal.,34.0,3360.0,CocoTek BLOOM-A 6 G.,1.209,3359.0,CocoTek BLOOM-B 6 Ga,1.206,Needs review: close alt 3359 (Δ=0.003),1.911764705882353,1.911764705882353,3,3.0,0,0.0,0,0.0,0.639344262295082,0.6341463414634146
hmh00369,Humboldt Master B 1 gal,70.2,567.0,Master-B Gal,1.189,563.0,Master-A Gal,1.181,Needs review: close alt 563 (Δ=0.008),0.039886039886039844,0.039886039886039844,2,2.0,1,1.0,0,0.0,0.549618320610687,0.5343511450381679
hmh00365,Humboldt Master A 1 gal,70.2,563.0,Master-A Gal,1.189,567.0,Master-B Gal,1.181,Needs review: close alt 567 (Δ=0.008),0.039886039886039844,0.039886039886039844,2,2.0,1,1.0,0,0.0,0.549618320610687,0.5343511450381679
hmh01213,pH Perfect Sensi Bloom part A (1 gal),40.56,2168.0,Sensi Bloom B Lt (pHP),1.188,2167.0,Sensi Bloom A Lt (pHP),1.161,Needs review: close alt 2167 (Δ=0.027),0.5399408284023669,0.5399408284023669,5,5.0,1,1.0,0,0.0,0.46060606060606063,0.4121212121212121
hmh00368,Humboldt Master B 1 qt,23.4,566.0,Master-B Qt,1.181,562.0,Master-A Qt,1.172,Needs review: close alt 562 (Δ=0.009),0.02264957264957255,0.02264957264957255,2,2.0,1,1.0,0,0.0,0.5354330708661418,0.5196850393700787
hmh00364,Humboldt Master A 1 qt,23.4,562.0,Master-A Qt,1.181,566.0,Master-B Qt,1.172,Needs review: close alt 566 (Δ=0.009),0.02264957264957255,0.02264957264957255,2,2.0,1,1.0,0,0.0,0.5354330708661418,0.5196850393700787
hmh00187,FloraNova Grow 1 gal,92.3,3138.0,Athena Grow A 4-0-1 Gal.,1.16,3139.0,Athena Grow B 1-3-5 Gal.,1.16,Needs review: close alt 3139 (Δ=0.000),0.5124593716143012,0.5124593716143012,1,1.0,1,1.0,0,0.0,0.49612403100775193,0.49612403100775193
,Athena CaMg 1 Gallon,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.16,3139.0,Athena Grow B 1-3-5 Gal.,1.16,Needs review: close alt 3139 (Δ=0.000),inf,inf,1,1.0,1,1.0,0,0.0,0.6274509803921569,0.6274509803921569
hmh00293,Holland Secret Grow 4L,37.95,1575.0,Holland Secret Micro 4L. 5-0-2,1.154,1579.0,Holland Secret Bloom 4L. 0-6-4,1.139,Needs review: close alt 1579 (Δ=0.015),0.13254281949934107,0.13254281949934107,2,2.0,0,0.0,0,0.0,0.6438356164383562,0.6164383561643836
hmh00964,Replacement Probe for 24-7 Meter,49.0,1054.0,24-7 PPM Replacement Probe,1.145,1053.0,24-7 pH Replacement Probe,1.143,Needs review: close alt 1053 (Δ=0.002),0.0034693877551020755,0.0034693877551020755,2,2.0,2,2.0,0,0.0,0.6432748538011696,0.6390532544378699
hmh00370,Humboldt Master B 2.5 gal,146.24,568.0,Master-B 2.5Gal,1.114,564.0,Master-A 2.5Gal,1.106,Needs review: close alt 564 (Δ=0.008),0.02249726477024084,0.02249726477024084,2,2.0,2,2.0,0,0.0,0.5857142857142857,0.5714285714285714
hmh00366,Humboldt Master A 2.5 gal,146.24,564.0,Master-A 2.5Gal,1.114,568.0,Master-B 2.5Gal,1.106,Needs review: close alt 568 (Δ=0.008),0.02249726477024084,0.02249726477024084,2,2.0,2,2.0,0,0.0,0.5857142857142857,0.5714285714285714
hmh00564,Garden Fungicide 1 gal,16.95,3138.0,Athena Grow A 4-0-1 Gal.,1.11,3139.0,Athena Grow B 1-3-5 Gal.,1.11,Needs review: close alt 3139 (Δ=0.000),1.6548672566371683,1.6548672566371683,1,1.0,1,1.0,0,0.0,0.40601503759398494,0.40601503759398494
hmh00252,BioWeed 1 gal,62.16,3138.0,Athena Grow A 4-0-1 Gal.,1.107,3139.0,Athena Grow B 1-3-5 Gal.,1.107,Needs review: close alt 3139 (Δ=0.000),0.276061776061776,0.276061776061776,1,1.0,1,1.0,0,0.0,0.4,0.4
,,0.0,3579.0,AUTO GMO Auto,1.099,,Cannabis Seed AUTO,1.078,Needs review: close alt  (Δ=0.021),inf,,2,,1,,0,,0.4444444444444444,
,,0.0,3579.0,AUTO GMO Auto,1.099,,Cannabis Seed AUTO,1.078,Needs review: close alt  (Δ=0.021),inf,,2,,1,,0,,0.4444444444444444,
hmh01045,Nirvana (1 gal),80.0,3138.0,Athena Grow A 4-0-1 Gal.,1.097,3139.0,Athena Grow B 1-3-5 Gal.,1.097,Needs review: close alt 3139 (Δ=0.000),0.4375,0.4375,1,1.0,1,1.0,0,0.0,0.3826086956521739,0.3826086956521739
hmh00861,"Pulse Start M.H.600W. 10,000K for Final Flowering",79.95,1484.0,"Pulse Start 400w MH 10,000k",1.096,1490.0,"Pulse Start 1000w MH 10,000k",1.093,Needs review: close alt 1490 (Δ=0.002),0.26704190118824267,0.22201375859912445,5,5.0,1,1.0,0,0.0,0.4558139534883721,0.45161290322580644
hmh00232,FloraKleen 1 gal,24.29,3138.0,Athena Grow A 4-0-1 Gal.,1.096,3139.0,Athena Grow B 1-3-5 Gal.,1.096,Needs review: close alt 3139 (Δ=0.000),0.8526142445450804,0.8526142445450804,1,1.0,1,1.0,0,0.0,0.38016528925619836,0.38016528925619836
hmh01061,Sensizym (1 gal),110.0,3138.0,Athena Grow A 4-0-1 Gal.,1.094,3139.0,Athena Grow B 1-3-5 Gal.,1.094,Needs review: close alt 3139 (Δ=0.000),0.5909090909090909,0.5909090909090909,1,1.0,1,1.0,0,0.0,0.37606837606837606,0.37606837606837606
hmh00376,Humboldt Oneness 1 gal,85.08,3138.0,Athena Grow A 4-0-1 Gal.,1.085,3139.0,Athena Grow B 1-3-5 Gal.,1.085,Needs review: close alt 3139 (Δ=0.000),0.4710860366713681,0.4710860366713681,1,1.0,1,1.0,0,0.0,0.3609022556390977,0.3609022556390977
hmh01047,Overdrive (1 gal),118.54,3138.0,Athena Grow A 4-0-1 Gal.,1.081,3139.0,Athena Grow B 1-3-5 Gal.,1.081,Needs review: close alt 3139 (Δ=0.000),0.6203813058883078,0.6203813058883078,1,1.0,1,1.0,0,0.0,0.35294117647058826,0.35294117647058826
hmh00934,4 Light Timer (120 V.),335.0,1222.0,LT4-120-B 4 Light Timer,1.073,1214.0,LT4-120 4 Light Timer,1.069,Needs review: close alt 1214 (Δ=0.005),0.30313432835820897,0.30313432835820897,2,2.0,2,2.0,0,0.0,0.512396694214876,0.5042016806722689
,Scietetics MagCal 5 Gallon,0.0,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.014,3632.0,Athena Grow B 1-3-5 /5 Gal.,1.006,Needs review: close alt 3632 (Δ=0.007),inf,inf,1,1.0,1,1.0,0,0.0,0.2833333333333333,0.26666666666666666
hmh00207,FloraDuo A 6 gal,158.5,1916.0,FloraDuo (Part-B) 6Gal,1.003,1917.0,FloraDuo (Part-A) 6Gal,1.003,Needs review: close alt 1917 (Δ=0.000),0.0748895899053628,0.0748895899053628,2,2.0,1,1.0,0,0.0,0.5151515151515151,0.5151515151515151
hmh00212,FloraDuo B 6 gal,170.0,1916.0,FloraDuo (Part-B) 6Gal,1.003,1917.0,FloraDuo (Part-A) 6Gal,0.995,Needs review: close alt 1917 (Δ=0.008),0.13747058823529415,0.13747058823529415,2,2.0,1,1.0,0,0.0,0.5151515151515151,0.5
hmh01690,Plagron Hydro A  5 Liter,57.5,2208.0,Plagron Cocos A 0-4-2 /10 liter,0.995,2207.0,Plagron Cocos B 0-4-2 /10 liter,0.981,Needs review: close alt 2207 (Δ=0.014),0.9686956521739131,0.9652173913043478,1,1.0,1,1.0,0,0.0,0.5,0.47368421052631576
hmh01692,Plagron Hydro B  5 Liter,57.5,2207.0,Plagron Cocos B 0-4-2 /10 liter,0.995,2208.0,Plagron Cocos A 0-4-2 /10 liter,0.981,Needs review: close alt 2208 (Δ=0.014),0.9652173913043478,0.9686956521739131,1,1.0,1,1.0,0,0.0,0.5,0.47368421052631576
hmh01828,Flora Bloom 275 gal,3215.95,3502.0,N.C.R. Bloom 2.5 Gallon,0.97,3281.0,Athena Bloom A 5 Gal,0.966,Needs review: close alt 3281 (Δ=0.004),0.9536684338997807,0.9378099783889675,2,2.0,0,0.0,0,0.0,0.5271317829457365,0.5203252032520326
hmh01561,CocoTek Grow B Gal.,34.0,3359.0,CocoTek BLOOM-B 6 Ga,0.958,3360.0,CocoTek BLOOM-A 6 G.,0.932,Needs review: close alt 3360 (Δ=0.025),1.911764705882353,1.911764705882353,2,2.0,0,0.0,0,0.0,0.5289256198347108,0.48333333333333334
hmh01057,Sensi Grow part A (2.5 gal),79.96,198.0,FloraDuo (Part-A) 2.5Gal,0.951,199.0,FloraDuo (Part-B) 2.5Gal,0.934,Needs review: close alt 199 (Δ=0.017),0.16295647823911957,0.16295647823911957,2,2.0,2,2.0,0,0.0,0.2900763358778626,0.2595419847328244
hmh01560,CocoTek Grow A Gal.,34.0,3360.0,CocoTek BLOOM-A 6 G.,0.951,3359.0,CocoTek BLOOM-B 6 Ga,0.939,Needs review: close alt 3359 (Δ=0.011),1.911764705882353,1.911764705882353,2,2.0,0,0.0,0,0.0,0.5166666666666667,0.49586776859504134
hmh01559,Cocotek Bloom B Qts,15.89,3359.0,CocoTek BLOOM-B 6 Ga,0.92,3360.0,CocoTek BLOOM-A 6 G.,0.896,Needs review: close alt 3360 (Δ=0.024),5.230333543108873,5.230333543108873,2,2.0,0,0.0,0,0.0,0.6341463414634146,0.5901639344262295
hmh01120,120V - 120V 4 Light Switcher,148.0,1214.0,LT4-120 4 Light Timer,0.91,1222.0,LT4-120-B 4 Light Timer,0.907,Needs review: close alt 1222 (Δ=0.003),0.5773648648648648,0.5773648648648648,2,2.0,1,1.0,0,0.0,0.3458646616541353,0.34074074074074073
hmh00865,"Plantmax 250W. MH High Output 24,000 lumens",29.95,1569.0,Agromax 250w MH Conversion,0.884,1498.0,Plantmax 1000w MH 4200k,0.858,Needs review: close alt 1498 (Δ=0.026),0.9565943238731219,0.9565943238731219,4,3.0,1,1.0,0,0.0,0.47959183673469385,0.4327485380116959
hmh01691,Plagron Hydro B Liter,14.75,1803.0,Coco B Plagron liter,0.881,3520.0,Coco A Plagron liter,0.871,Needs review: close alt 3520 (Δ=0.010),0.42033898305084744,0.42033898305084744,1,1.0,0,0.0,0,0.0,0.3898305084745763,0.3709677419354839
hmh00685,Diamond Black 6 gal,209.98,275.0,Diamond Black Gal,0.871,3451.0,Diamond Black Gal,0.871,Needs review: close alt 3451 (Δ=0.000),0.7478331269644727,0.7478331269644727,3,3.0,0,0.0,0,0.0,0.5901639344262295,0.5901639344262295
hmh00387,Hydro-Deuce 16 oz,12.62,3154.0,ph up 16 oz,0.844,2900.0,Physan 20™ 16 oz,0.84,Needs review: close alt 2900 (Δ=0.004),0.07052297939778121,0.04992076069730579,1,1.0,1,1.0,0,0.0,0.40816326530612246,0.4
hmh00185,FloraNova Grow 16 oz,15.89,2900.0,Physan 20™ 16 oz,0.829,3154.0,ph up 16 oz,0.81,Needs review: close alt 3154 (Δ=0.018),0.24543738200125867,0.26179987413467587,1,1.0,1,1.0,0,0.0,0.3793103448275862,0.34615384615384615
hmh00208,FloraDuo B 16 oz,11.09,3154.0,ph up 16 oz,0.826,2900.0,Physan 20™ 16 oz,0.824,Needs review: close alt 2900 (Δ=0.003),0.05770964833183053,0.08115419296663665,1,1.0,1,1.0,0,0.0,0.375,0.37037037037037035
hmh00203,FloraDuo A 16 oz,11.09,3154.0,ph up 16 oz,0.826,2900.0,Physan 20™ 16 oz,0.824,Needs review: close alt 2900 (Δ=0.003),0.05770964833183053,0.08115419296663665,1,1.0,1,1.0,0,0.0,0.375,0.37037037037037035
hmh00175,FloraGro 16 oz,10.39,3154.0,ph up 16 oz,0.823,2900.0,Physan 20™ 16 oz,0.821,Needs review: close alt 2900 (Δ=0.002),0.12897016361886426,0.15399422521655434,1,1.0,1,1.0,0,0.0,0.3695652173913043,0.36538461538461536
hmh00976,pH probe electrode 3' lead wire,65.95,1950.0,pH-3 Replacement Probe,0.821,1510.0,Replacement Probe for pH-3,0.795,Needs review: close alt 1510 (Δ=0.026),0.4820318423047764,0.4820318423047764,2,2.0,1,1.0,0,0.0,0.3660130718954248,0.38509316770186336
,White Widow Auto (Feminised) White Widow x Ruderalis-5 Seed,0.0,1961.0,Haze Auto x White Widow Auto,0.779,756.0,"Uno 42"" Parabolic",0.404,Verify vs alt 756 (score 0.404),inf,inf,3,1.0,0,1.0,0,0.0,0.4827586206896552,0.22077922077922077
,E-Papillon 630 Watt LED,0.0,2886.0,D-Papillon Double  630/ 240V.,0.779,2511.0,E Papillon Lighting System 630,0.641,Verify vs alt 2511 (score 0.641),inf,inf,2,1.0,1,1.0,0,0.0,0.3404255319148936,0.4567901234567901
hmh00329,Double Super B+ 1 liter,34.99,1586.0,Super Double B+ Lt,0.779,3039.0,Hortilux® LU 1000 DE/HTL Double,0.702,Verify vs alt 3039 (score 0.702),0.2003429551300372,3.2855101457559295,2,1.0,1,1.0,0,0.0,0.2898550724637681,0.42105263157894735
hmh00189,FloraNova Bloom 16 oz,15.89,2900.0,Physan 20™ 16 oz,0.777,3154.0,ph up 16 oz,0.74,Verify vs alt 3154 (score 0.740),0.24543738200125867,0.26179987413467587,1,1.0,1,1.0,0,0.0,0.4067796610169492,0.33962264150943394
hmh01327,12 in. hose clamps,4.0,1125.0,"Worm Gear Clamp 12""",0.776,2987.0,"14"" x 25' Can Duct w/ 2 clamps",0.687,Verify vs alt 2987 (score 0.687),0.4675,15.66,2,2.0,1,0.0,0,0.0,0.28346456692913385,0.42857142857142855
hmh01326,10 in. hose clamps,2.8,1126.0,"Worm Gear Clamp 10""",0.776,705.0,"Flexible Ducting 10""x25'",0.684,Verify vs alt 705 (score 0.684),0.5357142857142857,11.9,2,2.0,1,1.0,0,0.0,0.28346456692913385,0.23703703703703705
hmh00236,KoolBloom 2.2 lb,31.09,413.0,Granular Mycorrhizae 3 - 1 - 2,0.775,413.0,Granular Mycorrhizae 3 - 1 - 2,0.775,auto-resolved: alt price proximity,0.3570279832743648,0.3570279832743648,1,1.0,1,1.0,0,0.0,0.28125,0.28125
hmh00699,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",551.08,1104.0,"CAN-Fan 8"" HO",0.775,2219.0,"CAN Max-Fan HO 8""",0.682,Verify vs alt 2219 (score 0.682),0.5703527618494593,0.3672243594396459,3,3.0,1,1.0,0,0.0,0.28125,0.24186046511627907
hmh00470,"B'cuzZ Roxx Rooting Blocks 4 x 4 x 2.5, 42/40mm hole (strip of 6)",4.53,381.0,Roxx 3x3x2.5 8ct,0.775,382.0,Roxx 3x3x2.5 (No Hole) 8ct,0.734,Verify vs alt 382 (score 0.734),0.10816777041942609,0.10816777041942609,4,4.0,1,1.0,0,0.0,0.28169014084507044,0.26046511627906976
,Meet Source Turbo,0.0,1113.0,Source Extracter,0.774,3009.0,TurboKloneT24 ClonerTurbo &Dome,0.398,Verify vs alt 3009 (score 0.398),inf,inf,2,1.0,0,0.0,0,0.0,0.3619047619047619,0.2709677419354839
hmh01186,Sunblaster Nanodome,6.95,2979.0,"Sunblaster 18"" lamp",0.773,1033.0,"SunBlaster T5 24"" 65K",0.663,Verify vs alt 1033 (score 0.663),0.28776978417266175,3.6028776978417265,1,1.0,0,0.0,0,0.0,0.49557522123893805,0.47863247863247865
hmh00170,Flora Micro 16 oz,11.22,2900.0,Physan 20™ 16 oz,0.773,3154.0,ph up 16 oz,0.755,Needs review: close alt 3154 (Δ=0.018),0.06862745098039212,0.045454545454545435,1,1.0,1,1.0,0,0.0,0.4,0.3673469387755102
hmh00180,Flora Bloom 16 oz,10.39,2900.0,Physan 20™ 16 oz,0.773,3154.0,ph up 16 oz,0.755,Needs review: close alt 3154 (Δ=0.018),0.15399422521655434,0.12897016361886426,1,1.0,1,1.0,0,0.0,0.4,0.3673469387755102
hmh00700,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",555.53,1104.0,"CAN-Fan 8"" HO",0.773,2219.0,"CAN Max-Fan HO 8""",0.68,Verify vs alt 2219 (score 0.680),0.573794394542149,0.37229312548377225,3,3.0,1,1.0,0,0.0,0.27835051546391754,0.23963133640552994
hmh01606,HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient Qt.,22.44,2446.0,Ionic Grow Qt 3-1-5,0.772,2452.0,Ionic Soil/Coco Grow Qt3-1-5,0.677,Verify vs alt 2452 (score 0.677),0.0,0.0,2,2.0,3,3.0,0,0.0,0.27722772277227725,0.27149321266968324
hmh01201,Air Tight 6 A/C - w/15' Socket Set,75.0,1951.0,AiroFlow Hood,0.77,734.0,Socket Set 15' Cord,0.637,Verify vs alt 734 (score 0.637),1.0722666666666665,0.74,3,2.0,1,1.0,0,0.0,0.2727272727272727,0.27848101265822783
hmh01712,Eye Hortilux e-Start Metal Halide  1000Watt,45.5,2658.0,e-Start Metal Halide 1000 watt,0.769,3262.0,Bud Start 20 Litre,0.443,Verify vs alt 3262 (score 0.443),1.086813186813187,4.934065934065934,3,1.0,0,0.0,0,0.0,0.40641711229946526,0.3515151515151515
,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V,0.0,3465.0,Dutch Lighting Innovations DLM-,0.768,2620.0,DLI JOULE-Series 1000W 400V D/E,0.717,Verify vs alt 2620 (score 0.717),inf,inf,4,3.0,0,0.0,0,0.0,0.580952380952381,0.6256410256410256
hmh00390,Royal Flush 16 oz,8.33,3154.0,ph up 16 oz,0.767,2900.0,Physan 20™ 16 oz,0.763,Needs review: close alt 2900 (Δ=0.003),0.4081632653061225,0.43937575030012005,1,1.0,1,1.0,0,0.0,0.3877551020408163,0.38181818181818183
,"bio365™ BIOBLEND™ High Porosity Blend - 1.5cu ft - Bag - Blend of Fine Coir, Coarse Peat, & Super Coarse Perlite",0.0,3383.0,bio365™ BIOBLEND™ - 1.5cu ft,0.766,3381.0,bio365™ BIOALL,0.561,Verify vs alt 3381 (score 0.561),inf,inf,4,2.0,1,1.0,0,0.0,0.3333333333333333,0.288
hmh00475,B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3,7.5,388.0,"BiMatrix 6"" Slab",0.764,387.0,"Bimatrix Xtra-Long 6"" Slab",0.661,Verify vs alt 387 (score 0.661),0.006666666666666643,0.04800000000000004,2,2.0,1,1.0,0,0.0,0.36363636363636365,0.32222222222222224
hmh00471,"B'cuzZ Roxx Rooting Blocks 4 x 4 x 4, no hole (strip of 6)",5.95,385.0,Roxx 4x4x4 (No Hole) 6ct,0.763,382.0,Roxx 3x3x2.5 (No Hole) 8ct,0.687,Verify vs alt 382 (score 0.687),0.025210084033613505,0.32100840336134456,3,5.0,1,0.0,0,0.0,0.4421052631578947,0.39800995024875624
,"CLOUDRAY S9, Gen 2 Grow Tent Clip Fan 9”",0.0,3556.0,"7"" clip fan 2 speed",0.762,2386.0,UNO 2x4 Grow Tent,0.505,Verify vs alt 2386 (score 0.505),inf,inf,2,1.0,1,1.0,0,0.0,0.4,0.4732824427480916
hmh00011,FloraBlend qt,13.07,2758.0,G-10 qt,0.76,3444.0,Floralicious plus qt.,0.71,Verify vs alt 3444 (score 0.710),3.4720734506503446,4.0596786534047435,1,1.0,0,0.0,0,0.0,0.16901408450704225,0.38095238095238093
hmh00265,B'Cuzz Hydro B 1L,16.1,1203.0,B'Cuzz Hydro B 10L,0.757,1202.0,B'Cuzz Hydro A 10L,0.709,Verify vs alt 1202 (score 0.709),4.58695652173913,4.58695652173913,1,1.0,0,0.0,0,0.0,0.6491228070175439,0.5614035087719298
hmh00263,B'Cuzz Hydro A 1L,16.1,1202.0,B'Cuzz Hydro A 10L,0.757,1203.0,B'Cuzz Hydro B 10L,0.738,Needs review: close alt 1203 (Δ=0.019),4.58695652173913,4.58695652173913,1,1.0,0,0.0,0,0.0,0.6491228070175439,0.6140350877192983
hmh01391,Gaia Mania Gallon,50.0,2349.0,Gaia Mania Gal,0.755,2350.0,Gaia Mania 2.5Gal,0.706,Verify vs alt 2350 (score 0.706),0.026400000000000007,1.0528,3,3.0,0,0.0,0,0.0,0.38095238095238093,0.375
,Mother Earth® Terracraft™ Potting Soil,0.0,1446.0,M.E.Terracraft Potting Soil 2cf,0.754,1557.0,Mother Earth Grow Lt,0.654,Verify vs alt 1557 (score 0.654),inf,inf,4,2.0,0,0.0,0,0.0,0.43243243243243246,0.46357615894039733
hmh01190,"F.H.D. Super Saucer 8""",1.0,1976.0,"Mondi 8"" Saucer Black",0.754,1781.0,"Bond 8'x1"" bamboo super pole",0.674,Verify vs alt 1781 (score 0.674),0.8899999999999999,5.79,1,1.0,1,1.0,0,0.0,0.3652173913043478,0.37037037037037035
hmh01792,Botanicare Growilla Bud 12 lb,59.95,3197.0,FloraPro® Grow 10-12-22/5lb,0.753,3198.0,FloraPro® Bloom 7-12-27/ 5lb,0.674,Verify vs alt 3198 (score 0.674),0.39115929941618016,0.39115929941618016,1,1.0,1,1.0,0,0.0,0.4503311258278146,0.3708609271523179
hmh00477,B'cuzZ Roxx Bimatrix Growing Slab 40 x 6 x 3,7.5,388.0,"BiMatrix 6"" Slab",0.751,387.0,"Bimatrix Xtra-Long 6"" Slab",0.673,Verify vs alt 387 (score 0.673),0.006666666666666643,0.04800000000000004,2,2.0,1,1.0,0,0.0,0.3393939393939394,0.34444444444444444
hmh00837,"1/2"" Fill & Drain Fitting (Bag of 10)",15.9,1546.0,"Short Tub Outlet Fitting 1/2""",0.749,2610.0,"Reducer Fitting 1/2"" to 3/8""",0.639,Verify vs alt 2610 (score 0.639),0.8742138364779874,0.9849056603773585,3,1.0,2,2.0,0,0.0,0.30409356725146197,0.425
hmh00331,Double Super B+ 10 liter,205.99,1588.0,Super Double B+ 10L,0.746,1857.0,Super Double B+ 500ml,0.556,Verify vs alt 1857 (score 0.556),0.0011651051021893328,0.8884411864653624,2,2.0,1,0.0,0,0.0,0.29577464788732394,0.31932773109243695
hmh01471,Autumn Quart,19.7,2758.0,G-10 qt,0.746,2425.0,Decision Qt,0.677,Verify vs alt 2425 (score 0.677),1.967005076142132,2.4050761421319797,1,1.0,0,0.0,0,0.0,0.14492753623188406,0.3218390804597701
hmh01771,ROSIN PRO PRESS Auto Electirc,950.0,3043.0,"ROSIN PRESS Pneumatic 20 6""X8""",0.744,3554.0,Froot by Foot Auto 36.1%,0.636,Verify vs alt 3554 (score 0.636),0.7368421052631579,0.8947368421052632,2,1.0,1,1.0,0,0.0,0.43349753694581283,0.3013698630136986
hmh00330,Double Super B+ 4 liter,109.99,1587.0,Super Double B+ 4L,0.743,1857.0,Super Double B+ 500ml,0.587,Verify vs alt 1857 (score 0.587),0.20920083643967627,0.7910719156286935,2,2.0,1,0.0,0,0.0,0.2898550724637681,0.37606837606837606
