Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score,delta
hmh00369,humboldt-master-b-1-gal,Humboldt Master B 1 gal,70.2,0.0,567.0,Master-B Gal,1.189,5.0,73.0,,,,0.0,,0,,1.189,ambiguous,Ambiguous: Δ=0.008,563.0,Master-A Gal,1.181,3138.0,Athena Grow A 4-0-1 Gal.,1.107,0.008000000000000007
hmh01061,sensizym-1-gal,Sensizym (1 gal),110.0,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.094,4.0,45.0,,,,0.0,,0,,1.094,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.094,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.092,0.0
hmh01047,overdrive-1-gal,Overdrive (1 gal),118.54,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.081,4.0,45.0,,,,0.0,,0,,1.081,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.081,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.08,0.0
hmh01045,nirvana-1-gal,Nirvana (1 gal),80.0,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.097,4.0,45.0,,,,0.0,,0,,1.097,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.097,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.096,0.0
hmh00376,humboldt-oneness-1-gal,Humboldt Oneness 1 gal,85.08,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.085,4.0,45.0,,,,0.0,,0,,1.085,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.085,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.085,0.0
hmh00342,humboldt-grow-1-gal,Humboldt Grow 1 gal,29.84,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.471,4.0,45.0,,,,0.0,,0,,1.471,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.471,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.468,0.0
hmh00564,garden-fungicide-1-gal,Garden Fungicide 1 gal,16.95,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.11,4.0,45.0,,,,0.0,,0,,1.11,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.11,3632.0,Athena Grow B 1-3-5 /5 Gal.,1.108,0.0
hmh00187,floranova-grow-1-gal,FloraNova Grow 1 gal,92.3,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.16,4.0,45.0,,,,0.0,,0,,1.16,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.16,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.156,0.0
hmh00232,florakleen-1-gal,FloraKleen 1 gal,24.29,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.096,4.0,45.0,,,,0.0,,0,,1.096,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.096,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.095,0.0
hmh00252,bioweed-1-gal,BioWeed 1 gal,62.16,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.107,4.0,45.0,,,,0.0,,0,,1.107,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.107,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.105,0.0
,athena-camg-1-gallon,Athena CaMg 1 Gallon,45.0,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.16,4.0,45.0,,,,0.0,,0,,1.16,ambiguous,Ambiguous: Δ=0.000,3139.0,Athena Grow B 1-3-5 Gal.,1.16,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.147,0.0
,scietetics-magcal-5-gallon,Scietetics MagCal 5 Gallon,245.0,0.0,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.014,4.0,200.0,,,,0.0,,0,,1.014,ambiguous,Ambiguous: Δ=0.007,3632.0,Athena Grow B 1-3-5 /5 Gal.,1.006,3411.0,Athena I.P.M. /5 Gal,0.997,0.008000000000000007
hmh01690,plagron-hydro-a-5-liter,Plagron Hydro A  5 Liter,57.5,0.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,0.995,3.0,113.2,,,,0.0,,0,,0.995,ambiguous,Ambiguous: Δ=0.014,2207.0,Plagron Cocos B 0-4-2 /10 liter,0.981,3001.0,Plagron Cocos A 5L,0.917,0.014000000000000012
hmh01692,plagron-hydro-b-5-liter,Plagron Hydro B  5 Liter,57.5,0.0,2207.0,Plagron Cocos B 0-4-2 /10 liter,0.995,3.0,113.0,,,,0.0,,0,,0.995,ambiguous,Ambiguous: Δ=0.014,2208.0,Plagron Cocos A 0-4-2 /10 liter,0.981,3002.0,Plagron Cocos B 5L,0.917,0.014000000000000012
hmh01686,plagron-cocos-b-liter,Plagron Cocos B  liter,14.0,0.0,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.349,3.0,113.0,,,,0.0,,0,,1.349,ambiguous,Ambiguous: Δ=0.015,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.334,3002.0,Plagron Cocos B 5L,1.209,0.014999999999999902
hmh01684,plagron-cocos-a-liter,Plagron Cocos A liter,14.0,0.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.349,3.0,113.2,,,,0.0,,0,,1.349,ambiguous,Ambiguous: Δ=0.015,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.334,3001.0,Plagron Cocos A 5L,1.209,0.014999999999999902
hmh01685,plagron-cocos-a-5-liter,Plagron Cocos A 5 liter,52.5,0.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.553,3.0,113.2,,,,0.0,,0,,1.553,ambiguous,Ambiguous: Δ=0.014,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.538,3001.0,Plagron Cocos A 5L,1.444,0.014999999999999902
hmh01687,plagron-cocos-b-5-liter,Plagron Cocos B  5 liter,52.5,0.0,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.553,3.0,113.0,,,,0.0,,0,,1.553,ambiguous,Ambiguous: Δ=0.014,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.538,3002.0,Plagron Cocos B 5L,1.444,0.014999999999999902
hmh00207,floraduo-a-6-gal,FloraDuo A 6 gal,158.5,0.0,1916.0,FloraDuo (Part-B) 6Gal,1.003,2.0,146.63,,,,0.0,,0,,1.003,ambiguous,Ambiguous: Δ=0.000,1917.0,FloraDuo (Part-A) 6Gal,1.003,196.0,FloraDuo (Part-B) Gal,0.996,0.0
hmh00964,replacement-probe-for-24-7-meter,Replacement Probe for 24-7 Meter,49.0,0.0,1054.0,24-7 PPM Replacement Probe,1.145,2.0,48.83,,,,0.0,,0,,1.145,ambiguous,Ambiguous: Δ=0.002,1053.0,24-7 pH Replacement Probe,1.143,1452.0,Tri-Meter replacement Probe,0.741,0.0020000000000000018
hmh00212,floraduo-b-6-gal,FloraDuo B 6 gal,170.0,0.0,1916.0,FloraDuo (Part-B) 6Gal,1.003,2.0,146.63,,,,0.0,,0,,1.003,ambiguous,Ambiguous: Δ=0.008,1917.0,FloraDuo (Part-A) 6Gal,0.995,196.0,FloraDuo (Part-B) Gal,0.986,0.007999999999999896
hmh00370,humboldt-master-b-2-5-gal,Humboldt Master B 2.5 gal,146.24,0.0,568.0,Master-B 2.5Gal,1.114,2.0,142.95,,,,0.0,,0,,1.114,ambiguous,Ambiguous: Δ=0.008,564.0,Master-A 2.5Gal,1.106,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.014,0.008000000000000007
hmh00366,humboldt-master-a-2-5-gal,Humboldt Master A 2.5 gal,146.24,0.0,564.0,Master-A 2.5Gal,1.114,2.0,142.95,,,,0.0,,0,,1.114,ambiguous,Ambiguous: Δ=0.008,568.0,Master-B 2.5Gal,1.106,3411.0,Athena I.P.M. /5 Gal,1.01,0.008000000000000007
hmh01226,bcuzz-coco-nutrition-componet-a-1l,B'Cuzz CoCo Nutrition Componet A 1L,16.1,0.0,2098.0,B'Cuzz Coco Nutrition B Qt,0.702,2.0,16.1,,,,0.0,,0,,0.702,ambiguous,Ambiguous: Δ=0.009,2097.0,B'cuzz Coco Nutrition A Qt,0.693,1070.0,B'Cuzz Hydro Nutrition A Qt,0.581,0.009000000000000008
hmh00353,humboldt-bloom-5-gal,Humboldt Bloom 5 gal,117.0,0.0,3281.0,Athena Bloom A 5 Gal,1.502,1.0,200.0,,,,0.0,,0,,1.502,ambiguous,Ambiguous: Δ=0.000,3282.0,Athena Bloom B 5 Gal,1.502,3136.0,Athena Bloom A 4-0-5 Gal.,1.48,0.0
hmh00442,humboldt-sticky-foliar-feed-16-oz,Humboldt Sticky Foliar Feed 16 oz,16.0,0.0,2900.0,Physan 20™ 16 oz,0.668,1.0,11.99,,,,0.0,,0,,0.668,ambiguous,Ambiguous: Δ=0.002,3154.0,ph up 16 oz,0.666,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.656,0.0020000000000000018
hmh01120,120v-120v-4-light-switcher,120V - 120V 4 Light Switcher,148.0,0.0,1214.0,LT4-120 4 Light Timer,0.91,1.0,233.45,,,,0.0,,0,,0.91,ambiguous,Ambiguous: Δ=0.003,1222.0,LT4-120-B 4 Light Timer,0.907,1219.0,LT4-240 4 Light Timer,0.855,0.0030000000000000027
hmh00934,4-light-timer-120-v,4 Light Timer (120 V.),335.0,0.0,1222.0,LT4-120-B 4 Light Timer,1.073,1.0,233.45,,,,0.0,,0,,1.073,ambiguous,Ambiguous: Δ=0.005,1214.0,LT4-120 4 Light Timer,1.069,1218.0,LT4-240-LTO 4 Light Timer,0.933,0.0040000000000000036
hmh01057,sensi-grow-part-a-2-5-gal,Sensi Grow part A (2.5 gal),79.96,0.0,198.0,FloraDuo (Part-A) 2.5Gal,0.951,1.0,92.99,,,,0.0,,0,,0.951,ambiguous,Ambiguous: Δ=0.017,199.0,FloraDuo (Part-B) 2.5Gal,0.934,3139.0,Athena Grow B 1-3-5 Gal.,0.921,0.016999999999999904
hmh00170,flora-micro-16-oz,Flora Micro 16 oz,11.22,0.0,2900.0,Physan 20™ 16 oz,0.773,1.0,11.99,,,,0.0,,0,,0.773,ambiguous,Ambiguous: Δ=0.018,3154.0,ph up 16 oz,0.755,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.736,0.018000000000000016
hmh00180,flora-bloom-16-oz,Flora Bloom 16 oz,10.39,0.0,2900.0,Physan 20™ 16 oz,0.773,1.0,11.99,,,,0.0,,0,,0.773,ambiguous,Ambiguous: Δ=0.018,3154.0,ph up 16 oz,0.755,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.736,0.018000000000000016
hmh00185,floranova-grow-16-oz,FloraNova Grow 16 oz,15.89,0.0,2900.0,Physan 20™ 16 oz,0.829,1.0,11.99,,,,0.0,,0,,0.829,ambiguous,Ambiguous: Δ=0.018,3154.0,ph up 16 oz,0.81,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.758,0.018999999999999906
hmh00036,subculture-b-200gm-bag,SubCulture B 200gm. Bag,41.95,0.0,374.0,SubCulture B 75g.,0.675,0.0,18.95,,,,0.0,,0,,0.675,ambiguous,Ambiguous: Δ=0.000,375.0,SubCulture M 75g,0.675,2666.0,SubCulture-B 75 Gram,0.567,0.0
hmh00175,floragro-16-oz,FloraGro 16 oz,10.39,0.0,3154.0,ph up 16 oz,0.823,0.0,11.73,,,,0.0,,0,,0.823,ambiguous,Ambiguous: Δ=0.002,2900.0,Physan 20™ 16 oz,0.821,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.76,0.0020000000000000018
hmh00208,floraduo-b-16-oz,FloraDuo B 16 oz,11.09,0.0,3154.0,ph up 16 oz,0.826,0.0,11.73,,,,0.0,,0,,0.826,ambiguous,Ambiguous: Δ=0.003,2900.0,Physan 20™ 16 oz,0.824,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.77,0.0020000000000000018
hmh00203,floraduo-a-16-oz,FloraDuo A 16 oz,11.09,0.0,3154.0,ph up 16 oz,0.826,0.0,11.73,,,,0.0,,0,,0.826,ambiguous,Ambiguous: Δ=0.003,2900.0,Physan 20™ 16 oz,0.824,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.787,0.0020000000000000018
hmh01562,cocotek-bloom-a-gal,CocoTek Bloom A Gal.,34.0,0.0,3360.0,CocoTek BLOOM-A 6 G.,1.209,0.0,99.0,,,,0.0,,0,,1.209,ambiguous,Ambiguous: Δ=0.003,3359.0,CocoTek BLOOM-B 6 Ga,1.206,3281.0,Athena Bloom A 5 Gal,1.095,0.0030000000000001137
hmh00390,royal-flush-16-oz,Royal Flush 16 oz,8.33,0.0,3154.0,ph up 16 oz,0.767,0.0,11.73,,,,0.0,,0,,0.767,ambiguous,Ambiguous: Δ=0.003,2900.0,Physan 20™ 16 oz,0.763,597.0,Royal Flush Pt,0.726,0.0040000000000000036
hmh00387,hydro-deuce-16-oz,Hydro-Deuce 16 oz,12.62,0.0,3154.0,ph up 16 oz,0.844,0.0,11.73,,,,0.0,,0,,0.844,ambiguous,Ambiguous: Δ=0.004,2900.0,Physan 20™ 16 oz,0.84,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.726,0.0040000000000000036
hmh01828,flora-bloom-275-gal,Flora Bloom 275 gal,3215.95,0.0,3502.0,N.C.R. Bloom 2.5 Gallon,0.97,0.0,149.0,,,,0.0,,0,,0.97,ambiguous,Ambiguous: Δ=0.004,3281.0,Athena Bloom A 5 Gal,0.966,3282.0,Athena Bloom B 5 Gal,0.966,0.0040000000000000036
,gmo-og-auto-seed-8-pack,,,,3579.0,AUTO GMO Auto,1.385,0.0,,,,,0.0,,0,,1.385,ambiguous,Ambiguous: Δ=0.008,3257.0,"G.M.O. Auto ""OG""",1.377,,Cannabis Seed AUTO,1.054,0.008000000000000007
hmh01560,cocotek-grow-a-gal,CocoTek Grow A Gal.,34.0,0.0,3360.0,CocoTek BLOOM-A 6 G.,0.951,0.0,99.0,,,,0.0,,0,,0.951,ambiguous,Ambiguous: Δ=0.011,3359.0,CocoTek BLOOM-B 6 Ga,0.939,3138.0,Athena Grow A 4-0-1 Gal.,0.931,0.01200000000000001
hmh00263,bcuzz-hydro-a-1l,B'Cuzz Hydro A 1L,16.1,0.0,1202.0,B'Cuzz Hydro A 10L,0.757,0.0,89.95,,,,0.0,,0,,0.757,ambiguous,Ambiguous: Δ=0.019,1203.0,B'Cuzz Hydro B 10L,0.738,1350.0,B'Cuzz Growth-C Qt,0.581,0.019000000000000017
hmh01493,ona-pro-gel-pail-1-gal,Ona Pro Gel Pail (1 Gal),39.95,0.0,2164.0,Ona Pro Gel Gal,1.442,-4.0,39.05,,,,0.0,,0,,1.442,ambiguous,Ambiguous: Δ=0.002,1909.0,ONA Pro Gel Pail Gal,1.44,1862.0,Ona Fresh Linen Gel Pail,1.203,0.0020000000000000018
hmh00365,humboldt-master-a-1-gal,Humboldt Master A 1 gal,70.2,0.0,563.0,Master-A Gal,1.189,-19.0,73.0,,,,0.0,,0,,1.189,ambiguous,Ambiguous: Δ=0.008,567.0,Master-B Gal,1.181,3138.0,Athena Grow A 4-0-1 Gal.,1.099,0.008000000000000007
