Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,Super Bud Auto (Feminised) Super Bud x Ruderalis 5 Seed,40.0,0.0,2286.0,Bud Boom 0-6-5,0.568,21.0,12.98,,,,0.0,,0,,0.568,low-score,High stock (~21) - manual confirmation,1660.0,Bud boom qt 0-6-5,0.55,2287.0,Pt. Bud Boom 16oz. 0-6-5,0.534
,jack-herer-auto-feminised-jack-herer-x-ruderalis-5-seed,Jack Herer Auto (Feminised) Jack Herer x Ruderalis-5 Seed,42.0,0.0,3568.0,Jacks 5-50-18 UltraViolet 1kg,0.567,5.0,29.95,,,,0.0,,0,,0.567,low-score,Ambiguous: Δ=0.294,3582.0,G.M.O. X MendoBreath/ Auto,0.274,3560.0,Facefat Strain Auto FEM,0.271
,8of32-kings-juice-feminised-mimosa-x-kings-kush-5-seed,,,,2356.0,Zeus Juice 2.5Gal,0.563,10.0,138.56,,,,0.0,,0,,0.563,low-score,Ambiguous: Δ=0.011,3607.0,N.C.R. GROW Juice 2.5 Gallon,0.552,2715.0,Earth Juice Rainbow Mix Grow,0.263
hmh00446,hygrozyme-4-l,HYGROZYME 4 L,135.25,0.0,186.0,Hygrozyme Gal,0.563,6.0,136.99,,,,0.0,,0,,0.563,low-score,Ambiguous: Δ=0.016,185.0,Hygrozyme Lt,0.547,184.0,Hygrozyme 500ml,0.499
,scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System Quart,22.0,0.0,2415.0,Ruby Ful#$% Qt,0.562,40.0,26.84,,,,0.0,,0,,0.562,low-score,High stock (~40) - manual confirmation,3610.0,"Ful acids""V""TECH  fulvic acids",0.513,117.0,Flora Shield Qt,0.49
,black-toffee-auto-feminised-larry-bubba-x-gelato-41-auto-5-seed,,,,3571.0,GELATO #41 @Flowers 32%,0.562,0.0,50.0,,,,0.0,,0,,0.562,low-score,Ambiguous: Δ=0.091,3535.0,Gelato #41 Simi FullTerm 11 G.,0.471,959.0,Beldon Square Black Pot 5X5X6,0.442
hmh00940,on-off-switcher-120v-3,ON/OFF Switcher 120V,759.95,0.0,435.0,CanFan TCL 6HO 120v,0.556,5.0,314.96,,,,0.0,,0,,0.556,low-score,Ambiguous: Δ=0.048,1285.0,OSW On/Off Switch,0.508,2846.0,Titan Hercules 3 HI TEMP OFF,0.492
,bcuzz-roxx-rooting-blocks-4-x-4-x-4-cs-24-strips-6-per-scrip,B'cuzZ Roxx Rooting Blocks 4 x 4 x 4 --Cs/24 strips @6 per strip,150.0,0.0,2083.0,"2"" mini blocks 24 count",0.556,93.0,6.79,,,,0.0,,0,,0.556,low-score,High stock (~93) - manual confirmation,336.0,"Roxx Big Dutch 6""",0.463,861.0,B'Cuzz Root Aid Gel 4oz,0.455
,super-critical-feminised-big-bud-x-skunk-x-white-widow-5-seed,Super Critical (Feminised) Big Bud x Skunk x White Widow-5 Seed,42.0,0.0,3097.0,FoxFarm Big Bloom 2.5 Gallon,0.553,0.0,167.49,,,,0.0,,0,,0.553,low-score,Ambiguous: Δ=0.020,1675.0,Fox Farm Big Bloom 5Gal,0.533,3005.0,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.53
hmh01155,calimagic-16oz,CALiMAGic 16oz,12.95,0.0,2064.0,CaliMagic Gal,0.553,9.0,62.89,,,,0.0,,0,,0.553,low-score,Ambiguous: Δ=0.005,2063.0,CaliMagic qt,0.548,2066.0,CaliMagic 6gal,0.525
,scietetics-ful-v-tech-element-transfer-system-255-gallon,Scietetics Ful V Tech Element Transfer System 255 Gallon,14000.0,3.0,3610.0,"Ful acids""V""TECH  fulvic acids",0.552,2.0,79.95,,,,0.0,,0,,0.552,low-score,Ambiguous: Δ=0.042,3511.0,Rhizium element tranferr 2.5Ga.,0.51,1755.0,Ruby Ful#$% 15 GAL.,0.461
,teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,24.95,0.0,3071.0,Teaming with Fungi,0.55,7.0,24.95,,,,0.0,,0,,0.55,low-score,Ambiguous: Δ=0.083,3196.0,Cannabis Growers Handbook,0.467,3304.0,Teaming with Bacteria by Jeff L,0.414
,grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,250.0,10.0,1459.0,Grodan Gro 6 x 6 x 6 HUGO,0.547,0.0,3.75,,,,0.0,,0,,0.547,low-score,Ambiguous: Δ=0.116,3456.0,"Grodon Hugo 6""/Cs.- 64",0.431,1360.0,Flora Flex PotPro Pot 8 in,0.416
,blue-haze-x-gelato-41-auto-feminised-blue-haze-x-gelato-41-auto-5-seed,,,,3571.0,GELATO #41 @Flowers 32%,0.545,0.0,50.0,,,,0.0,,0,,0.545,low-score,Ambiguous: Δ=0.045,3535.0,Gelato #41 Simi FullTerm 11 G.,0.5,1961.0,Haze Auto x White Widow Auto,0.478
,big-bang-feminised-skunk-x-northern-light-x-el-nino-auto-5-seed,Big Bang (Feminised) Skunk x Northern Light x El Niño AUTO 5 Seed,45.0,0.0,902.0,4ft Rail for Light Rail 5,0.545,0.0,70.36,,,,0.0,,0,,0.545,low-score,Ambiguous: Δ=0.011,3552.0,Big Eas4.7 ft x 4.7 ft x 6.5 ft,0.534,3005.0,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.508
hmh00848,snapture-foot-base,Snapture Foot Base,4.79,0.0,492.0,SnapStand Foot Base,0.543,6.0,4.68,,,,0.0,,0,,0.543,low-score,Ambiguous: Δ=0.010,3496.0,Frout by Foot,0.533,3554.0,Froot by Foot Auto 36.1%,0.514
hmh00962,big-boy-kdf-85-carbon-filter-well-water-chloramines,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,129.0,0.0,1005.0,Big Boy KDF85 Carbon Filter,0.542,1.0,124.14,,,,0.0,,0,,0.542,low-score,Ambiguous: Δ=0.007,1023.0,Carbon Filter for Big Boy,0.535,453.0,Big Boy KDF85/Catalytic Carbon,0.488
hmh01595,240v-lec-emitting-ceramic-fixture-630-light,240V.LEC®Emitting Ceramic® Fixture 630 Light,250.0,0.0,2886.0,D-Papillon Double  630/ 240V.,0.539,6.0,599.0,,,,0.0,,0,,0.539,low-score,Ambiguous: Δ=0.039,2511.0,E Papillon Lighting System 630,0.5,1218.0,LT4-240-LTO 4 Light Timer,0.401
SKID,dutch-lighting-innovations-joule-series-1000w-de-220v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),19000.0,62.0,3465.0,Dutch Lighting Innovations DLM-,0.538,1.0,350.0,,,,0.0,,0,,0.538,low-score,Ambiguous: Δ=0.057,2620.0,DLI JOULE-Series 1000W 400V D/E,0.481,2954.0,GREENPOWER FIXTURES HORIZ. 315,0.385
,peel-and-stick-zipper-7-ft-x-3-in-double-sided-2-pack,"Peel and Stick Zipper, 7 ft. x 3 in. Double Sided, 2-Pack",15.99,0.0,2829.0,Poly Tubing Black 3/8 in 50 ft,0.537,8.0,16.95,,,,0.0,,0,,0.537,low-score,Ambiguous: Δ=0.026,2129.0,"Black Tubing 3/4""",0.511,3020.0,Duralastics Tray 2 ft x 4 ft ID,0.497
,og-grease-trace-booster,OG Grease * Trace Booster,19.97,100.0,3651.0,ALFALFA GREASE extract 1000ml,0.537,12.0,106.0,,,,0.0,,0,,0.537,low-score,Ambiguous: Δ=0.015,3650.0,Bloom GREASE canna 1000 ml,0.522,3649.0,Bloom GREASE canna 500 ml,0.487
hmh01439,sunblaster-25-watt-green-visual-lamp-standard-socket,SunBlaster 25 watt green Visual lamp-standard socket,9.88,0.0,2979.0,"Sunblaster 18"" lamp",0.533,1.0,8.95,,,,0.0,,0,,0.533,low-score,Ambiguous: Δ=0.056,3660.0,125 watt Sunblaster CFL,0.477,2492.0,Sunblaster Green 26w,0.414
,scietetics-development-powder-grow,Scietetics Development Powder Grow,120.0,0.0,1866.0,greenwway sulfur powder 10 lb,0.523,1.0,23.95,,,,0.0,,0,,0.523,low-score,Ambiguous: Δ=0.026,3320.0,AZOMITE® SR Powder - 5lb,0.497,1406.0,SULFUR POWDER 10LB BAG,0.474
hmh00628,plant-supports-50-in-retractable-tension-line-bag-of-10,Plant Supports 50 in. retractable tension line (bag of 10),18.9,0.0,2988.0,Plant Success Jellyfish 10 gm.,0.52,0.0,4.95,,,,0.0,,0,,0.52,low-score,Ambiguous: Δ=0.066,3078.0,Soil Moist Natural 1 lb,0.454,1406.0,SULFUR POWDER 10LB BAG,0.444
,cri-series-dli-cri-series-630w-cmh-240v,CRI-Series DLI CRI-Series 630W CMH 120V-240V,395.0,0.0,2620.0,DLI JOULE-Series 1000W 400V D/E,0.52,2.0,499.0,,,,0.0,,0,,0.52,low-score,Ambiguous: Δ=0.026,3642.0,10ft. Extention /DLI 240V Cord,0.494,2954.0,GREENPOWER FIXTURES HORIZ. 315,0.474
hmh01422,flora-series-performance-pack-complete-8-week-grow-bloom-starter-kit,Flora Series Performance Pack (Complete 8 week grow/bloom starter kit),52.95,0.0,325.0,Tiger Bloom 2 - 8 - 4 Gal,0.519,31.0,104.29,,,,0.0,,0,,0.519,low-score,High stock (~31) - manual confirmation,2697.0,"8""Max-Fan PRO Series 3-speed",0.512,697.0,"PRO Flange Kit 8""",0.507
,2-heavy-duty-neoprene-collars-case-of-200,,,,818.0,"2"" Neoprene (Thick)",0.519,152.0,0.83,,,,0.0,,0,,0.519,low-score,High stock (~152) - manual confirmation,2844.0,M.E.- Sugar Load Heavy Brix Mol,0.416,3011.0,"TurboKlone Klone Collars-1.6""",0.398
,nevilles-haze-feminised-almost-pure-haze-landrace-5-seed,Neville's Haze (Feminised) Almost pure Haze Landrace 5 Seed,50.0,0.0,26.0,Pure Blend Pro Grow 5Gal,0.514,1.0,274.42,,,,0.0,,0,,0.514,low-score,Ambiguous: Δ=0.007,21.0,Pure Blend Pro Grow 2.5G,0.508,24.0,Pure Blend Pro Bloom 5Gal,0.5
hmh01717,315-chm-3k-greenpower-luminaires,315 CHM 3K GREENPOWER LUMINAIRES,89.0,0.0,2888.0,D-Papillon 315W FULL SPECTRUM,0.51,5.0,350.0,,,,0.0,,0,,0.51,low-score,Ambiguous: Δ=0.235,1983.0,PLANT MAX 600 3K,0.274,3512.0,Hortilux 600W CHM lamp,0.213
hmh00567,2-heavy-duty-neoprene-collars-case-of-200,"2"" heavy duty neoprene collars (case of 200)",90.0,0.0,818.0,"2"" Neoprene (Thick)",0.506,152.0,0.83,,,,0.0,,0,,0.506,low-score,High stock (~152) - manual confirmation,2844.0,M.E.- Sugar Load Heavy Brix Mol,0.407,3011.0,"TurboKlone Klone Collars-1.6""",0.394
,money-maker-feminised-original-master-kush-x-hindu-kush-x-skunk-5-seed,Money Maker (Feminised) Original Master Kush x Hindu Kush x Skunk-5 Seed,40.0,0.0,565.0,Master-A 5Gal,0.5,6.0,251.61,,,,0.0,,0,,0.5,low-score,Ambiguous: Δ=0.000,569.0,Master-B 5Gal,0.5,564.0,Master-A 2.5Gal,0.493
hmh00038,general-organics-starter-box,General Organics Starter Box,56.25,0.0,2019.0,Advanced Nutrients Starter Kit,0.497,1.0,217.88,,,,0.0,,0,,0.497,low-score,Ambiguous: Δ=0.003,1818.0,Personal GROW BOX/ 8 liters,0.494,559.0,Honey Organic ES Gal,0.476
hmh00881,t5-cfl-2-plantmax-day-24w-6500k-tube-2520-lumens,T5 CFL 2' Plantmax Day 24W. 6500K tube 2520 lumens,8.95,0.0,3032.0,SunBlaster/LED Strip Lights 24,0.487,0.0,74.95,,,,0.0,,0,,0.487,low-score,Ambiguous: Δ=0.056,3563.0,Gummibears 41.2% Day-50/50-11G.,0.431,791.0,"Blue Tubing 1/2""",0.403
hmh00931,timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,305.0,0.0,1225.0,CST-1P Chrono Seqential Photo,0.479,2.0,125.0,,,,0.0,,0,,0.479,low-score,Ambiguous: Δ=0.003,989.0,CO2 Controller/Monitor/photo I,0.476,1215.0,CYC-4P Cycle Timer w/ Photo,0.447
