Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score,Review Status,Status Reason,Score Delta vs Alt
hmh01708,315-chm-4k-greenpower-luminaires,315 CHM 4K GREENPOWER LUMINAIRES,89.0,0.0,3258.0,315 Supreme-Lux Flower 4K lamp,0.65,10.0,99.99,3258,315 Supreme-Lux Flower 4K lamp,315,10.0,99.99,0,lDL Wholesale,0.65,needs-review,Verify vs alt 2888 (score 0.510),2888,D-Papillon 315W FULL SPECTRUM,0.51,3512.0,Hortilux 600W CHM lamp,0.213,ready-strong-gap,Match score exceeds alt by 0.140,0.14
hmh00833,4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,7.95,0.0,2398.0,5 Gal. Bucket,0.642,81.0,11.99,2398,5 Gal. Bucket,1 Pc,81.0,11.99,0,Sunlight Supply inc.,0.642,needs-review,auto-resolved: price proximity,3658,Agrowlyte Gallon 4 to 1 Wash,0.626,1363.0,Bubble bucket kit,0.609,manual-review,Needs human confirmation,0.016000000000000014
hmh00934,4-light-timer-120-v,4 Light Timer (120 V.),335.0,0.0,1222.0,LT4-120-B 4 Light Timer,1.073,1.0,233.45,1222,LT4-120-B 4 Light Timer,1 Box,1.0,233.45,0,Nickel City Wholesale Garden Supply,1.073,needs-review,Needs review: close alt 1214 (Δ=0.005),1214,LT4-120 4 Light Timer,1.069,1218.0,LT4-240-LTO 4 Light Timer,0.933,ready-alt-validated,token overlap: best 2 >= alt 2.0; number overlap: best 2 >= alt 2.0; size overlap: best 0 >= alt 0.0; price delta: best 0.3031 <= alt 0.3031; fuzzy ratio: best 0.512396694214876 >= alt 0.5042016806722689; Score delta 0.004,0.0040000000000000036
hmh00901,6-ft-rail-only,6 ft Rail only,25.95,0.0,3244.0,instant ZIPPER 6.5 ft.,0.733,7.0,14.99,3244,instant ZIPPER 6.5 ft.,6.5,7.0,14.99,0,,0.733,needs-review,Verify vs alt 3148 (score 0.638),3148,OD Tray 4 ft x 6 ft - Black,0.638,3552.0,Big Eas4.7 ft x 4.7 ft x 6.5 ft,0.626,ready-strong-gap,Match score exceeds alt by 0.095,0.09499999999999997
hmh01731,8-pack-of-badboy-ho-t-5-4-ft-triphosphor-bloom-2,8 Pack of BadBoy HO T-5 4 ft Triphosphor Bloom,96.0,0.0,2252.0,"T5/24"" Sunlite 865 K lamp HO",0.665,12.0,9.25,2252,"T5/24"" Sunlite 865 K lamp HO",2 ft.,12.0,9.25,0,Nickel City Wholesale Garden Supply,0.665,needs-review,Verify vs alt 2005 (score 0.617),2005,Bamboo Stakes 4',0.617,3578.0,AUTO Froot by the Foot/ 70 Day,0.612,ready-alt-validated,token overlap: best 2 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.9036 <= alt 0.9324; fuzzy ratio: best 0.3297872340425531 >= alt 0.2427745664739884; Score delta 0.048,0.04800000000000004
hmh00967,8oz-electrode-storage-solution,8oz electrode storage solution,8.75,0.0,305.0,pH 7.0 Calibration Solution 8oz,0.675,14.0,7.37,305,pH 7.0 Calibration Solution 8oz,8 Oz,14.0,7.37,0,Nickel City Wholesale Garden Supply,0.675,needs-review,Verify vs alt 1211 (score 0.629),1211,Genesis 1500ppm Solution 8oz,0.629,1212.0,Genesis 1413 TDS Solution 8oz,0.627,ready-alt-validated,token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.1577 <= alt 0.2240; fuzzy ratio: best 0.419753086419753 >= alt 0.4161073825503356; Score delta 0.046,0.04600000000000004
,ac-wsa20-b-automatic-water-sprayer-2-liter,"AC-WSA20-B Automatic Water Sprayer, 2-Liter",29.99,0.0,3369.0,Jacto-8C Backpack Sprayer -2Gal,0.64,0.0,264.0,3369,Jacto-8C Backpack Sprayer -2Gal,2 gallon,0.0,264.0,0,BFG,0.64,needs-review,Verify vs alt 2347 (score 0.511),2347,Trimpro Rotor w/ Workstation,0.511,3068.0,360 Trigger Sprayer,0.361,ready-strong-gap,Match score exceeds alt by 0.129,0.129
hmh01201,air-tight-6-a-c-w-15-socket-set,Air Tight 6 A/C - w/15' Socket Set,75.0,0.0,1951.0,AiroFlow Hood,0.77,2.0,155.42,1951,AiroFlow Hood,1 Box,2.0,155.42,0,Nickel City Wholesale Garden Supply,0.77,needs-review,Verify vs alt 734 (score 0.637),734,Socket Set 15' Cord,0.637,757.0,"Ultragrow A/C 6""",0.609,ready-strong-gap,Match score exceeds alt by 0.133,0.133
,athena-camg-1-gallon,Athena CaMg 1 Gallon,45.0,0.0,3138.0,Athena Grow A 4-0-1 Gal.,1.16,4.0,45.0,3138,Athena Grow A 4-0-1 Gal.,gallon,4.0,45.0,0,Athena,1.16,needs-review,Needs review: close alt 3139 (Δ=0.000),3139,Athena Grow B 1-3-5 Gal.,1.16,3631.0,Athena Grow A 1-3-5 /5 Gal.,1.147,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: best 0.6274509803921569 >= alt 0.6274509803921569; Score delta 0.000,0.0
,athena-camg-2,Athena CaMg,45.0,0.0,3134.0,Athena CaMg Supplement Gal.,0.685,1.0,45.0,3134,Athena CaMg Supplement Gal.,gallon,1.0,45.0,0,Athena,0.685,needs-review,auto-resolved: price proximity,1988,CaMg+ 2.5Gal,0.66,918.0,G.O. CaMg+ 6 Gal,0.612,ready-gap,Match score exceeds alt by 0.025,0.025000000000000022
hmh01471,autumn-quart,Autumn Quart,19.7,0.0,2758.0,G-10 qt,0.746,-1.0,58.45,2758,G-10 qt,qt,-1.0,58.45,0,Nickel City Wholesale Garden Supply,0.746,needs-review,Verify vs alt 2425 (score 0.677),2425,Decision Qt,0.677,3444.0,Floralicious plus qt.,0.65,ready-strong-gap,Match score exceeds alt by 0.069,0.06899999999999995
hmh01730,badboy-ho-t-5-4-ft-triphosphor-grow-54-w-6500-k-2,"BadBoy HO T-5 4 ft Triphosphor Grow 54 W, 6500 K",15.95,0.0,2252.0,"T5/24"" Sunlite 865 K lamp HO",0.709,12.0,9.25,2252,"T5/24"" Sunlite 865 K lamp HO",2 ft.,12.0,9.25,0,Nickel City Wholesale Garden Supply,0.709,needs-review,Verify vs alt 776 (score 0.616),776,BadBoy T5 4'-12 Fixture w/ bulb,0.616,774.0,BadBoy T5 4'-6 Fixture w/ Bulbs,0.614,ready-strong-gap,Match score exceeds alt by 0.093,0.09299999999999997
hmh01709,badboy-ho-t-5-triphosphor-bloom-54w-2900k,BadBoy HO T-5 Triphosphor Bloom 54W 2900K,15.95,0.0,3137.0,Athena Bloom B 0.7-6.5 Gal.,0.656,8.0,45.0,3137,Athena Bloom B 0.7-6.5 Gal.,gallon,8.0,45.0,0,Athena,0.656,needs-review,auto-resolved: price proximity,3281,Athena Bloom A 5 Gal,0.654,3282.0,Athena Bloom B 5 Gal,0.654,manual-review,Needs human confirmation,0.0020000000000000018
hmh00536,badboy-t-5-4-ft-16-lamp-fixture-864-w,BADBOY T-5 4 ft - 16 Lamp Fixture 864 W,399.0,0.0,774.0,BadBoy T5 4'-6 Fixture w/ Bulbs,0.695,9.0,239.0,777,BadBoy T5 4'-16 Fixture w/ Bulb,1 Box,16.0,499.0,0,Nickel City Wholesale Garden Supply,0.693,needs-review,auto-resolved: alt price proximity,777,BadBoy T5 4'-16 Fixture w/ Bulb,0.693,773.0,BadBoy T5 4'-4 Fixture w/ Bulbs,0.688,ready-alt-validated,token overlap: best 2 >= alt 2.0; number overlap: best 2 >= alt 2.0; size overlap: best 0 >= alt 0.0; price delta: best 0.2506 <= alt 0.2506; fuzzy ratio: best 0.5222222222222223 >= alt 0.5222222222222223; Score delta 0.000,0.0
hmh00532,badboy-t-5-4-ft-4-lamp-fixture-216-w,BADBOY T-5 4 ft - 4 Lamp Fixture 216 W,140.0,0.0,777.0,BadBoy T5 4'-16 Fixture w/ Bulb,0.696,16.0,499.0,774,BadBoy T5 4'-6 Fixture w/ Bulbs,1 Box,9.0,239.0,0,Nickel City Wholesale Garden Supply,0.692,needs-review,auto-resolved: alt price proximity,774,BadBoy T5 4'-6 Fixture w/ Bulbs,0.692,773.0,BadBoy T5 4'-4 Fixture w/ Bulbs,0.679,ready-alt-validated,token overlap: best 2 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.7071 <= alt 0.7071; fuzzy ratio: best 0.519774011299435 >= alt 0.519774011299435; Score delta 0.000,0.0
hmh00533,badboy-t-5-4-ft-6-lamp-fixture-324-w,BADBOY T-5 4 ft - 6 Lamp Fixture 324 W,175.0,0.0,773.0,BadBoy T5 4'-4 Fixture w/ Bulbs,0.692,13.0,170.0,773,BadBoy T5 4'-4 Fixture w/ Bulbs,1 Box,13.0,170.0,0,Nickel City Wholesale Garden Supply,0.692,needs-review,auto-resolved: price proximity,777,BadBoy T5 4'-16 Fixture w/ Bulb,0.69,774.0,BadBoy T5 4'-6 Fixture w/ Bulbs,0.685,manual-review,Needs human confirmation,0.0020000000000000018
hmh00534,badboy-t-5-4-ft-8-lamp-fixture-432-w,BADBOY T-5 4 ft - 8 Lamp Fixture 432 W,200.0,0.0,773.0,BadBoy T5 4'-4 Fixture w/ Bulbs,0.692,13.0,170.0,773,BadBoy T5 4'-4 Fixture w/ Bulbs,1 Box,13.0,170.0,0,Nickel City Wholesale Garden Supply,0.692,needs-review,auto-resolved: price proximity,775,BadBoy T5 4'-8 Fixture w/ bulbs,0.685,777.0,BadBoy T5 4'-16 Fixture w/ Bulb,0.684,manual-review,Needs human confirmation,0.006999999999999895
hmh00261,bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C 1L,16.7,0.0,1350.0,B'Cuzz Growth-C Qt,0.743,6.0,16.32,135,B'Cuzz Growth-C Qt,liter,6.0,16.32,0,Nickel City Wholesale Garden Supply,0.743,needs-review,Verify vs alt 1069 (score 0.702),1069,B'Cuzz Flavor-C Qt,0.702,1068.0,B'Cuzz Bloom-C Qt,0.669,manual-alt-stronger,token overlap: alt 3.0 > best 2; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0228 <= alt 0.0228; fuzzy ratio: best 0.5426356589147286 >= alt 0.3676470588235294,0.041000000000000036
hmh01224,bcuzz-booster-pack,B'cuzZ Booster Pack,12.95,0.0,3135.0,Athena PK Bloom booster Gal.,0.722,6.0,45.0,3135,Athena PK Bloom booster Gal.,gallon,6.0,45.0,0,Athena,0.722,needs-review,Verify vs alt 1066 (score 0.635),1066,B'Cuzz Tabzz,0.635,2096.0,B'cuzz Booster Pack,0.615,ready-strong-gap,Match score exceeds alt by 0.087,0.08699999999999997
hmh01226,bcuzz-coco-nutrition-componet-a-1l,B'Cuzz CoCo Nutrition Componet A 1L,16.1,0.0,2098.0,B'Cuzz Coco Nutrition B Qt,0.702,2.0,16.1,2098,B'Cuzz Coco Nutrition B Qt,1 Qt,2.0,16.1,0,Nickel City Wholesale Garden Supply,0.702,needs-review,Needs review: close alt 2097 (Δ=0.009),2097,B'cuzz Coco Nutrition A Qt,0.693,1070.0,B'Cuzz Hydro Nutrition A Qt,0.581,manual-alt-stronger,token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0000 <= alt 0.0056; fuzzy ratio: alt 0.532608695652174 > best 0.4971751412429379,0.009000000000000008
hmh01228,bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 5L,65.5,0.0,1072.0,B'Cuzz Hydro Nutrition A 5L,0.731,5.0,50.34,1072,B'Cuzz Hydro Nutrition A 5L,5 Lt,5.0,50.34,0,Nickel City Wholesale Garden Supply,0.731,needs-review,auto-resolved: price proximity,2098,B'Cuzz Coco Nutrition B Qt,0.727,1073.0,B'Cuzz Hydro Nutrition B 5L,0.724,manual-review,Needs human confirmation,0.0040000000000000036
hmh01227,bcuzz-coco-nutrition-componet-b-1l,B'Cuzz CoCo Nutrition Componet B 1L,16.1,0.0,2098.0,B'Cuzz Coco Nutrition B Qt,0.727,2.0,16.1,2098,B'Cuzz Coco Nutrition B Qt,1 Qt,2.0,16.1,0,Nickel City Wholesale Garden Supply,0.727,needs-review,Verify vs alt 2097 (score 0.675),2097,B'cuzz Coco Nutrition A Qt,0.675,1071.0,B'Cuzz Hydro Nutrition B Qt,0.581,ready-strong-gap,Match score exceeds alt by 0.052,0.051999999999999935
hmh01229,bcuzz-coco-nutrition-componet-b-5l,B'Cuzz CoCo Nutrition Componet B 5L,65.5,0.0,2098.0,B'Cuzz Coco Nutrition B Qt,0.739,2.0,16.1,2098,B'Cuzz Coco Nutrition B Qt,1 Qt,2.0,16.1,0,Nickel City Wholesale Garden Supply,0.739,needs-review,auto-resolved: text similarity,1073,B'Cuzz Hydro Nutrition B 5L,0.731,1072.0,B'Cuzz Hydro Nutrition A 5L,0.724,manual-review,Needs human confirmation,0.008000000000000007
hmh00276,bcuzz-growth-stimulator-12oz,B'Cuzz Growth Stimulator - 12oz,22.0,0.0,1350.0,B'Cuzz Growth-C Qt,0.777,6.0,16.32,135,B'Cuzz Growth-C Qt,liter,6.0,16.32,0,Nickel City Wholesale Garden Supply,0.777,needs-review,auto-resolved: price proximity,1185,B’Cuzz Bloom Stimulator 0-0-0.7,0.762,1055.0,B'Cuzz Grow 12oz,0.713,manual-review,Needs human confirmation,0.015000000000000013
hmh00263,bcuzz-hydro-a-1l,B'Cuzz Hydro A 1L,16.1,0.0,1202.0,B'Cuzz Hydro A 10L,0.757,0.0,89.95,1202,B'Cuzz Hydro A 10L,10 Liter,0.0,89.95,0,Nickel City Wholesale Garden Supply,0.757,needs-review,Needs review: close alt 1203 (Δ=0.019),1203,B'Cuzz Hydro B 10L,0.738,1350.0,B'Cuzz Growth-C Qt,0.581,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 4.5870 <= alt 4.5870; fuzzy ratio: best 0.6491228070175439 >= alt 0.6140350877192983; Score delta 0.019,0.019000000000000017
hmh00264,bcuzz-hydro-a-5l,B'Cuzz Hydro A 5L,51.5,0.0,1202.0,B'Cuzz Hydro A 10L,0.738,0.0,89.95,1202,B'Cuzz Hydro A 10L,10 Liter,0.0,89.95,0,Nickel City Wholesale Garden Supply,0.738,needs-review,Needs review: close alt 1203 (Δ=0.019),1203,B'Cuzz Hydro B 10L,0.718,2244.0,B'Cuzz Flavor-C 5L,0.718,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.7466 <= alt 0.7466; fuzzy ratio: best 0.6140350877192983 >= alt 0.5789473684210527; Score delta 0.020,0.020000000000000018
hmh00265,bcuzz-hydro-b-1l,B'Cuzz Hydro B 1L,16.1,0.0,1203.0,B'Cuzz Hydro B 10L,0.757,0.0,89.95,1203,B'Cuzz Hydro B 10L,10 liter,0.0,89.95,0,Nickel City Wholesale Garden Supply,0.757,needs-review,Verify vs alt 1202 (score 0.709),1202,B'Cuzz Hydro A 10L,0.709,1350.0,B'Cuzz Growth-C Qt,0.561,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 4.5870 <= alt 4.5870; fuzzy ratio: best 0.6491228070175439 >= alt 0.5614035087719298; Score delta 0.048,0.04800000000000004
hmh00266,bcuzz-hydro-b-5l,B'Cuzz Hydro B 5L,51.5,0.0,1203.0,B'Cuzz Hydro B 10L,0.738,0.0,89.95,1203,B'Cuzz Hydro B 10L,10 liter,0.0,89.95,0,Nickel City Wholesale Garden Supply,0.738,needs-review,auto-resolved: text similarity,2244,B'Cuzz Flavor-C 5L,0.718,2242.0,B'cuzz Growth-C 5L,0.702,ready-gap,Match score exceeds alt by 0.020,0.020000000000000018
hmh00475,bcuzz-roxx-bimatrix-growing-slab-36-x-6-x-3,B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3,7.5,0.0,388.0,"BiMatrix 6"" Slab",0.764,-43.0,7.45,388,"BiMatrix 6"" Slab",Slab,-43.0,7.45,0,Nickel City Wholesale Garden Supply,0.764,needs-review,Verify vs alt 387 (score 0.661),387,"Bimatrix Xtra-Long 6"" Slab",0.661,389.0,"BiMatrix 8"" Slab",0.518,ready-strong-gap,Match score exceeds alt by 0.103,0.10299999999999998
hmh00477,bcuzz-roxx-bimatrix-growing-slab-40-x-6-x-3,B'cuzZ Roxx Bimatrix Growing Slab 40 x 6 x 3,7.5,0.0,388.0,"BiMatrix 6"" Slab",0.751,-43.0,7.45,388,"BiMatrix 6"" Slab",Slab,-43.0,7.45,0,Nickel City Wholesale Garden Supply,0.751,needs-review,Verify vs alt 387 (score 0.673),387,"Bimatrix Xtra-Long 6"" Slab",0.673,389.0,"BiMatrix 8"" Slab",0.504,ready-strong-gap,Match score exceeds alt by 0.078,0.07799999999999996
hmh00470,bcuzz-roxx-rooting-blocks-4-x-4-x-2-5-42-40mm-hole-strip-of-6,"B'cuzZ Roxx Rooting Blocks 4 x 4 x 2.5, 42/40mm hole (strip of 6)",4.53,0.0,381.0,Roxx 3x3x2.5 8ct,0.775,98.0,4.04,381,Roxx 3x3x2.5 8ct,8 Ct,98.0,4.04,0,Nickel City Wholesale Garden Supply,0.775,needs-review,Verify vs alt 382 (score 0.734),382,Roxx 3x3x2.5 (No Hole) 8ct,0.734,380.0,Mini-Blocks 1.5x1.5x1.5 / 48ct,0.596,ready-alt-validated,token overlap: best 4 >= alt 4.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.1082 <= alt 0.1082; fuzzy ratio: best 0.2816901408450704 >= alt 0.2604651162790697; Score delta 0.041,0.041000000000000036
hmh00471,bcuzz-roxx-rooting-blocks-4-x-4-x-4-no-hole-strip-of-6,"B'cuzZ Roxx Rooting Blocks 4 x 4 x 4, no hole (strip of 6)",5.95,0.0,385.0,Roxx 4x4x4 (No Hole) 6ct,0.763,163.0,5.8,385,Roxx 4x4x4 (No Hole) 6ct,6 Ct,163.0,5.8,0,Nickel City Wholesale Garden Supply,0.763,needs-review,Verify vs alt 382 (score 0.687),382,Roxx 3x3x2.5 (No Hole) 8ct,0.687,381.0,Roxx 3x3x2.5 8ct,0.524,ready-strong-gap,Match score exceeds alt by 0.076,0.07599999999999996
,bio365-bioblend-high-porosity-blend-1-5cu-ft-bag-blend-of-fine-coir-coarse-peat-super-coarse-perlite,"bio365™ BIOBLEND™ High Porosity Blend - 1.5cu ft - Bag - Blend of Fine Coir, Coarse Peat, & Super Coarse Perlite",29.99,0.0,3383.0,bio365™ BIOBLEND™ - 1.5cu ft,0.766,33.0,29.99,3383,bio365™ BIOBLEND™ - 1.5cu ft,1.5 cu. ft.,33.0,29.99,0,BFG,0.766,needs-review,Verify vs alt 3381 (score 0.561),3381,bio365™ BIOALL,0.561,3382.0,bio365™ BIOFLOWER,0.503,ready-strong-gap,Match score exceeds alt by 0.205,0.20499999999999996
