Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score,Review Status,Status Reason,Score Delta vs Alt,Recommended Action,Manual Decision,Decision Applied
hmh00180,flora-bloom-16-oz,Flora Bloom 16 oz,10.39,0.0,2900.0,Physan 20™ 16 oz,0.773,1.0,11.99,3154,Physan 20™ 16 oz,16 oz.,1.0,11.99,0,Sunlight Supply inc.,0.773,needs-review,Needs review: close alt 3154 (Δ=0.018),3154,ph up 16 oz,0.755,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.736,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.1290 closer than best 0.1540; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,0.018000000000000016,switch,switch,POS switched
hmh01828,flora-bloom-275-gal,Flora Bloom 275 gal,3215.95,0.0,3502.0,N.C.R. Bloom 2.5 Gallon,0.97,0.0,149.0,3281,N.C.R. Bloom 2.5 Gallon,2.5 gallon,0.0,149.0,0,Hawthorne Hydoponics LLC,0.97,needs-review,Needs review: close alt 3281 (Δ=0.004),3281,Athena Bloom A 5 Gal,0.966,3282.0,Athena Bloom B 5 Gal,0.966,manual-alt-stronger,token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9378 closer than best 0.9537; fuzzy ratio: best 0.5271317829457365 >= alt 0.5203252032520326,0.0040000000000000036,switch,switch,POS switched
hmh00170,flora-micro-16-oz,Flora Micro 16 oz,11.22,0.0,2900.0,Physan 20™ 16 oz,0.773,1.0,11.99,3154,Physan 20™ 16 oz,16 oz.,1.0,11.99,0,Sunlight Supply inc.,0.773,needs-review,Needs review: close alt 3154 (Δ=0.018),3154,ph up 16 oz,0.755,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.736,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0455 closer than best 0.0686; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,0.018000000000000016,switch,switch,POS switched
,gummibears-auto-seed-8pk,,,,3560.0,Facefat Strain Auto FEM,0.635,0.0,,356,Facefat Strain Auto FEM,8pk,0.0,,0,@Flowers-HEMP,0.635,needs-review,Verify vs alt 3563 (score 0.598),3563,Gummibears 41.2% Day-50/50-11G.,0.598,3579.0,AUTO GMO Auto,0.545,manual-alt-stronger,token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: alt 0.3529411764705882 > best 0.2954545454545454,0.03700000000000003,keep,keep,kept original
hmh01395,herculean-harvest-gallon,Herculean Harvest Gallon,36.0,0.0,2358.0,Herculean Harvest Gal,0.761,4.0,38.99,2358,Herculean Harvest Gal,1 Gal,4.0,38.99,0,Nickel City Wholesale Garden Supply,0.761,needs-review,auto-resolved: price proximity,2359,Herculean Harvest 2.5Gal,0.748,1366.0,Neptune's Fish  2 - 4 -1,0.705,manual-review,Needs human confirmation,0.013000000000000012,keep,keep,kept original
hmh00387,hydro-deuce-16-oz,Hydro-Deuce 16 oz,12.62,0.0,3154.0,ph up 16 oz,0.844,0.0,11.73,29,ph up 16 oz,16 oz,0.0,11.73,0,Nickel City Wholesale Garden Supply,0.844,needs-review,Needs review: close alt 2900 (Δ=0.004),29,Physan 20™ 16 oz,0.84,3229.0,Orca® Liquid Mycorrhizae 16 oz.,0.726,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0499 closer than best 0.0705; fuzzy ratio: best 0.4081632653061224 >= alt 0.4,0.0040000000000000036,switch,switch,POS switched
hmh01608,hydrodynamics-ionic-grow-3-1-5-premium-plant-nutrient-2-5-gallon,HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient 2.5 gallon,100.0,0.0,2449.0,Ionic Grow Gal. 3-1-5,0.709,15.0,56.1,2449,Ionic Grow Gal. 3-1-5,1 Gal,15.0,56.1,0,Nickel City Wholesale Garden Supply,0.709,needs-review,auto-resolved: stronger numeric overlap,3357,Ionic PK Boost 2.5 Gallon,0.691,2225.0,Ionic Siol Bloom 5 gallon,0.674,manual-review,Needs human confirmation,0.018000000000000016,keep,keep,kept original
hmh00346,mayan-microzyme1-gal,Mayan Microzyme1 gal,250.0,0.0,3411.0,Athena I.P.M. /5 Gal,0.714,0.0,425.0,3411,Athena I.P.M. /5 Gal,5 gal,0.0,425.0,0,Athena,0.714,needs-review,auto-resolved: price proximity,3138,Athena Grow A 4-0-1 Gal.,0.705,3139.0,Athena Grow B 1-3-5 Gal.,0.705,manual-review,Needs human confirmation,0.009000000000000008,keep,keep,kept original
hmh01493,ona-pro-gel-pail-1-gal,Ona Pro Gel Pail (1 Gal),39.95,0.0,2164.0,Ona Pro Gel Gal,1.442,-4.0,39.05,2164,Ona Pro Gel Gal,1 Gal,-4.0,39.05,0,NGW,1.442,needs-review,Needs review: close alt 1909 (Δ=0.002),1909,ONA Pro Gel Pail Gal,1.44,1862.0,Ona Fresh Linen Gel Pail,1.203,manual-alt-stronger,token overlap: alt 5.0 > best 4; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0225 <= alt 0.0225; fuzzy ratio: best 0.6050420168067226 >= alt 0.5645161290322581,0.0020000000000000018,keep,keep,kept original
hmh00976,ph-probe-electrode-3-lead-wire,pH probe electrode 3' lead wire,65.95,0.0,1950.0,pH-3 Replacement Probe,0.821,6.0,34.16,195,pH-3 Replacement Probe,1 Pc,6.0,34.16,0,Nickel City Wholesale Garden Supply,0.821,needs-review,Needs review: close alt 1510 (Δ=0.026),151,Replacement Probe for pH-3,0.795,1048.0,CW-503 pH-3 Handheld Meter,0.576,manual-alt-stronger,token overlap: best 2 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.4820 <= alt 0.4820; fuzzy ratio: alt 0.3850931677018633 > best 0.3660130718954248,0.025999999999999912,keep,keep,kept original
hmh01685,plagron-cocos-a-5-liter,Plagron Cocos A 5 liter,52.5,0.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.553,3.0,113.2,2207,Plagron Cocos A 0-4-2 /10 liter,2.5 liter,3.0,113.2,0,Phive8,1.553,needs-review,Needs review: close alt 2207 (Δ=0.014),2207,Plagron Cocos B 0-4-2 /10 liter,1.538,3001.0,Plagron Cocos A 5L,1.444,manual-alt-stronger,token overlap: best 3 >= alt 3.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 1.1524 closer than best 1.1562; fuzzy ratio: best 0.6052631578947368 >= alt 0.5789473684210527,0.014999999999999902,switch,switch,POS switched
hmh01684,plagron-cocos-a-liter,Plagron Cocos A liter,14.0,0.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.349,3.0,113.2,2207,Plagron Cocos A 0-4-2 /10 liter,2.5 liter,3.0,113.2,0,Phive8,1.349,needs-review,Needs review: close alt 2207 (Δ=0.015),2207,Plagron Cocos B 0-4-2 /10 liter,1.334,3001.0,Plagron Cocos A 5L,1.209,manual-alt-stronger,token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 7.0714 closer than best 7.0857; fuzzy ratio: best 0.6351351351351351 >= alt 0.6081081081081081,0.014999999999999902,switch,switch,POS switched
hmh01690,plagron-hydro-a-5-liter,Plagron Hydro A  5 Liter,57.5,0.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,0.995,3.0,113.2,2207,Plagron Cocos A 0-4-2 /10 liter,2.5 liter,3.0,113.2,0,Phive8,0.995,needs-review,Needs review: close alt 2207 (Δ=0.014),2207,Plagron Cocos B 0-4-2 /10 liter,0.981,3001.0,Plagron Cocos A 5L,0.917,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9652 closer than best 0.9687; fuzzy ratio: best 0.5 >= alt 0.4736842105263157,0.014000000000000012,switch,switch,POS switched
hmh00971,ppm-1500-tds-2-142-ms-16-oz,PPM-1500 TDS / 2.142 ms 16 oz,12.5,0.0,304.0,1500 PPM Calibration Sol. 8oz,0.68,3.0,8.02,304,1500 PPM Calibration Sol. 8oz,8 Oz,3.0,8.02,0,Nickel City Wholesale Garden Supply,0.68,needs-review,Needs review: close alt 1213 (Δ=0.031),1213,Genesis 1413 TDS Solution 16oz,0.648,2900.0,Physan 20™ 16 oz,0.617,manual-alt-stronger,token overlap: best 3 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.3000 closer than best 0.3584; fuzzy ratio: best 0.238095238095238 >= alt 0.2328767123287671,0.03200000000000003,keep,keep,kept original
hmh00970,ppm-1500-tds-2-142-ms-8-oz,PPM-1500 TDS / 2.142 ms 8 oz,8.75,0.0,304.0,1500 PPM Calibration Sol. 8oz,0.655,3.0,8.02,304,1500 PPM Calibration Sol. 8oz,8 Oz,3.0,8.02,0,Nickel City Wholesale Garden Supply,0.655,needs-review,auto-resolved: stronger numeric overlap,1212,Genesis 1413 TDS Solution 8oz,0.636,3430.0,Terp Lock  62% 1/8 oz.,0.621,manual-review,Needs human confirmation,0.019000000000000017,keep,keep,kept original
hmh00861,pulse-start-m-h-600w-10000k-for-final-flowering,"Pulse Start M.H.600W. 10,000K for Final Flowering",79.95,0.0,1484.0,"Pulse Start 400w MH 10,000k",1.096,32.0,58.6,149,"Pulse Start 400w MH 10,000k",1 Box,32.0,58.6,0,Nickel City Wholesale Garden Supply,1.096,needs-review,Needs review: close alt 1490 (Δ=0.002),149,"Pulse Start 1000w MH 10,000k",1.093,1486.0,Pulse Start 600w MH 3000k,0.655,manual-alt-stronger,token overlap: best 5 >= alt 5.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.2220 closer than best 0.2670; fuzzy ratio: best 0.4558139534883721 >= alt 0.4516129032258064,0.0030000000000001137,switch,switch,POS switched
hmh00856,pulse-start-metal-halide-7000k-for-vegative-growth,"Pulse Start Metal Halide 7,000K for Vegative Growth",59.95,0.0,1485.0,Pulse Start 600w MH 7000k,0.667,4.0,78.15,1488,Pulse Start 600w MH 7000k,1 Box,4.0,78.15,0,Nickel City Wholesale Garden Supply,0.667,needs-review,auto-resolved: price proximity,1488,Pulse Start 1000w MH 7000k,0.663,2658.0,e-Start Metal Halide 1000 watt,0.654,manual-review,Needs human confirmation,0.0040000000000000036,switch,switch,POS switched
,self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",25.13,0.0,2876.0,Square Plastic Pot Black 4 in,0.632,10.0,0.28,2876,Square Plastic Pot Black 4 in,"4""",10.0,0.28,0,Sunlight Supply inc.,0.632,needs-review,auto-resolved: text similarity,1188,"Cow Pot 4""  /12 per",0.619,3422.0,"1/4"" TUBING BARBED tee (100/pk)",0.599,manual-review,Needs human confirmation,0.013000000000000012,keep,keep,kept original
,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,,,,3257.0,"G.M.O. Auto ""OG""",0.69,0.0,50.0,3257,"G.M.O. Auto ""OG""",8 pk,0.0,50.0,0,@Flowers-HEMP,0.69,needs-review,Needs review: close alt 3571 (Δ=0.022),3571,GELATO #41 @Flowers 32%,0.668,3535.0,Gelato #41 Simi FullTerm 11 G.,0.531,manual-alt-stronger,token overlap: alt 3.0 > best 2; number overlap: alt 1.0 > best 0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: best 0.4166666666666667 >= alt 0.4158415841584158,0.02199999999999991,keep,keep,kept original
hmh00036,subculture-b-200gm-bag,SubCulture B 200gm. Bag,41.95,0.0,374.0,SubCulture B 75g.,0.675,0.0,18.95,375,SubCulture B 75g.,,0.0,18.95,0,Sunlight Supply inc.,0.675,needs-review,Needs review: close alt 375 (Δ=0.000),375,SubCulture M 75g,0.675,2666.0,SubCulture-B 75 Gram,0.567,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.5476 closer than best 0.5483; fuzzy ratio: best 0.5 >= alt 0.5,0.0,switch,switch,POS switched
hmh01704,sunblaster-125w-cf-2500k-2,Sunblaster 125W CF 2500k,59.95,0.0,1735.0,Sunblaster CFL 125w 2500k,0.683,2.0,56.71,1735,Sunblaster CFL 125w 2500k,1 Box,2.0,56.71,0,Nickel City Wholesale Garden Supply,0.683,needs-review,auto-resolved: price proximity,3076,SunBlaster 10K 2ft. lamp,0.675,1898.0,Sunblaster 2' Reflector,0.664,manual-review,Needs human confirmation,0.008000000000000007,keep,keep,kept original
