Product Title,SKU,Price,Handle,Product URL
TRIMPRO XL replacement bag,hmh00764,$155.00,trimpro-xl-replacement-bag,https://h-moon-hydro.myshopify.com/products/trimpro-xl-replacement-bag
Ultragrow A/C 6 in. with saftey glass & socket set w/ 15 ft cord,hmh00520,$75.00,ultragrow-a-c-6-in-with-saftey-glass-socket-set-w-15-ft-cord,https://h-moon-hydro.myshopify.com/products/ultragrow-a-c-6-in-with-saftey-glass-socket-set-w-15-ft-cord
TRIMBOX replacement bag,hmh00761,$39.00,trimbox-replacement-bag,https://h-moon-hydro.myshopify.com/products/trimbox-replacement-bag
Ultra-premium Connoisseur Part-A (1 lt),hmh01065,$39.50,ultra-premium-connoisseur-part-a-1-lt,https://h-moon-hydro.myshopify.com/products/ultra-premium-connoisseur-part-a-1-lt
Winter Frost Gallon,hmh01476,$130.00,winter-frost-gallon,https://h-moon-hydro.myshopify.com/products/winter-frost-gallon
"UNO-2 Speed 4"" in line Blower 190 cfm",hmh01584,$39.95,uno-2-speed-4-in-line-blower-190-cfm,https://h-moon-hydro.myshopify.com/products/uno-2-speed-4-in-line-blower-190-cfm
"UNO 4' x 8 ' (48"" X 96"" X 78"") Grow Tent",hmh01382,$299.00,uno-4-x-8-48-x-96-x-78-grow-tent,https://h-moon-hydro.myshopify.com/products/uno-4-x-8-48-x-96-x-78-grow-tent
WaterFarm Growing chamber - 2 gal,hmh00504,$12.99,waterfarm-growing-chamber-2-gal,https://h-moon-hydro.myshopify.com/products/waterfarm-growing-chamber-2-gal
Trolley wheel replacement kit,hmh00907,$4.50,trolley-wheel-replacement-kit,https://h-moon-hydro.myshopify.com/products/trolley-wheel-replacement-kit
Turtle Taffy Auto – Seed 8pk,,$50.00,turtle-taffy-auto-seed-8pk,https://h-moon-hydro.myshopify.com/products/turtle-taffy-auto-seed-8pk
,,$0.00,turtle-taffy-auto-seed-8pk,https://h-moon-hydro.myshopify.com/products/turtle-taffy-auto-seed-8pk
TWO WAY SPLITTER 3/8 in.,hmh00950,$6.25,two-way-splitter-3-8-in,https://h-moon-hydro.myshopify.com/products/two-way-splitter-3-8-in
White Widow Auto – Seed -8 Pack,,$50.00,white-widow-auto-seed-8-pack,https://h-moon-hydro.myshopify.com/products/white-widow-auto-seed-8-pack
,,$0.00,white-widow-auto-seed-8-pack,https://h-moon-hydro.myshopify.com/products/white-widow-auto-seed-8-pack
Ultra-premium Connoisseur Part-B (1 gal),hmh01068,$95.00,ultra-premium-connoisseur-part-b-1-gal,https://h-moon-hydro.myshopify.com/products/ultra-premium-connoisseur-part-b-1-gal
UNO Single Mechanical Timer,hmh01321,$10.99,uno-single-mechanical-timer,https://h-moon-hydro.myshopify.com/products/uno-single-mechanical-timer
Vitamino Amino Acid Supplement Quart,hmh01363,$30.59,vitamino-amino-acid-supplement-quart,https://h-moon-hydro.myshopify.com/products/vitamino-amino-acid-supplement-quart
VooDoo Juice Root Booster (1 gal),hmh01071,$330.00,voodoo-juice-root-booster-1-gal,https://h-moon-hydro.myshopify.com/products/voodoo-juice-root-booster-1-gal
VooDoo Juice Root Booster (1 lt),hmh01070,$107.04,voodoo-juice-root-booster-1-lt,https://h-moon-hydro.myshopify.com/products/voodoo-juice-root-booster-1-lt
"TRIMPRO ROTOR - grate size 1/4""",hmh00765,$1795.00,trimpro-rotor-grate-size-1-4,https://h-moon-hydro.myshopify.com/products/trimpro-rotor-grate-size-1-4
"Vortex 12 in., 1140 cfm",hmh00777,$412.95,vortex-12-in-1140-cfm,https://h-moon-hydro.myshopify.com/products/vortex-12-in-1140-cfm
WaterFarm Reservoir - 4 gal,hmh00503,$20.00,waterfarm-reservoir-4-gal,https://h-moon-hydro.myshopify.com/products/waterfarm-reservoir-4-gal
TRIMPRO Workstation grate mixed,hmh00755,$439.00,trimpro-workstation-grate-mixed,https://h-moon-hydro.myshopify.com/products/trimpro-workstation-grate-mixed
TRIMBOX Workstation STAND ONLY,hmh00759,$395.00,trimbox-workstation-stand-only,https://h-moon-hydro.myshopify.com/products/trimbox-workstation-stand-only
The Root Pouch 30 Gallon w/ Handle,hmh01136,$15.95,the-root-pouch-30-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-30-gallon-w-handle
White Rhino (Feminised) Afghan x Brazilian x South Indian-5 seed,,$45.00,white-rhino-feminised-afghan-x-brazilian-x-south-indian-5-seed,https://h-moon-hydro.myshopify.com/products/white-rhino-feminised-afghan-x-brazilian-x-south-indian-5-seed
UNION CONNECTOR 1/4 in.,hmh00951,$4.75,union-connector-1-4-in,https://h-moon-hydro.myshopify.com/products/union-connector-1-4-in
Verde Growth Catalyst 1 gal,hmh00415,$80.00,verde-growth-catalyst-1-gal,https://h-moon-hydro.myshopify.com/products/verde-growth-catalyst-1-gal
VooDoo Juice Root Booster (500 ml),hmh01069,$66.90,voodoo-juice-root-booster-500-ml,https://h-moon-hydro.myshopify.com/products/voodoo-juice-root-booster-500-ml
White Widow Auto (Feminised) White Widow x Ruderalis-5 Seed,,$45.00,white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,https://h-moon-hydro.myshopify.com/products/white-widow-auto-feminised-white-widow-x-ruderalis-5-seed
,,$0.00,white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,https://h-moon-hydro.myshopify.com/products/white-widow-auto-feminised-white-widow-x-ruderalis-5-seed
"TRIMPRO replacement grate original 1/4""",hmh00753,$260.00,trimpro-replacement-grate-original-1-4,https://h-moon-hydro.myshopify.com/products/trimpro-replacement-grate-original-1-4
TRIMPRO ROTOR replacement motor,hmh00769,$395.00,trimpro-rotor-replacement-motor,https://h-moon-hydro.myshopify.com/products/trimpro-rotor-replacement-motor
Wonder Pie (Feminised) Wedding Cake x OG Kush/ 5 Seed,,$50.00,4of32-wonder-pie-feminised-wedding-cake-x-og-kush-5-seed,https://h-moon-hydro.myshopify.com/products/4of32-wonder-pie-feminised-wedding-cake-x-og-kush-5-seed
"Vortex 4 in., 172 cfm",hmh00774,$168.95,vortex-4-in-172-cfm,https://h-moon-hydro.myshopify.com/products/vortex-4-in-172-cfm
TRIMPRO ROTOR Work Station w/ Rotor,hmh00766,$2050.00,trimpro-rotor-work-station-w-rotor,https://h-moon-hydro.myshopify.com/products/trimpro-rotor-work-station-w-rotor
"UNO 8"" Big Boy A/C Reflector",hmh01268,$89.99,uno-8-big-boy-a-c-reflector,https://h-moon-hydro.myshopify.com/products/uno-8-big-boy-a-c-reflector
,,$0.00,uno-8-big-boy-a-c-reflector,https://h-moon-hydro.myshopify.com/products/uno-8-big-boy-a-c-reflector
"Vortex 8 in., 747 cfm",hmh00776,$270.95,vortex-8-in-747-cfm,https://h-moon-hydro.myshopify.com/products/vortex-8-in-747-cfm
Trolley Slave,hmh00909,$23.95,trolley-slave,https://h-moon-hydro.myshopify.com/products/trolley-slave
UNION CONNECTOR 3/8 in.,hmh00949,$5.00,union-connector-3-8-in,https://h-moon-hydro.myshopify.com/products/union-connector-3-8-in
TRIMPRO replacement grate mixed,hmh00752,$177.00,trimpro-replacement-grate-mixed,https://h-moon-hydro.myshopify.com/products/trimpro-replacement-grate-mixed
"UNO 2' x 4' (48"" X 24"" X 60"") Grow Tent",hmh01381,$140.00,uno-2-x-4-48-x-24-x-60-grow-tent,https://h-moon-hydro.myshopify.com/products/uno-2-x-4-48-x-24-x-60-grow-tent
Winter Frost 2.5 Gallon,hmh01477,$265.00,winter-frost-2-5-gallon,https://h-moon-hydro.myshopify.com/products/winter-frost-2-5-gallon
The Root Pouch 2 Gallon,hmh01128,$1.41,the-root-pouch-2-gallon,https://h-moon-hydro.myshopify.com/products/the-root-pouch-2-gallon
Ton O Bud 500 gm,hmh00337,$139.00,ton-o-bud-500-gm,https://h-moon-hydro.myshopify.com/products/ton-o-bud-500-gm
The Root Pouch 3 Gallon,hmh01129,$1.94,the-root-pouch-3-gallon,https://h-moon-hydro.myshopify.com/products/the-root-pouch-3-gallon
Timer / frequency & duration (no photo eye),hmh00930,$220.00,timer-frequency-duration-no-photo-eye,https://h-moon-hydro.myshopify.com/products/timer-frequency-duration-no-photo-eye
The Root Pouch 15 gallon w/ Handle,hmh01133,$8.79,the-root-pouch-15-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-15-gallon-w-handle
The Root Pouch 10 Gallon,hmh01132,$4.69,the-root-pouch-10-gallon,https://h-moon-hydro.myshopify.com/products/the-root-pouch-10-gallon
Ton O Bud 100 gm,hmh00336,$24.95,ton-o-bud-100-gm,https://h-moon-hydro.myshopify.com/products/ton-o-bud-100-gm
Ton O Bud 1 kg,hmh00338,$151.99,ton-o-bud-1-kg,https://h-moon-hydro.myshopify.com/products/ton-o-bud-1-kg
TNC 1/4 hp / 1250 gph,hmh00913,$244.50,tnc-1-4-hp-1250-gph,https://h-moon-hydro.myshopify.com/products/tnc-1-4-hp-1250-gph
The Root Pouch 35 Gallon w/ Handle,hmh01137,$25.71,the-root-pouch-35-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-35-gallon-w-handle
TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,,$24.95,teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,https://h-moon-hydro.myshopify.com/products/teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae
TimeMist Plus Programmable Dispenser,hmh00558,$74.95,timemist-plus-programmable-dispenser-2,https://h-moon-hydro.myshopify.com/products/timemist-plus-programmable-dispenser-2
The Root Pouch 45 Gallon w/ Handle,hmh01138,$28.26,the-root-pouch-45-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-45-gallon-w-handle
TRIMBOX,hmh00758,$895.00,trimbox,https://h-moon-hydro.myshopify.com/products/trimbox
Tiger Bloom Liquid Plant Food (1 gal),hmh01092,$66.95,tiger-bloom-liquid-plant-food-1-gal,https://h-moon-hydro.myshopify.com/products/tiger-bloom-liquid-plant-food-1-gal
The Root Pouch 100 Gallon w/ Handle,hmh01140,$36.33,the-root-pouch-100-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-100-gallon-w-handle
TRIMBOX replacement grate,hmh00762,$48.00,trimbox-replacement-grate,https://h-moon-hydro.myshopify.com/products/trimbox-replacement-grate
The Root Pouch 7 Gallon,hmh01131,$3.59,the-root-pouch-7-gallon,https://h-moon-hydro.myshopify.com/products/the-root-pouch-7-gallon
TimeMist Purge I - 3.2 oz,hmh00559,$15.95,timemist-purge-i-3-2-oz,https://h-moon-hydro.myshopify.com/products/timemist-purge-i-3-2-oz
The Hammer 100 gm,hmh00340,$169.95,the-hammer-100-gm,https://h-moon-hydro.myshopify.com/products/the-hammer-100-gm
TDS Monitor DM-2 Industrial Dual TDS Monitor,hmh00582,$75.00,tds-monitor-dm-2-industrial-dual-tds-monitor,https://h-moon-hydro.myshopify.com/products/tds-monitor-dm-2-industrial-dual-tds-monitor
Timer/frequency& duration / photo-eye,hmh00931,$305.00,timer-frequency-duration-photo-eye,https://h-moon-hydro.myshopify.com/products/timer-frequency-duration-photo-eye
"The Ozone Generator 5,000 cu.ft.",hmh01785,$120.00,the-ozone-generator,https://h-moon-hydro.myshopify.com/products/the-ozone-generator
The Root Pouch 20 Gallon w/ Handle,hmh01134,$13.01,the-root-pouch-20-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-20-gallon-w-handle
The Root Pouch 65 Gallon w/ Handle,hmh01139,$30.20,the-root-pouch-65-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-65-gallon-w-handle
The Hammer 20 gm,hmh00339,$41.01,the-hammer-20-gm,https://h-moon-hydro.myshopify.com/products/the-hammer-20-gm
Tiger Bloom Liquid Plant Food (1 qt),hmh01091,$21.95,tiger-bloom-liquid-plant-food-1-qt,https://h-moon-hydro.myshopify.com/products/tiger-bloom-liquid-plant-food-1-qt
The Root Pouch 25 Gallon w/ Handle,hmh01135,$14.80,the-root-pouch-25-gallon-w-handle,https://h-moon-hydro.myshopify.com/products/the-root-pouch-25-gallon-w-handle
Terpinator 0 - 0 - 4 Gallon,hmh01652,$66.95,terpinator-0-0-4-gallon,https://h-moon-hydro.myshopify.com/products/terpinator-0-0-4-gallon
Texas Controller 16 units,hmh00507,$258.15,texas-controller-16-units,https://h-moon-hydro.myshopify.com/products/texas-controller-16-units
TDS-3 Handheld Meter With Carrying Case,hmh00972,$39.95,tds-3-handheld-meter-with-carrying-case-2,https://h-moon-hydro.myshopify.com/products/tds-3-handheld-meter-with-carrying-case-2
The Root Pouch 1 Gallon,hmh01127,$1.00,the-root-pouch-1-gallon,https://h-moon-hydro.myshopify.com/products/the-root-pouch-1-gallon
The Rack- Collapsible Drying System,hmh00818,$29.95,the-rack-collapsible-drying-system-2,https://h-moon-hydro.myshopify.com/products/the-rack-collapsible-drying-system-2
Teaming with Microbes,hmh00001,$24.95,teaming-with-microbes,https://h-moon-hydro.myshopify.com/products/teaming-with-microbes
Teaming with Nutrients,,$24.95,teaming-with-nutrients,https://h-moon-hydro.myshopify.com/products/teaming-with-nutrients
Terpinator 0 - 0 - 4 Qt.,hmh01651,$19.95,terpinator-0-0-4-qt,https://h-moon-hydro.myshopify.com/products/terpinator-0-0-4-qt
"SolarMax 400W. MHT veg/Conversion w/32,000 Lumens",hmh00887,$39.00,solarmax-400w-mht-veg-conversion-w-32000-lumens,https://h-moon-hydro.myshopify.com/products/solarmax-400w-mht-veg-conversion-w-32000-lumens
Spray N Grow 16oz.,,$12.50,spray-n-grow-16oz,https://h-moon-hydro.myshopify.com/products/spray-n-grow-16oz
Super Lemon Haze x RS11 (Feminised) -5 Seed,,$70.00,super-lemon-haze-x-rs11-feminised-5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-x-rs11-feminised-5-seed
,,$0.00,super-lemon-haze-x-rs11-feminised-5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-x-rs11-feminised-5-seed
,,$0.00,super-lemon-haze-x-rs11-feminised-5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-x-rs11-feminised-5-seed
Summer 2.5 Gallon,hmh01469,$110.74,summer-2-5-gallon,https://h-moon-hydro.myshopify.com/products/summer-2-5-gallon
Tarantula Beneficial Bacteria (130 g),hmh01064,$56.82,tarantula-beneficial-bacteria-130-g,https://h-moon-hydro.myshopify.com/products/tarantula-beneficial-bacteria-130-g
Suck it Up 4 liter,hmh00328,$75.91,suck-it-up-4-liter,https://h-moon-hydro.myshopify.com/products/suck-it-up-4-liter
Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze 5- Seed,,$50.00,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze-5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze-5-seed
Tall Boy De-Chlorinator & Sediment Filter,hmh00580,$115.00,tall-boy-de-chlorinator-sediment-filter,https://h-moon-hydro.myshopify.com/products/tall-boy-de-chlorinator-sediment-filter
"SolarMax 600W. HPS W/ 95,000 Lumens",hmh00885,$29.00,solarmax-600w-hps-w-95000-lumens,https://h-moon-hydro.myshopify.com/products/solarmax-600w-hps-w-95000-lumens
Spray-N-Grow Micronutrients 8 oz,,$11.99,spray-n-grow-micronutrients-8-oz,https://h-moon-hydro.myshopify.com/products/spray-n-grow-micronutrients-8-oz
Super Lemon Haze x GMO (Feminised) -5 Seed,,$70.00,super-lemon-haze-x-gmo-feminised-5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-x-gmo-feminised-5-seed
,,$0.00,super-lemon-haze-x-gmo-feminised-5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-x-gmo-feminised-5-seed
Small 5 Gallon Replacement Bag,hmh01529,$70.00,small-5-gallon-replacement-bag,https://h-moon-hydro.myshopify.com/products/small-5-gallon-replacement-bag
,,$0.00,small-5-gallon-replacement-bag,https://h-moon-hydro.myshopify.com/products/small-5-gallon-replacement-bag
,,$0.00,small-5-gallon-replacement-bag,https://h-moon-hydro.myshopify.com/products/small-5-gallon-replacement-bag
Tarantula Beneficial Bacteria (50 g),hmh01063,$32.48,tarantula-beneficial-bacteria-50-g,https://h-moon-hydro.myshopify.com/products/tarantula-beneficial-bacteria-50-g
SunSoaker Parabolic Reflector w/ Horizonal Socket bracket,hmh00513,$99.00,sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,https://h-moon-hydro.myshopify.com/products/sunsoaker-parabolic-reflector-w-horizonal-socket-bracket
Spin Pro Wire Replacments,,$17.95,spin-pro-wire-replacments,https://h-moon-hydro.myshopify.com/products/spin-pro-wire-replacments
,,$0.00,spin-pro-wire-replacments,https://h-moon-hydro.myshopify.com/products/spin-pro-wire-replacments
Super Bud (Feminised) Big Bud x Skunk Photo. 5 Seed,,$40.00,super-bud-feminised-big-bud-x-skunk-photo-5-seed,https://h-moon-hydro.myshopify.com/products/super-bud-feminised-big-bud-x-skunk-photo-5-seed
,,$0.00,super-bud-feminised-big-bud-x-skunk-photo-5-seed,https://h-moon-hydro.myshopify.com/products/super-bud-feminised-big-bud-x-skunk-photo-5-seed
"SolarMax 1000W. MHT veg/Conversion w/ 90,000 Lumens",hmh00889,$135.95,solarmax-1000w-mht-veg-conversion-w-90000-lumens,https://h-moon-hydro.myshopify.com/products/solarmax-1000w-mht-veg-conversion-w-90000-lumens
"SolarMax 1000W. HPS w/ 147,000 Lumens",hmh00886,$39.00,solarmax-1000w-hps-w-147000-lumens,https://h-moon-hydro.myshopify.com/products/solarmax-1000w-hps-w-147000-lumens
"SMMH1000WV SolarMax 1000W MHT Metal Hailde Veg. 85,000 Lumens",hmh00891,$123.95,smmh1000wv-solarmax-1000w-mht-metal-hailde-veg-85000-lumens,https://h-moon-hydro.myshopify.com/products/smmh1000wv-solarmax-1000w-mht-metal-hailde-veg-85000-lumens
TALL BOY BLUE CARBON REPLACEMENT FILTER,hmh00953,$31.00,tall-boy-blue-carbon-replacement-filter,https://h-moon-hydro.myshopify.com/products/tall-boy-blue-carbon-replacement-filter
Spring Gallon,hmh01463,$56.60,spring-gallon,https://h-moon-hydro.myshopify.com/products/spring-gallon
TALL BOY BLUE SEDIMENT REPLACEMENT,hmh00952,$14.00,tall-boy-blue-sediment-replacement,https://h-moon-hydro.myshopify.com/products/tall-boy-blue-sediment-replacement
Snapture Dovetail,hmh00849,$3.79,snapture-dovetail,https://h-moon-hydro.myshopify.com/products/snapture-dovetail
Skywalker Auto Skywalker OG x Gelato #41 Auto 5 seed,,$70.00,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,https://h-moon-hydro.myshopify.com/products/skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed
,,$0.00,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,https://h-moon-hydro.myshopify.com/products/skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed
Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze5 Seed,,$50.00,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed
,,$0.00,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,https://h-moon-hydro.myshopify.com/products/super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed
SunBlaster 25 watt green Visual lamp-standard socket,hmh01439,$9.88,sunblaster-25-watt-green-visual-lamp-standard-socket,https://h-moon-hydro.myshopify.com/products/sunblaster-25-watt-green-visual-lamp-standard-socket
Sunblaster 200W CF 6400k,hmh01705,$109.95,sunblaster-200w-cf-6400k-2,https://h-moon-hydro.myshopify.com/products/sunblaster-200w-cf-6400k-2
Suck it Up 500ml,hmh00326,$15.21,suck-it-up-500ml,https://h-moon-hydro.myshopify.com/products/suck-it-up-500ml
"SiLICIUM Bloom, liter",,$299.00,silicium-bloom,https://h-moon-hydro.myshopify.com/products/silicium-bloom
Super Bud Auto (Feminised) Super Bud x Ruderalis 5 Seed,,$40.00,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,https://h-moon-hydro.myshopify.com/products/super-bud-auto-feminised-super-bud-x-ruderalis-5-seed
,,$0.00,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,https://h-moon-hydro.myshopify.com/products/super-bud-auto-feminised-super-bud-x-ruderalis-5-seed
SubCulture M 200gm. Bag,hmh00037,$39.98,subculture-m-200gm-bag,https://h-moon-hydro.myshopify.com/products/subculture-m-200gm-bag
Spin Pro Manual Trimmer,hmh00770,$199.00,spin-pro-manual-trimmer,https://h-moon-hydro.myshopify.com/products/spin-pro-manual-trimmer
Stick Thrip Leafminer Trap 5/Pack,hmh01870,$6.49,stick-thrip-leafminer-trap-5-pack,https://h-moon-hydro.myshopify.com/products/stick-thrip-leafminer-trap-5-pack
Snapture Foot Base,hmh00848,$4.79,snapture-foot-base,https://h-moon-hydro.myshopify.com/products/snapture-foot-base
Spring 2.5 Gallon,hmh01464,$110.74,spring-2-5-gallon,https://h-moon-hydro.myshopify.com/products/spring-2-5-gallon
Sun System RS 1850 LED,,$750.00,sun-system-rs-1850-led,https://h-moon-hydro.myshopify.com/products/sun-system-rs-1850-led
Skunk Auto (Feminised) Skunk x Ruderalis 5 Seed,,$40.00,skunk-auto-feminised-skunk-x-ruderalis-5-seed,https://h-moon-hydro.myshopify.com/products/skunk-auto-feminised-skunk-x-ruderalis-5-seed
,,$0.00,skunk-auto-feminised-skunk-x-ruderalis-5-seed,https://h-moon-hydro.myshopify.com/products/skunk-auto-feminised-skunk-x-ruderalis-5-seed
SubCulture B 200gm. Bag,hmh00036,$41.95,subculture-b-200gm-bag,https://h-moon-hydro.myshopify.com/products/subculture-b-200gm-bag
SiLICIUM mono si 500 ml,,$199.00,silicium-mono-si-500-ml,https://h-moon-hydro.myshopify.com/products/silicium-mono-si-500-ml
,,$0.00,silicium-mono-si-500-ml,https://h-moon-hydro.myshopify.com/products/silicium-mono-si-500-ml
Sensizym (1 lt),hmh01060,$35.68,sensizym-1-lt,https://h-moon-hydro.myshopify.com/products/sensizym-1-lt
Sensizym (2.5 gal),hmh01062,$243.80,sensizym-2-5-gal,https://h-moon-hydro.myshopify.com/products/sensizym-2-5-gal
Snapture Cross Fitting,hmh00850,$4.79,snapture-cross-fitting,https://h-moon-hydro.myshopify.com/products/snapture-cross-fitting
Standard Black Bucket lid,hmh01759,$1.98,standard-black-bucket-lid,https://h-moon-hydro.myshopify.com/products/standard-black-bucket-lid
Suck it Up 1 liter,hmh00327,$26.15,suck-it-up-1-liter,https://h-moon-hydro.myshopify.com/products/suck-it-up-1-liter
SMALL BOY CARBON REPLACEMENT FILTER,hmh00955,$14.00,small-boy-carbon-replacement-filter,https://h-moon-hydro.myshopify.com/products/small-boy-carbon-replacement-filter
T5 CFL 2' Plantmax Day 24W. 6500K tube 2520 lumens,hmh00881,$8.95,t5-cfl-2-plantmax-day-24w-6500k-tube-2520-lumens,https://h-moon-hydro.myshopify.com/products/t5-cfl-2-plantmax-day-24w-6500k-tube-2520-lumens
STEALTH RO 100/200 SEDIMENT FILTER,hmh00956,$14.50,stealth-ro-100-200-sediment-filter,https://h-moon-hydro.myshopify.com/products/stealth-ro-100-200-sediment-filter
standard 3.5 gallon black bucket,hmh01757,$8.99,standard-3-5-gallon-black-bucket,https://h-moon-hydro.myshopify.com/products/standard-3-5-gallon-black-bucket
STEALTH RO 100/200 CARBON FILTER,hmh00957,$16.50,stealth-ro-100-200-carbon-filter,https://h-moon-hydro.myshopify.com/products/stealth-ro-100-200-carbon-filter
