handle,title,issue_type,severity,field,current_value,suggested_action
,"Can-Fan 10"" high output 781 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 10"" high output 781 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 12"" high output 971 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 12"" high output 971 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 12"" high output 971 CFM",missing_images,minor,images,,Add product images
,"Can-Fan 12"" high output 971 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 12"" high output 971 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",missing_handle,critical,handle,,Generate handle from title
,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",missing_images,minor,images,,Add product images
,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",missing_description,minor,description,,Add product description
,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",missing_handle,critical,handle,,Generate handle from title
,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",missing_images,minor,images,,Add product images
,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",missing_description,minor,description,,Add product description
,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Lite 14"" w/ Flange attached (2200 cfm)",missing_handle,critical,handle,,Generate handle from title
,"Can-Lite 14"" w/ Flange attached (2200 cfm)",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Lite 14"" w/ Flange attached (2200 cfm)",missing_images,minor,images,,Add product images
,"Can-Lite 14"" w/ Flange attached (2200 cfm)",missing_description,minor,description,,Add product description
,"Can-Lite 14"" w/ Flange attached (2200 cfm)",missing_sku,info,sku,,Will be auto-generated if needed
(empty),Can-Lite Filters,missing_handle,critical,handle,,Generate handle from title
,Can-Lite Filters,missing_price,major,price,,Add price from inventory or set draft status
,Can-Lite Filters,missing_images,minor,images,,Add product images
,Can-Lite Filters,missing_description,minor,description,,Add product description
,Can-Lite Filters,missing_sku,info,sku,,Will be auto-generated if needed
(empty),Hurricane Inline Fan,missing_handle,critical,handle,,Generate handle from title
,Hurricane Inline Fan,missing_price,major,price,,Add price from inventory or set draft status
,Hurricane Inline Fan,missing_images,minor,images,,Add product images
,Hurricane Inline Fan,missing_description,minor,description,,Add product description
,Hurricane Inline Fan,missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Hurricane Inline Fan 6""",missing_handle,critical,handle,,Generate handle from title
,"Hurricane Inline Fan 6""",missing_price,major,price,,Add price from inventory or set draft status
,"Hurricane Inline Fan 6""",missing_images,minor,images,,Add product images
,"Hurricane Inline Fan 6""",missing_description,minor,description,,Add product description
,"Hurricane Inline Fan 6""",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Hurricane Inline Fan 8""",missing_handle,critical,handle,,Generate handle from title
,"Hurricane Inline Fan 8""",missing_price,major,price,,Add price from inventory or set draft status
,"Hurricane Inline Fan 8""",missing_images,minor,images,,Add product images
,"Hurricane Inline Fan 8""",missing_description,minor,description,,Add product description
,"Hurricane Inline Fan 8""",missing_sku,info,sku,,Will be auto-generated if needed
(empty),JetFan Blower 12 in. @1140 cfm,missing_handle,critical,handle,,Generate handle from title
,JetFan Blower 12 in. @1140 cfm,missing_price,major,price,,Add price from inventory or set draft status
,JetFan Blower 12 in. @1140 cfm,missing_images,minor,images,,Add product images
,JetFan Blower 12 in. @1140 cfm,missing_description,minor,description,,Add product description
,JetFan Blower 12 in. @1140 cfm,missing_sku,info,sku,,Will be auto-generated if needed
(empty),PROfilter reversible carbon filters,missing_handle,critical,handle,,Generate handle from title
,PROfilter reversible carbon filters,missing_price,major,price,,Add price from inventory or set draft status
,PROfilter reversible carbon filters,missing_images,minor,images,,Add product images
,PROfilter reversible carbon filters,missing_description,minor,description,,Add product description
,PROfilter reversible carbon filters,missing_sku,info,sku,,Will be auto-generated if needed
(empty),STEALTH RO 100/200 CARBON FILTER,missing_handle,critical,handle,,Generate handle from title
,STEALTH RO 100/200 CARBON FILTER,missing_price,major,price,,Add price from inventory or set draft status
,STEALTH RO 100/200 CARBON FILTER,missing_images,minor,images,,Add product images
,STEALTH RO 100/200 CARBON FILTER,missing_description,minor,description,,Add product description
,STEALTH RO 100/200 CARBON FILTER,missing_sku,info,sku,,Will be auto-generated if needed
(empty),Thermostatically Controlled Centrifugal Fans,missing_handle,critical,handle,,Generate handle from title
,Thermostatically Controlled Centrifugal Fans,missing_price,major,price,,Add price from inventory or set draft status
,Thermostatically Controlled Centrifugal Fans,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
,Thermostatically Controlled Centrifugal Fans,missing_images,minor,images,,Add product images
,Thermostatically Controlled Centrifugal Fans,missing_description,minor,description,,Add product description
,Thermostatically Controlled Centrifugal Fans,missing_sku,info,sku,,Will be auto-generated if needed
teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,missing_description,minor,description,,Add product description
teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,missing_sku,info,sku,,Will be auto-generated if needed
teaming-with-microbes,Teaming with Microbes,missing_description,minor,description,,Add product description
rosin-pro-press-co-manual-2,ROSIN PRO PRESS CO. Manual,missing_images,minor,images,,Add product images
rosin-pro-press-co-manual-2,ROSIN PRO PRESS CO. Manual,missing_description,minor,description,,Add product description
"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative",missing_price,major,price,,Add price from inventory or set draft status
"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative",missing_images,minor,images,,Add product images
"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative",missing_sku,info,sku,,Will be auto-generated if needed
cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,missing_description,minor,description,,Add product description
cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,missing_sku,info,sku,,Will be auto-generated if needed
1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat,missing_price,major,price,,Add price from inventory or set draft status
1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat,missing_images,minor,images,,Add product images
1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat,missing_sku,info,sku,,Will be auto-generated if needed
uno-gen-1-elp-propane,UNO GEN-1 elp Propane,missing_description,minor,description,,Add product description
uno-gen-2eng,UNO GEN-2eNG,missing_description,minor,description,,Add product description
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,missing_description,minor,description,,Add product description
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,missing_description,minor,description,,Add product description
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,missing_sku,info,sku,,Will be auto-generated if needed
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,missing_images,minor,images,,Add product images
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,missing_description,minor,description,,Add product description
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-2-gallon,The Root Pouch 2 Gallon,missing_description,minor,description,,Add product description
the-root-pouch-2-gallon,The Root Pouch 2 Gallon,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-3-gallon,The Root Pouch 3 Gallon,missing_description,minor,description,,Add product description
the-root-pouch-3-gallon,The Root Pouch 3 Gallon,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-15-gallon-w-handle,The Root Pouch 15 gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-15-gallon-w-handle,The Root Pouch 15 gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-10-gallon,The Root Pouch 10 Gallon,missing_description,minor,description,,Add product description
the-root-pouch-10-gallon,The Root Pouch 10 Gallon,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-35-gallon-w-handle,The Root Pouch 35 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-35-gallon-w-handle,The Root Pouch 35 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-45-gallon-w-handle,The Root Pouch 45 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-45-gallon-w-handle,The Root Pouch 45 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-100-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-100-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-7-gallon,The Root Pouch 7 Gallon,missing_description,minor,description,,Add product description
the-root-pouch-7-gallon,The Root Pouch 7 Gallon,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-20-gallon-w-handle,The Root Pouch 20 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-20-gallon-w-handle,The Root Pouch 20 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-65-gallon-w-handle,The Root Pouch 65 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-65-gallon-w-handle,The Root Pouch 65 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-25-gallon-w-handle,The Root Pouch 25 Gallon w/ Handle,missing_description,minor,description,,Add product description
the-root-pouch-25-gallon-w-handle,The Root Pouch 25 Gallon w/ Handle,missing_sku,info,sku,,Will be auto-generated if needed
the-root-pouch-1-gallon,The Root Pouch 1 Gallon,missing_description,minor,description,,Add product description
the-root-pouch-1-gallon,The Root Pouch 1 Gallon,missing_sku,info,sku,,Will be auto-generated if needed
standard-black-bucket-lid,Standard Black Bucket lid,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
standard-black-bucket-lid,Standard Black Bucket lid,missing_images,minor,images,,Add product images
standard-black-bucket-lid,Standard Black Bucket lid,missing_description,minor,description,,Add product description
standard-black-bucket-lid,Standard Black Bucket lid,missing_sku,info,sku,,Will be auto-generated if needed
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,missing_images,minor,images,,Add product images
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,missing_description,minor,description,,Add product description
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,missing_sku,info,sku,,Will be auto-generated if needed
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,missing_images,minor,images,,Add product images
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,missing_description,minor,description,,Add product description
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,missing_sku,info,sku,,Will be auto-generated if needed
self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",missing_sku,info,sku,,Will be auto-generated if needed
mondi-super-saucer-14,"Mondi Super Saucer 14""",missing_description,minor,description,,Add product description
mondi-super-saucer-14,"Mondi Super Saucer 14""",missing_sku,info,sku,,Will be auto-generated if needed
mondi-super-saucer-12,"Mondi Super Saucer 12""",missing_description,minor,description,,Add product description
mondi-super-saucer-12,"Mondi Super Saucer 12""",missing_sku,info,sku,,Will be auto-generated if needed
mondi-super-saucer-10,"Mondi Super Saucer 10""",missing_description,minor,description,,Add product description
mondi-super-saucer-10,"Mondi Super Saucer 10""",missing_sku,info,sku,,Will be auto-generated if needed
gro-pro-12-air-pot,"GRO PRO 12"" AIR POT",missing_images,minor,images,,Add product images
gro-pro-12-air-pot,"GRO PRO 12"" AIR POT",missing_description,minor,description,,Add product description
gro-pro-12-air-pot,"GRO PRO 12"" AIR POT",missing_sku,info,sku,,Will be auto-generated if needed
f-h-d-super-saucer-8,"F.H.D. Super Saucer 8""",missing_description,minor,description,,Add product description
f-h-d-super-saucer-8,"F.H.D. Super Saucer 8""",missing_sku,info,sku,,Will be auto-generated if needed
cocotek-planter-14-in,CocoTek Planter 14 in.,missing_description,minor,description,,Add product description
cocotek-planter-14-in,CocoTek Planter 14 in.,missing_sku,info,sku,,Will be auto-generated if needed
ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",missing_description,minor,description,,Add product description
ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",missing_sku,info,sku,,Will be auto-generated if needed
6-net-pot,"6"" Net Pot",unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
6-net-pot,"6"" Net Pot",missing_images,minor,images,,Add product images
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),missing_description,minor,description,,Add product description
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),missing_sku,info,sku,,Will be auto-generated if needed
6-in-bucket-basket,6 in. Bucket Basket,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
6-in-bucket-basket,6 in. Bucket Basket,missing_description,minor,description,,Add product description
6-in-bucket-basket,6 in. Bucket Basket,missing_sku,info,sku,,Will be auto-generated if needed
5-net-pot,"5"" Net Pot",unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
5-net-pot,"5"" Net Pot",missing_images,minor,images,,Add product images
4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,missing_description,minor,description,,Add product description
4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,missing_sku,info,sku,,Will be auto-generated if needed
3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),missing_description,minor,description,,Add product description
3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),missing_sku,info,sku,,Will be auto-generated if needed
10-in-bucket-basket,10 in. Bucket Basket,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
10-in-bucket-basket,10 in. Bucket Basket,missing_description,minor,description,,Add product description
10-in-bucket-basket,10 in. Bucket Basket,missing_sku,info,sku,,Will be auto-generated if needed
1-1-4-reservoir-filter,"1 1/4"" reservoir filter",unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
1-1-4-reservoir-filter,"1 1/4"" reservoir filter",missing_description,minor,description,,Add product description
1-1-4-reservoir-filter,"1 1/4"" reservoir filter",missing_sku,info,sku,,Will be auto-generated if needed
tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,missing_description,minor,description,,Add product description
tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,missing_sku,info,sku,,Will be auto-generated if needed
uno-single-mechanical-timer,UNO Single Mechanical Timer,missing_images,minor,images,,Add product images
timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),missing_description,minor,description,,Add product description
timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),missing_sku,info,sku,,Will be auto-generated if needed
timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,missing_description,minor,description,,Add product description
timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,missing_sku,info,sku,,Will be auto-generated if needed
cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,missing_images,minor,images,,Add product images
cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,missing_description,minor,description,,Add product description
cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,missing_sku,info,sku,,Will be auto-generated if needed
24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,missing_images,minor,images,,Add product images
24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,missing_description,minor,description,,Add product description
24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,missing_sku,info,sku,,Will be auto-generated if needed
24-hour-clock-timers,24 Hour Clock Timers,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
24-hour-clock-timers,24 Hour Clock Timers,missing_images,minor,images,,Add product images
24-hour-clock-timers,24 Hour Clock Timers,missing_description,minor,description,,Add product description
24-hour-clock-timers,24 Hour Clock Timers,missing_sku,info,sku,,Will be auto-generated if needed
