Handle,Title,SKU,Price,Inventory_Qty,Status
ultra-premium-connoisseur-part-a-1-gal,Ultra-premium Connoisseur Part-A (1 gal),hmh01066,95.0,0,active
tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,hmh00634,132.0,0,active
trimpro-xl-replacement-bag,TRIMPRO XL replacement bag,hmh00764,155.0,0,active
ultragrow-a-c-6-in-with-saftey-glass-socket-set-w-15-ft-cord,Ultragrow A/C 6 in. with saftey glass & socket set w/ 15 ft cord,hmh00520,75.0,0,active
trimbox-replacement-bag,TRIMBOX replacement bag,hmh00761,39.0,0,active
ultra-premium-connoisseur-part-a-1-lt,Ultra-premium Connoisseur Part-A (1 lt),hmh01065,39.5,0,active
winter-frost-gallon,Winter Frost Gallon,hmh01476,130.0,0,active
uno-2-speed-4-in-line-blower-190-cfm,"UNO-2 Speed 4"" in line Blower 190 cfm",hmh01584,39.95,0,active
uno-4-x-8-48-x-96-x-78-grow-tent,"UNO 4' x 8 ' (48"" X 96"" X 78"") Grow Tent",hmh01382,299.0,0,active
waterfarm-growing-chamber-2-gal,WaterFarm Growing chamber - 2 gal,hmh00504,12.99,0,active
trolley-wheel-replacement-kit,Trolley wheel replacement kit,hmh00907,4.5,0,active
turtle-taffy-auto-seed-8pk,Turtle Taffy Auto – Seed 8pk,,50.0,0,active
turtle-taffy-auto-seed-8pk,,,0.0,0,
two-way-splitter-3-8-in,TWO WAY SPLITTER 3/8 in.,hmh00950,6.25,0,active
white-widow-auto-seed-8-pack,White Widow Auto – Seed -8 Pack,,50.0,0,active
white-widow-auto-seed-8-pack,,,0.0,0,
ultra-premium-connoisseur-part-b-1-gal,Ultra-premium Connoisseur Part-B (1 gal),hmh01068,95.0,0,active
uno-single-mechanical-timer,UNO Single Mechanical Timer,hmh01321,10.99,0,active
vitamino-amino-acid-supplement-quart,Vitamino Amino Acid Supplement Quart,hmh01363,30.59,0,active
voodoo-juice-root-booster-1-gal,VooDoo Juice Root Booster (1 gal),hmh01071,330.0,0,active
voodoo-juice-root-booster-1-lt,VooDoo Juice Root Booster (1 lt),hmh01070,107.04,0,active
trimpro-rotor-grate-size-1-4,"TRIMPRO ROTOR - grate size 1/4""",hmh00765,1795.0,0,active
vortex-12-in-1140-cfm,"Vortex 12 in., 1140 cfm",hmh00777,412.95,0,active
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,hmh00503,20.0,0,active
trimpro-workstation-grate-mixed,TRIMPRO Workstation grate mixed,hmh00755,439.0,0,active
trimbox-workstation-stand-only,TRIMBOX Workstation STAND ONLY,hmh00759,395.0,0,active
the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,hmh01136,15.95,0,active
white-rhino-feminised-afghan-x-brazilian-x-south-indian-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian-5 seed,,45.0,0,active
union-connector-1-4-in,UNION CONNECTOR 1/4 in.,hmh00951,4.75,0,active
verde-growth-catalyst-1-gal,Verde Growth Catalyst 1 gal,hmh00415,80.0,0,active
voodoo-juice-root-booster-500-ml,VooDoo Juice Root Booster (500 ml),hmh01069,66.9,0,active
white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,White Widow Auto (Feminised) White Widow x Ruderalis-5 Seed,,45.0,0,active
white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,,,0.0,0,
trimpro-replacement-grate-original-1-4,"TRIMPRO replacement grate original 1/4""",hmh00753,260.0,0,active
trimpro-rotor-replacement-motor,TRIMPRO ROTOR replacement motor,hmh00769,395.0,0,active
4of32-wonder-pie-feminised-wedding-cake-x-og-kush-5-seed,Wonder Pie (Feminised) Wedding Cake x OG Kush/ 5 Seed,,50.0,0,active
vortex-4-in-172-cfm,"Vortex 4 in., 172 cfm",hmh00774,168.95,0,active
trimpro-rotor-work-station-w-rotor,TRIMPRO ROTOR Work Station w/ Rotor,hmh00766,2050.0,0,active
uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",hmh01268,89.99,0,active
uno-8-big-boy-a-c-reflector,,,0.0,0,
vortex-8-in-747-cfm,"Vortex 8 in., 747 cfm",hmh00776,270.95,0,active
trolley-slave,Trolley Slave,hmh00909,23.95,0,active
union-connector-3-8-in,UNION CONNECTOR 3/8 in.,hmh00949,5.0,0,active
trimpro-replacement-grate-mixed,TRIMPRO replacement grate mixed,hmh00752,177.0,0,active
uno-2-x-4-48-x-24-x-60-grow-tent,"UNO 2' x 4' (48"" X 24"" X 60"") Grow Tent",hmh01381,140.0,0,active
winter-frost-2-5-gallon,Winter Frost 2.5 Gallon,hmh01477,265.0,0,active
the-root-pouch-2-gallon,The Root Pouch 2 Gallon,hmh01128,1.41,0,active
ton-o-bud-500-gm,Ton O Bud 500 gm,hmh00337,139.0,0,active
the-root-pouch-3-gallon,The Root Pouch 3 Gallon,hmh01129,1.94,0,active
timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),hmh00930,220.0,0,active
the-root-pouch-15-gallon-w-handle,The Root Pouch 15 gallon w/ Handle,hmh01133,8.79,0,active
the-root-pouch-10-gallon,The Root Pouch 10 Gallon,hmh01132,4.69,0,active
ton-o-bud-100-gm,Ton O Bud 100 gm,hmh00336,24.95,0,active
ton-o-bud-1-kg,Ton O Bud 1 kg,hmh00338,151.99,0,active
tnc-1-4-hp-1250-gph,TNC 1/4 hp / 1250 gph,hmh00913,244.5,0,active
the-root-pouch-35-gallon-w-handle,The Root Pouch 35 Gallon w/ Handle,hmh01137,25.71,0,active
teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,,24.95,0,active
timemist-plus-programmable-dispenser-2,TimeMist Plus Programmable Dispenser,hmh00558,74.95,0,active
the-root-pouch-45-gallon-w-handle,The Root Pouch 45 Gallon w/ Handle,hmh01138,28.26,0,active
trimbox,TRIMBOX,hmh00758,895.0,0,active
tiger-bloom-liquid-plant-food-1-gal,Tiger Bloom Liquid Plant Food (1 gal),hmh01092,66.95,0,active
the-root-pouch-100-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle,hmh01140,36.33,0,active
trimbox-replacement-grate,TRIMBOX replacement grate,hmh00762,48.0,0,active
the-root-pouch-7-gallon,The Root Pouch 7 Gallon,hmh01131,3.59,0,active
timemist-purge-i-3-2-oz,TimeMist Purge I - 3.2 oz,hmh00559,15.95,0,active
the-hammer-100-gm,The Hammer 100 gm,hmh00340,169.95,0,active
tds-monitor-dm-2-industrial-dual-tds-monitor,TDS Monitor DM-2 Industrial Dual TDS Monitor,hmh00582,75.0,0,active
timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,hmh00931,305.0,0,active
the-ozone-generator,"The Ozone Generator 5,000 cu.ft.",hmh01785,120.0,0,active
the-root-pouch-20-gallon-w-handle,The Root Pouch 20 Gallon w/ Handle,hmh01134,13.01,0,active
the-root-pouch-65-gallon-w-handle,The Root Pouch 65 Gallon w/ Handle,hmh01139,30.2,0,active
the-hammer-20-gm,The Hammer 20 gm,hmh00339,41.01,0,active
tiger-bloom-liquid-plant-food-1-qt,Tiger Bloom Liquid Plant Food (1 qt),hmh01091,21.95,0,active
the-root-pouch-25-gallon-w-handle,The Root Pouch 25 Gallon w/ Handle,hmh01135,14.8,0,active
terpinator-0-0-4-gallon,Terpinator 0 - 0 - 4 Gallon,hmh01652,66.95,0,active
texas-controller-16-units,Texas Controller 16 units,hmh00507,258.15,0,active
tds-3-handheld-meter-with-carrying-case-2,TDS-3 Handheld Meter With Carrying Case,hmh00972,39.95,0,active
the-root-pouch-1-gallon,The Root Pouch 1 Gallon,hmh01127,1.0,0,active
the-rack-collapsible-drying-system-2,The Rack- Collapsible Drying System,hmh00818,29.95,0,active
teaming-with-microbes,Teaming with Microbes,hmh00001,24.95,0,active
teaming-with-nutrients,Teaming with Nutrients,,24.95,0,active
terpinator-0-0-4-qt,Terpinator 0 - 0 - 4 Qt.,hmh01651,19.95,0,active
solarmax-400w-mht-veg-conversion-w-32000-lumens,"SolarMax 400W. MHT veg/Conversion w/32,000 Lumens",hmh00887,39.0,0,active
spray-n-grow-16oz,Spray N Grow 16oz.,,12.5,0,active
super-lemon-haze-x-rs11-feminised-5-seed,Super Lemon Haze x RS11 (Feminised) -5 Seed,,70.0,0,active
super-lemon-haze-x-rs11-feminised-5-seed,,,0.0,0,
super-lemon-haze-x-rs11-feminised-5-seed,,,0.0,0,
summer-2-5-gallon,Summer 2.5 Gallon,hmh01469,110.74,0,active
tarantula-beneficial-bacteria-130-g,Tarantula Beneficial Bacteria (130 g),hmh01064,56.82,0,active
suck-it-up-4-liter,Suck it Up 4 liter,hmh00328,75.91,0,active
super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze-5-seed,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze 5- Seed,,50.0,0,active
tall-boy-de-chlorinator-sediment-filter,Tall Boy De-Chlorinator & Sediment Filter,hmh00580,115.0,0,active
solarmax-600w-hps-w-95000-lumens,"SolarMax 600W. HPS W/ 95,000 Lumens",hmh00885,29.0,0,active
spray-n-grow-micronutrients-8-oz,Spray-N-Grow Micronutrients 8 oz,,11.99,0,active
super-lemon-haze-x-gmo-feminised-5-seed,Super Lemon Haze x GMO (Feminised) -5 Seed,,70.0,0,active
super-lemon-haze-x-gmo-feminised-5-seed,,,0.0,0,
small-5-gallon-replacement-bag,Small 5 Gallon Replacement Bag,hmh01529,70.0,0,active
small-5-gallon-replacement-bag,,,0.0,0,
small-5-gallon-replacement-bag,,,0.0,0,
tarantula-beneficial-bacteria-50-g,Tarantula Beneficial Bacteria (50 g),hmh01063,32.48,0,active
sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,SunSoaker Parabolic Reflector w/ Horizonal Socket bracket,hmh00513,99.0,0,active
spin-pro-wire-replacments,Spin Pro Wire Replacments,,17.95,0,active
spin-pro-wire-replacments,,,0.0,0,
super-bud-feminised-big-bud-x-skunk-photo-5-seed,Super Bud (Feminised) Big Bud x Skunk Photo. 5 Seed,,40.0,0,active
super-bud-feminised-big-bud-x-skunk-photo-5-seed,,,0.0,0,
solarmax-1000w-mht-veg-conversion-w-90000-lumens,"SolarMax 1000W. MHT veg/Conversion w/ 90,000 Lumens",hmh00889,135.95,0,active
solarmax-1000w-hps-w-147000-lumens,"SolarMax 1000W. HPS w/ 147,000 Lumens",hmh00886,39.0,0,active
smmh1000wv-solarmax-1000w-mht-metal-hailde-veg-85000-lumens,"SMMH1000WV SolarMax 1000W MHT Metal Hailde Veg. 85,000 Lumens",hmh00891,123.95,0,active
tall-boy-blue-carbon-replacement-filter,TALL BOY BLUE CARBON REPLACEMENT FILTER,hmh00953,31.0,0,active
spring-gallon,Spring Gallon,hmh01463,56.6,0,active
tall-boy-blue-sediment-replacement,TALL BOY BLUE SEDIMENT REPLACEMENT,hmh00952,14.0,0,active
snapture-dovetail,Snapture Dovetail,hmh00849,3.79,0,active
skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,Skywalker Auto Skywalker OG x Gelato #41 Auto 5 seed,,70.0,0,active
skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,,,0.0,0,
super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze5 Seed,,50.0,0,active
super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,,,0.0,0,
sunblaster-25-watt-green-visual-lamp-standard-socket,SunBlaster 25 watt green Visual lamp-standard socket,hmh01439,9.88,0,active
sunblaster-200w-cf-6400k-2,Sunblaster 200W CF 6400k,hmh01705,109.95,0,active
suck-it-up-500ml,Suck it Up 500ml,hmh00326,15.21,0,active
silicium-bloom,"SiLICIUM Bloom, liter",,299.0,0,active
super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,Super Bud Auto (Feminised) Super Bud x Ruderalis 5 Seed,,40.0,0,active
super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,,,0.0,0,
subculture-m-200gm-bag,SubCulture M 200gm. Bag,hmh00037,39.98,0,active
spin-pro-manual-trimmer,Spin Pro Manual Trimmer,hmh00770,199.0,0,active
stick-thrip-leafminer-trap-5-pack,Stick Thrip Leafminer Trap 5/Pack,hmh01870,6.49,0,active
snapture-foot-base,Snapture Foot Base,hmh00848,4.79,0,active
spring-2-5-gallon,Spring 2.5 Gallon,hmh01464,110.74,0,active
sun-system-rs-1850-led,Sun System RS 1850 LED,,750.0,0,active
skunk-auto-feminised-skunk-x-ruderalis-5-seed,Skunk Auto (Feminised) Skunk x Ruderalis 5 Seed,,40.0,0,active
skunk-auto-feminised-skunk-x-ruderalis-5-seed,,,0.0,0,
subculture-b-200gm-bag,SubCulture B 200gm. Bag,hmh00036,41.95,0,active
silicium-mono-si-500-ml,SiLICIUM mono si 500 ml,,199.0,0,active
silicium-mono-si-500-ml,,,0.0,0,
sensizym-1-lt,Sensizym (1 lt),hmh01060,35.68,0,active
sensizym-2-5-gal,Sensizym (2.5 gal),hmh01062,243.8,0,active
snapture-cross-fitting,Snapture Cross Fitting,hmh00850,4.79,0,active
standard-black-bucket-lid,Standard Black Bucket lid,hmh01759,1.98,0,active
suck-it-up-1-liter,Suck it Up 1 liter,hmh00327,26.15,0,active
small-boy-carbon-replacement-filter,SMALL BOY CARBON REPLACEMENT FILTER,hmh00955,14.0,0,active
t5-cfl-2-plantmax-day-24w-6500k-tube-2520-lumens,T5 CFL 2' Plantmax Day 24W. 6500K tube 2520 lumens,hmh00881,8.95,0,active
stealth-ro-100-200-sediment-filter,STEALTH RO 100/200 SEDIMENT FILTER,hmh00956,14.5,0,active
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,hmh01757,8.99,0,active
stealth-ro-100-200-carbon-filter,STEALTH RO 100/200 CARBON FILTER,hmh00957,16.5,0,active
super-lemon-haze-x-pink-candy-super-lemon-haze-x-pink-candy-5-seed,Super Lemon Haze x Pink Candy Super Lemon Haze x Pink Candy- 5 Seed,,70.0,0,active
super-lemon-haze-x-pink-candy-super-lemon-haze-x-pink-candy-5-seed,,,0.0,0,
t5-high-output-fluorescent-lamps,T5 High Output Fluorescent Lamps,hmh00604,14.95,0,active
super-critical-feminised-big-bud-x-skunk-x-white-widow-5-seed,Super Critical (Feminised) Big Bud x Skunk x White Widow-5 Seed,,42.0,0,active
t5-cfl-4-plantmax-warm-54w-3000k-tube-4800-lumens,T5 CFL 4' Plantmax Warm 54W. 3000K tube 4800 lumens,hmh00882,10.95,0,active
t5-cfl-2-plantmax-warm-24w-3000k-tube-2280-lumens,"T5 CFL 2' Plantmax Warm 24W 3000K tube 2,280 lumens",hmh00880,8.95,0,active
stealth-ro-300-customized-reverse-osmosis-filter,Stealth RO 300 Customized Reverse Osmosis filter,hmh00577,299.0,0,active
spray-n-grow-32-oz,Spray N Grow 32 oz.,,19.99,0,active
sugarlato-auto-feminised-kings-tart-x-gelato-41-auto-5-seed,Sugarlato Auto (Feminised) King’s Tart x Gelato #41 Auto/ 5 Seed,,66.0,0,active
solarmax-400w-mh-gold-36000-lumens,"SolarMax 400W. MH Gold 36,000 Lumens",hmh00892,39.0,0,active
solarmax-400w-mht-metal-halide-veg-32000-lumens,"SolarMax 400W. MHT Metal Halide Veg. 32,000 Lumens",hmh00890,115.95,0,active
spigot-for-6-gal-container,Spigot for 6 Gal container,hmh00617,3.5,0,active
sunblaster-nanodome,Sunblaster Nanodome,hmh01186,6.95,0,active
stealth-ro-100-customized-reverse-osmosis-filter,Stealth RO 150 Customized Reverse Osmosis filter,hmh00578,250.0,0,active
solarmax-600w-mht-veg-conversion-w-55000-lumens,"SolarMax 600W. MHT veg/Conversion w/ 55,000 Lumens",hmh00888,129.95,0,active
solarmax-400w-hps-w-55000-lumens,"SolarMax 400W. HPS W/ 55,000 Lumens",hmh00884,39.0,0,active
solarmax-1000w-mh-gold-110000-lumens,"SolarMax 1000W. MH Gold 110,000 Lumens",,70.0,0,active
socket-set-w-15-cord,Socket Set w/ 15' Cord,hmh00509,19.95,0,active
summer-gallon,Summer Gallon,hmh01467,56.6,0,active
summer-quart,Summer Quart,hmh01466,19.7,0,active
spring-quart,Spring Quart,hmh01462,19.7,0,active
sunblaster-t5-strip-connector,Sunblaster T5 Strip Connector,hmh01482,9.95,0,active
stealth-ro-100-200-pressure-booster-pump,STEALTH RO 100/200/ PRESSURE BOOSTER PUMP,hmh00959,189.0,0,active
sunblaster-125w-cf-2500k-2,Sunblaster 125W CF 2500k,hmh01704,59.95,0,active
small-boy-sediment-replacement,SMALL BOY SEDIMENT REPLACEMENT,hmh00954,11.0,0,active
stealth-ro-100-200-membrane-filter,STEALTH RO 150/300 MEMBRANE FILTER,hmh00958,83.0,0,active
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,hmh01758,8.99,0,active
sensi-bloom-part-b-2-5-gal,Sensi Bloom part B (2.5 gal),hmh01055,82.5,0,active
silica-blast-gal,Silica Blast Gal.,hmh01184,52.58,0,active
sensi-grow-part-b-2-5-gal,Sensi Grow part B (2.5 gal),hmh01059,79.96,0,active
silicium-100-ml,Silicium 100 ML,,25.0,0,active
sensi-bloom-part-b-1-lt,Sensi Bloom part B (1 lt),hmh01054,15.6,0,active
screen-fitting-bag-of-10,Screen Fitting (bag of 10),hmh00839,4.0,0,active
sensi-grow-part-b-1-gal,Sensi Grow part B (1 gal),hmh01058,39.0,0,active
sensizym-1-gal,Sensizym (1 gal),hmh01061,110.0,0,active
silicium-500-ml,SilICIUM 500 ml,hmh01762,199.0,0,active
scietetics-production-powder-bloom,Scietetics Production Powder Bloom,,120.0,0,active
sledgehammer-1-qt,SledgeHammer (1 qt),hmh01103,22.29,0,active
silicium-bloom-500-ml,Silicium Bloom 500 ML,,199.0,0,active
sensi-bloom-part-a-2-5-gal,Sensi Bloom part A (2.5 gal),hmh01053,82.5,0,active
scietetics-magcal-gallon,Scietetics MagCal Gallon,,60.0,0,active
silica-blast-qt,Silica Blast Qt.,hmh01183,22.2,0,active
sensi-grow-part-a-1-gal,Sensi Grow part A (1 gal),hmh01056,39.0,0,active
silicium-mono-si-250-ml,SiLICIUM mono si 250 ml,,85.0,0,active
silicium-bloom-250-ml,Silicium Bloom 250 ML,,99.0,0,active
silicium-qts,SiLICIUM QTS.,hmh01763,299.0,0,active
sensi-grow-part-a-2-5-gal,Sensi Grow part A (2.5 gal),hmh01057,79.96,0,active
self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",,25.13,0,active
sensi-bloom-part-a-1-lt,Sensi Bloom part A (1 lt),hmh01051,15.6,0,active
sensi-bloom-part-a-1-gal,Sensi Bloom part A (1 gal),hmh01052,40.56,0,active
scietetics-magcal-15-gallon,Scietetics MagCal 15 Gallon,,650.0,0,active
scietetics-magcal,Scietetics MagCal,,24.95,0,active
scietetics-magcal-2-5gal,Scietetics MagCal  2.5Gal.,,130.0,0,active
scietetics-magcal-5-gallon,Scietetics MagCal 5 Gallon,,245.0,0,active
scietetics-grow-powder-12-oz-340g,Scietetics Grow Powder 12 OZ (340g),,9.0,0,active
scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System Quart,,22.0,0,active
scietetics-bloom-powder-12-oz-340g,Scietetics Bloom Powder 12 OZ (340g),,9.0,0,active
scietetics-development-powder-grow,Scietetics Development Powder Grow,,120.0,0,active
safer-end-all-32oz-rtu-spray,Safer End All 32oz RTU Spray,hmh01273,10.0,0,active
ruby-ful-quart,Ruby Ful#$% Quart,hmh01458,24.52,0,active
ruck-optimus-oscillating-fan,RUCK OPTIMUS Oscillating Fan,,389.0,0,active
ruck-optimus-oscillating-fan,,,0.0,0,
ruck-optimus-oscillating-fan,,,0.0,0,
ruby-ful-gallon,Ruby Ful#$% Gallon,hmh01459,73.84,0,active
ruby-ful-2-5-gallon,Ruby Ful#$% 2.5 Gallon,hmh01460,172.28,0,active
russet,Russet,,29.0,0,active
rsw-6ho-thermo-controlled-240v-413-cfm-3250-rpm,RSW 6HO Thermo/Controlled 240V 413 CFM 3250 RPM,hmh00790,359.99,0,active
royal-gold-4-liter,Royal Gold 4 liter,hmh00309,69.99,0,active
rsw-6ho-thermo-controlled-110v-413-cfm-3250-rpm,RSW 6HO Thermo/Controlled 110V 413 CFM 3250 RPM,hmh00789,359.99,0,active
royal-gold-1-liter,Royal Gold 1 liter,hmh00308,21.95,0,active
rsw-4ho-thermo-controlled-110v-161-cfm-3294-rpm,RSW 4HO Thermo/Controlled 110V 161 CFM 3294 RPM,hmh00787,299.0,0,active
rsw-4ho-thermo-controlled-240v-161-cfm-3294-rpm,RSW 4HO Thermo/Controlled 240V 161 CFM 3294 RPM,hmh00788,299.99,0,active
rosin-pro-press-co-manual-2,ROSIN PRO PRESS CO. Manual,hmh01775,950.0,0,active
royal-flush-16-oz,Royal Flush 16 oz,hmh00390,8.33,0,active
rosin-pro-press-co-pneumatic-2,ROSIN PRO PRESS CO.Pneumatic,hmh01777,950.0,0,active
royal-black-1-liter,Royal Black 1 liter,hmh00306,24.99,0,active
royal-black-4-liter,Royal Black 4 liter,hmh00307,63.99,0,active
rosin-pro-press-co-pneumatic-dual-element-2,ROSIN PRO PRESS CO. Pneumatic Dual Element,hmh01773,950.0,0,active
revolt-digital-dimming-ballast,ReVolt Digital 1000 Watt Dimming Ballast,hmh01736,99.0,0,active
ripen-0-5-7-6-quarts,Ripen® 0.5-7-6 Quarts,hmh01938,34.89,0,active
rosin-pro-press-auto-electirc-2,ROSIN PRO PRESS Auto Electirc,hmh01771,950.0,0,active
robo-stick-lamp-stabilizer,Robo-Stick lamp stabilizer,hmh00903,31.95,0,active
rhino-skin-4l,Rhino Skin (4L),hmh01423,106.1,0,active
ripen-0-5-7-6-gallon,Ripen® 0.5-7-6 Gallon,hmh01939,101.5,0,active
replacemnt-probe-for-control-wizard-accurate-ph3-meter,Replacemnt probe for Control Wizard Accurate pH3 Meter,hmh00978,34.95,0,active
rapid-start-275-ml,Rapid Start 275 ml,hmh00242,42.19,0,active
replacement-probe-for-24-7-meter,Replacement Probe for 24-7 Meter,hmh00964,49.0,0,active
rare-earth-1-5-lb,Rare Earth 1.5 lb,hmh00687,8.24,0,active
rapid-start-125-ml,Rapid Start 125 ml,hmh00241,27.99,0,active
rare-earth-16-lb,Rare Earth 16 lb,hmh00689,47.0,0,active
q-max-ultra-quiet-10-fan,"Q-Max Ultra Quiet 10"" Fan",hmh2014,250.0,0,active
rapid-start-1-qt,Rapid Start 1 qt,hmh00244,151.5,0,active
quick-roots-gel-8-oz,Quick Roots Gel 8 oz,hmh00325,41.04,0,active
quick-roots-gel-2-oz,Quick Roots Gel 2 oz,hmh00323,22.57,0,active
rapid-start-1-pt,Rapid Start 1 pt,hmh00243,78.4,0,active
quick-roots-gel-4-oz,Quick Roots Gel 4 oz,hmh00324,27.27,0,active
pure-blend-pro-soil-gal,Pure Blend Pro Soil Gal.,hmh01173,59.0,0,active
pure-cocos-nucifera,Pure Cocos Nucifera,,28.0,0,active
pure-blend-pro-soil-qt,Pure Blend Pro Soil Qt.,hmh01172,24.29,0,active
pure-clean-powerful-natural-enzymes,Pure Clean Powerful natural enzymes,hmh01675,32.0,0,active
pure-clean-powerful-natural-enzymes-1-liter,Pure Clean Powerful natural enzymes 1 liter,hmh01676,46.0,0,active
pure-blend-pro-grow-qt,Pure Blend Pro Grow Qt.,hmh01168,24.29,0,active
pure-blend-pro-grow-gal,Pure Blend Pro Grow Gal.,hmh01169,59.0,0,active
pulse-start-metal-halide-3000k-for-flowering-growth,"Pulse Start Metal Halide 3,000K for Flowering Growth",hmh00857,59.95,0,active
pure-blend-pro-bloom-gal,Pure Blend Pro Bloom Gal.,hmh01171,59.0,0,active
pure-blend-pro-bloom-qt,Pure Blend Pro Bloom Qt.,hmh01170,24.29,0,active
pulse-start-metal-halide-7000k-for-vegative-growth,"Pulse Start Metal Halide 7,000K for Vegative Growth",hmh00856,59.95,0,active
pulse-start-m-h-600w-3000k-for-flowering-growth,"Pulse Start M.H.600W. 3,000K for Flowering Growth",hmh00860,79.95,0,active
pulse-start-metal-halide-10000k-for-final-flowering-2,"Pulse Start Metal Halide 10,000K for Final Flowering",hmh01728,59.95,0,active
pulse-start-metal-halide-10000k-for-final-flowering,"Pulse Start Metal Halide 10,000K for Final Flowering",hmh00858,59.95,0,active
pulse-start-m-h-600w-3000k-for-flowering-growth-2,"Pulse Start M.H.600W. 3,000K for Flowering Growth",hmh01726,79.95,0,active
pulse-start-m-h-600w-7000k-for-vegative-growth,"Pulse Start M.H.600W. 7,000K for Vegative Growth",hmh00859,79.95,0,active
pulse-start-m-h-600w-3000k-for-flowering-growth-3,"Pulse Start M.H.600W. 3,000K for Flowering Growth",hmh01727,79.95,0,active
pulse-start-m-h-600w-10000k-for-final-flowering,"Pulse Start M.H.600W. 10,000K for Final Flowering",hmh00861,79.95,0,active
prop-o-gator-500-ml,Prop-O-Gator 500 ml,hmh00320,18.51,0,active
pulse-start-m-h-1000w-10000k-for-final-flowering,"Pulse Start M.H.1000W. 10,000K for Final Flowering",hmh00864,99.95,0,active
pulse-start-m-h-1000w-3000k-for-flowering-growth,"Pulse Start M.H.1000W. 3,000K for Flowering Growth",hmh00863,99.95,0,active
prozyme-1-qt,Prozyme 1 qt,hmh00420,40.0,0,active
